Herr Präsident!	.
Wenn wir heute über die Verordnung über die Lenk- und Ruhezeiten beschließen, machen wir ohne Zweifel Fortschritte. Die tägliche Mindestzeit wird erhöht, die maximal zulässige Lenkzeit wird reduziert, der digitale Tachograf wird eingeführt und soll Manipulation verhindern, es können auch die zurückliegenden 28 Tage überprüft werden, und nicht zuletzt werden lange Anfahrtswege und -zeiten zum Einsatzort endlich als Arbeitszeit gerechnet.	Mr President, our adoption today of the regulation on driving and rest times will without doubt be a step forward in that the daily minimum will be increased, the maximum permitted driving time reduced, the digital tachograph introduced with the intention that manipulations be prevented and it be made possible to check the past 28 days, and, not least, the length of the journey – in terms both of distance and the time taken on it – to the place of assignment will now be counted as working time.
All das sind Fortschritte, und dies ist auch ein Verdienst unseres Berichterstatters Helmuth Markov, der sich in dem ganzen Verfahren bis zum Schluss wirklich hervorragend bemüht hat, die Position des Parlaments zu vertreten. Deswegen wird auch ein großer Teil meiner Fraktion dem zustimmen.	All these things count as progress, and that is to the credit not least of our rapporteur, Mr Markov, who, right up to the very end of the process, has endeavoured splendidly to represent this House’s views, and it is for that reason that most of my group will be voting in favour.
Gleichwohl gibt es einen gravierenden Grund, warum ich dem Vermittlungsergebnis nicht zustimmen werde, nämlich die vom Rat verweigerte Verknüpfung mit der Arbeitszeitrichtlinie.	It has to be said, though, that there is one serious reason why I shall not be voting in favour of the conciliation result, and that is the Council’s refusal to allow it to be coupled with the Working Time Directive.
Trotz vieler Kompromissangebote des Parlaments ist es dem Rat nicht gelungen, hier Zugeständnisse zu machen.	Despite many offers of compromise on the part of Parliament, the Council has not found it possible to make concessions on this front.
Aber andere Arbeiten des Fahrers – Be- und Entladen, Reparaturen, Formulare – sind alle ein Teil seiner Arbeitszeit. Diese anderen Arbeiten sind ermüdend und wirken sich deshalb direkt auf die Verkehrssicherheit aus.	The driver’s working time does, however, include all his other duties, such as loading and unloading, repairs, filling in forms, all of which are tiring and therefore have a direct effect on safety on the road.
Deswegen muss im Zusammenhang mit den Lenk- und Ruhezeiten auch die Einhaltung der Arbeitszeitrichtlinie kontrolliert werden können.	It is for that reason that compliance with the working time directive must be monitored as well as driving and rest times checked up on.
Deswegen müssen auch Verstöße gegen die Arbeitszeitrichtlinie geahndet und mit Sanktionen belegt werden können.	That is why it has to be possible for offences against the working time directive to be prosecuted and to incur sanctions.
Das war dem Rat nicht möglich, und der Rat ist auch eine Begründung dafür schuldig geblieben.	The Council was not able to do that, and it also owes us an explanation for that.
Der Grund der Weigerung des Rates wurde eine Woche später klar. Zehn Mitgliedstaaten haben die Arbeitszeitrichtlinie bisher überhaupt noch nicht umgesetzt, obwohl die Frist dafür im März 2005 abgelaufen ist.	It took a week for the reason for the Council’s refusal to become clear, when it turned out that ten Member States have not, to date, transposed the Working Time Directive at all, even though the deadline for them to do so expired in March 2005.
Die zehn Mitgliedstaaten sind Deutschland, Griechenland, Irland, Italien, Luxemburg, Niederlande, Österreich, Portugal, Spanien und Tschechische Republik.	The ten Member States in question are Austria, the Czech Republic, Germany, Greece, Ireland, Italy, Luxembourg, the Netherlands, Portugal, and Spain.
Kein Wunder, dass der Rat sich geweigert hat, eine weitere Verbindung mit einem anderen Rechtsakt herzustellen.	It is no wonder that the Council refused to allow it to be coupled with another piece of legislation.
Ich hätte mir diese Information auch vorher von der Kommission in diesem Verfahren gewünscht. Ich glaube, wir hätten vor dem Hintergrund, dass zehn Mitgliedstaaten diese Richtlinie noch gar nicht umgesetzt haben, dieses Thema möglicherweise auch ein Stückchen anders diskutiert.	I wish the Commission had supplied us with this information earlier on in these proceedings, for then, I believe, the fact that this directive had not even been transposed in ten Member States might well have caused our debate on this subject to take a slightly different course.
Lenk- und Ruhezeiten, Arbeitszeitrichtlinie und Kontrolle gehören zusammen.	Driving and resting times, working time and monitoring belong together.
Dem hat sich der Rat verweigert, und deshalb gibt es heute von mir ein Nein zu diesem Ergebnis.	The Council has chosen to stand in the way of that, and that is why, today, this result gets a ‘no’ vote from me.
