Herr Präsident!	Mr President.
Ich wäre natürlich sehr unglücklich gewesen, hätte heute nicht schlafen können, wenn ich diese Chance nicht gehabt hätte, jetzt von Ihnen aufgerufen zu werden!	I would have been most unhappy, indeed I would not have been able to sleep, had you not given me this opportunity to speak.
Herr Präsident, Herr Kommissar, meine Damen und Herren! Wir haben hier zwei Abkommen, die für mich sehr wichtig sind.	Mr President, Commissioner, ladies and gentlemen, we have here two agreements which I consider to be extremely important.
Ich bin sehr glücklich, daß Herr Kommissar Van den Broek hier ist, weil es ja im wesentlichen nicht um detaillierte verkehrspolitische Fragen im engeren Sinn geht, sondern darum, daß wir in unserer näheren oder weiteren Nachbarschaft zu Verkehrsinfrastrukturen kommen, die auch an die Notwendigkeiten des letzten bzw. auch des künftigen Erweiterungsprozesses angepaßt sind.	I am pleased that Commissioner Van den Broek is here, since we are not really discussing detailed transport policy issues in the narrower sense, but rather are dealing with transport infrastructures, both remote and close to home, which are adapted to the needs of the last enlargement process as well as to those of the next.
Ich habe mich vorige Woche nach Slowenien begeben, um dort an der gemischten Sitzung der Parlamentarier des Europäischen Parlaments und Sloweniens teilzunehmen.	Last week I travelled to Slovenia to attend the joint sitting of the European and Slovenian Parliaments.
Weil ich aus terminlichen Gründen die Frühmaschine aus Wien nicht nehmen konnte, mußte ich von Wien nach Frankfurt und von Frankfurt nach Laibach fliegen, denn die bestehende Zugverbindung ist derart langwierig, daß ich den Abendtermin am Sonntag in Ljubljana, also in Laibach versäumt hätte.	Being unable to catch the early flight from Vienna, due to my own travel schedule, I was obliged to fly from Vienna to Frankfurt and from Frankfurt on to Ljubljana, the train journey being so lengthy that I would have missed my evening rendez-vous in Ljubljana on Sunday evening.
Das zeigt deutlich, daß man heute in benachbarten Regionen sehr umständliche, sicherlich nicht sehr umweltfreundliche, aber zeitraubende Wege auf sich nehmen muß, um in ein Nachbarland zu kommen.	This illustrates that complicated, protracted and not at all environmentally-friendly routes still have to be used to travel from one adjoining country to another.
Daher ist es ganz wichtig - und in diesem Abkommen wird auch der Grundstein dafür gelegt -, daß wir zu einem Ausbau der Verkehrsinfrastruktur kommen, die auch der heutigen Zeit entspricht und den zukünftigen Aufgaben, die wir zu erledigen haben.	It is therefore important, and this agreement lays the cornerstone in this respect, that we should extend the transport infrastructure in a way which meets the needs of today as well as those of tomorrow.
Gerade Slowenien als Beitrittskandidat erster Ordnung ist natürlich wichtig.	Slovenia, as a prime candidate for admission to the EU, is naturally important in this respect.
Auch für die wirtschaftliche Struktur, die in Slowenien reformbedürftig ist, selbst wenn die Wirtschaft dort gut läuft, müssen wir diese Verkehrsinfrastruktur ausbauen.	But even though that particular country's economy is doing well, we must extend the transport infrastructure to promote the economic structure of Slovenia, which is in need of reform.
Es gibt nicht sehr viel dazu zu sagen.	There is not much to say on the subject.
Der Ausbau der Verkehrsinfrastruktur wird natürlich ein Bestandteil der Beitrittspartnerschaft sein.	An extension of the transport infrastructure will naturally be one of the elements of EU partnership.
Auch möchte ich erwähnen, daß wir die Slowenen gebeten haben, vor allem die Verbindungen zu Kroatien aufzubauen und das nicht zu vergessen.	May I also say that we asked the Slovenians to focus on developing links to Croatia, and that this should not be forgotten.
Beim zweiten Abkommen geht es um FYROM oder Mazedonien; hier liegt die Sache natürlich anders, denn bis zum Beitritt wird es natürlich viel, viel länger dauern.	The second agreement concerns the FYROM, or Macedonia. Here the situation is naturally different, since EU entry will take much much longer in this case.
Dennoch scheint es mir wichtig und gerade auch im Interesse Griechenlands zu sein, daß die Verkehrsinfrastruktur - Bahn und natürlich auch die Straße - entsprechend ausgebaut wird, denn die Verbindung Griechenlands mit dem Rest Europas, wenn ich das so sagen darf, wird im wesentlichen über FYROM laufen, und alles, was zu einer Verbesserung dieser Verbindungen beiträgt, ist nicht nur für FYROM, sondern auch für die Europäische Union von Nutzen.	Nevertheless, I believe it to be important, particularly in the interests of Greece, that the transport infrastructure - both rail as well as road -should be extended accordingly, since Greece's link with the rest of Europe will, if I can put it this way, primarily be through the FYROM, and everything which helps improve this connection will benefit not only the FYROM but also the European Union as a whole.
In diesem Sinne, Herr Präsident, möchte ich empfehlen, trotz mancher Informationsmängel, die es gegeben hat, diesen beiden Berichten zuzustimmen, aus verkehrspolitischen, aber auch aus außenpolitischen Gründen.	In this sense, Mr President, and in spite of the lack of available information, I would recommend that we approve both reports for transport policy as well as foreign policy reasons.
