Frau Präsidentin, wir sind besorgt um eine der großen Frauen dieses Hauses.	Madam President, we are concerned about one of the great women of this House.
Taslima Nasreen ist hier mit dem Sacharow-Preis geehrt worden für ihre Arbeiten, für ihr politisches und menschenrechtliches Engagement, möchte ich sagen.	Taslima Nasreen was awarded the Sakharov Prize here for her work, for her political commitment and for her commitment to human rights.
Sie hat den Sacharow-Preis bekommen, vier Jahre im Exil gelebt, ist jetzt nach Bangladesch zurückgekehrt und wird dort verfolgt.	She received the Sakharov Prize, lived in exile for four years and has now returned to Bangladesh where she is being persecuted.
Wir sind bestürzt darüber, daß fundamentalistische Parteien wie die Jamal-e-Islami in Bangladesch seit dem 14. September täglich Demonstrationen gegen Frau Nasreen veranstalten und ihre Hinrichtung fordern.	We are alarmed that fundamentalist parties such as Jamal-e-Islami in Bangladesh have been holding demonstrations against Mrs Nasreen since 14 September and demanding that she be executed.
Wir sind beunruhigt darüber, daß die Polizei in Bangladesch eine Jagd auf sie veranstaltet, nachdem ein Gericht in Dhaka einen neuen Haftbefehl gegen sie ausgestellt hat, der auch die Einziehung ihres Vermögens beinhaltet, womit die Anklage wegen Gotteslästerung aus dem Jahre 1994 erneuert wird, und bestürzt über die erneute Aussetzung eines Kopfgeldes von 33.000 FF.	We are worried that the police in Bangladesh are hunting for her after a court in Dhaka issued a new warrant for her arrest and for the seizure of her possessions, renewing the charge of blasphemy made in 1994, and we are alarmed that a new reward of FRF 33 000 has been offered.
Warum wird sie verfolgt?	Why is she being persecuted?
Sie hat sich den Zorn der Fundamentalisten in Bangladesch hauptsächlich deswegen zugezogen, weil sie die Rechte der Frauen im Hinblick auf bestimmte Traditionen des Islam verteidigt hat.	She incurred the anger of the fundamentalists in Bangladesh mainly because she defended the rights of women in the context of certain Islamic traditions.
Wir hören zunehmend Meldungen aus Bangladesch über brutales und willkürliches Vorgehen der Polizei und über die Unfähigkeit der Staatsorgane, den Opfern der Gewalt zu ihrem Recht zu verhelfen.	Increasingly, we hear reports from Bangladesh about brutal and arbitrary behaviour by the police and about the inability of the organs of state to defend the rights of the victims of this violence.
Dies alles bestürzt uns und macht uns eben besorgt, daß Frau Nasreen untertauchen muß, daß sie verfolgt wird und daß sie vielleicht vom Tode bedroht ist.	We are dismayed by all of this and concerned that Mrs Nasreen has had to go into hiding, that she is being persecuted and that she may be facing death.
Deshalb bitte ich die Kommission und den Rat, sich für die große Frau dieses Hauses, wie ich sagte, für die Sacharow-Preisträgerin, einzusetzen, insbesondere aber auch, Frau Präsidentin, dieses Parlament.	Therefore, I call upon the Commission and the Council to support the great lady of this House, the Sakharov Prize laureate, as I said, but also in particular, Madam President, to support this Parliament.
In zwei Wochen wird eine Parlamentsdelegation wegen der verheerenden Flutkatastrophen nach Bangladesch fahren.	In two weeks a parliamentary delegation will be travelling to Bangladesh because of the devastating flood disaster.
Das ist ein anderes Problem, aber bei den Gesprächen mit der Regierung, denke ich, ist es Pflicht dieser Delegation, die Menschenrechtssituation anzusprechen und sich dafür einzusetzen, daß Frau Nasreen sich frei bewegen kann.	That is a different problem, but I believe it is the duty of this delegation to address the human rights situation during talks with the government and to do everything possible to ensure that Mrs Nasreen can move freely.
