. Herr Präsident, meine Damen und Herren Abgeordneten, meine sehr geehrten Damen und Herren!	Mr President, honourable Members, ladies and gentlemen.
Herr Gallagher, ich danke Ihnen für Ihren Bericht über den Verordnungsentwurf für ein neues Protokoll zum Fischereiabkommen mit Mauretanien.	Thank you, Mr Gallagher, for your report on the proposal for a regulation on a new protocol to the fisheries agreement with Mauritania.
Es freut mich, dass Sie diesem Vorschlag vollinhaltlich zustimmen. Damit wird die Fangtätigkeit unserer Flotte in den mauretanischen Gewässern bis zum Mai 2006 festgelegt und gesichert.	I am delighted that you are in full agreement with the terms of this proposal setting out and safeguarding the facility for our fleet to fish in Mauritanian waters until May 2006.
Wie Sie wissen, haben wir im Fischereibereich langjährige und gute Beziehungen mit Mauretanien.	As you know, we have a history of good fisheries relations with Mauritania.
Im Übrigen handelt es sich bei diesem Abkommen nunmehr um das umfangsreichste Fischereiabkommen der Gemeinschaft, das wir überhaupt haben, und es ist daher ein wichtiger Baustein unserer Gemeinsamen Fischereipolitik.	Moreover, this agreement is now the Community's most comprehensive fisheries agreement and hence an important component of the Common Fisheries Policy.
Wir haben das neue Protokoll Ende Juli nach vier Runden intensiver und schwieriger Verhandlungen paraphiert, und ich glaube, wir haben hier wirklich ein faires Abkommen zustande gebracht, das sowohl den mauretanischen Fischern und dem mauretanischen Sektor, als auch unseren Fischern Vorteile bringt und das gleichzeitig die nachhaltige Bewirtschaftung der Ressourcen sicherstellt.	We signed the new protocol at the end of July after four rounds of intensive and tough negotiations and I think we really have brokered a fair agreement which benefits Mauritanian fishermen and the Mauritanian sector as well as our own fishermen, while guaranteeing sustainable stock management.
Ich möchte hier wirklich sagen, Herr Farage, es wäre besser, wenn Sie Ihre Bemerkungen mehr auf Fakten aufbauen und nicht so sehr auf Polemik.	I really must say, Mr Farage, that you would be better advised to base your comments on fact than political posturing.
Denn was ist die Wahrheit?	So what exactly is the truth?
Die Wahrheit ist, dass wir eine ganze Reihe von neuen Maßnahmen in dieses Abkommen eingebaut haben, die es bei den früheren Abkommen bisher nicht gegeben hat.	The truth is that we have included a whole series of new measures in this agreement which were absent from earlier agreements.
Zum Beispiel: Ein Teil der Gelder fließt direkt in die Verbesserung der wissenschaftlichen Kenntnisse über die Ressourcen.	For example, some of the money goes directly towards improving scientific knowledge about resources.
Die Bestände werden von nun an regelmäßig wissenschaftlich überwacht, und es ist festgelegt, dass, wenn sich die Bestandsgrößen verändern, die Fangmöglichkeiten entsprechend angepasst werden - übrigens auch die Möglichkeiten der zugehörigen finanziellen Gegenleistungen.	From now on, stocks will be regularly and scientifically monitored, and we have stipulated that, if the size of the stocks changes, then fishing opportunities must be adjusted accordingly, as must the relevant financial compensation.
Es ist also durchaus nicht so, dass wir unabhängig von der Bestandsentwicklung einfach die maximale Menge weiterfischen.	So it is quite untrue to say that we simply continue to fish the maximum catches, irrespective of how stocks develop.
So sieht die Realität aus.	That is the reality.
Zweitens haben wir die Fangrechte auf der Grundlage der verfügbaren Daten, die Mauretanien zur Verfügung gestellt hat.	Secondly, we have based fishing rights on the data available, which Mauritania provided.
Auf Grund der Daten, die wir bekommen haben, war es möglich, zum jetzigen Zeitpunkt einen leichten Anstieg bei den Fangmöglichkeiten für die Kopffüßler zu vereinbaren.	According to the data which we received, it was possible at the present time to agree on a slight increase in fishing opportunities for cephalopods.
Aber ich möchte Sie auch darauf hinweisen, dass dies nicht der Löwenanteil des Abkommens ist.	However, I should like to point out that this is not the lion's share of the agreement.
Der Löwenanteil der Fänge unter diesem Abkommen entfällt mit zirka 40 % auf die pelagischen Arten.	The lion's share - around 40% - of catches under this agreement is accounted for by demersal species.
Um auch das klarzustellen: Sie kommen nicht Spanien zugute, wie sie behauptet haben, sondern in erster Linie den Niederlanden.	And, just for the record, they do not mainly benefit Spain, as you maintain, they mainly benefit the Netherlands.
Drittens enthält das Abkommen eine Reihe von Bestimmungen, die eine nachhaltige Bewirtschaftung der mauretanischen Fischereiressourcen ermöglichen und auch zur lokalen Wirtschaftsentwicklung beitragen.	Thirdly, the agreement contains a series of terms allowing for the sustainable management of Mauritanian fish stocks and the development of the local economy.
Um die lokale Küstenfischerei zu schützen, haben wir die Fanggebiete für die Gemeinschaftsflotte weiter von der Küste entfernt, als bisher festgelegt.	In order to protect local inshore fishing, we have moved the fishing areas for the Community fleet further away from the coast than was previously the case.
Um der lokalen Wirtschaft zu helfen und um Arbeitsplätze im Lande selbst zu schaffen, ist vereinbart worden, dass die Grundfischtrawler nun einen größeren Teil ihre Fänge in Mauretanien anlanden müssen.	In order to help the local economy and create jobs in the country itself, we have agreed that demersal fish trawlers must now land a larger proportion of their catches in Mauritania.
Darüber hinaus werden wir in Zukunft mehr mauretanische Seeleute an Bord der EU-Schiffe nehmen.	In addition, more Mauritanian seamen will be taken on board EU ships in future.
Die Kontrolle und Überwachung der Fänge wurde verstärkt, und wir haben auch die Beträge für die so genannten gezielten Aktionen oder "targeted actions" stark angehoben, und zwar um insgesamt 20 Millionen Euro für den Vertragszeitraum.	Catch monitoring and controls have been strengthened and we have also increased the amount for so-called targeted actions significantly, by a total of EUR 20 million for the term of the agreement.
Mit Hilfe dieser flankierenden Maßnahmen können wir auch den Bedenken des Ausschusses für Entwicklung und Zusammenarbeit Rechnung tragen.	These flanking measures will help alleviate the concerns expressed by the Committee on Development and Cooperation.
Nun zu den Änderungsanträgen: Mit den Änderungsanträgen 1, 3 und 5 rennen Sie bei uns offene Türen ein.	As to the proposed amendments, we have absolutely no objection to Amendment Nos 1, 3 and 5.
Durch die Interinstitutionellen Vereinbarungen und ganz besonders durch das Rahmenabkommen zwischen Parlament und Kommission vom 5. Juli 2000 erfüllen wir allerdings diese Forderungen bereits. Daher sind diese Anträge an sich nicht nötig.	In any case, these demands are already met under the interinstitutional agreements and, more importantly, under the framework agreement between Parliament and the Commission of 5 July 2000, making these amendments superfluous.
Probleme haben wir mit den Anträgen 2, 4 und 6, denen wir deshalb nicht zustimmen können.	We have a problem with Amendment Nos 2, 4 and 6 and cannot therefore agree to them.
Was den Änderungsantrag 2 betrifft, ist schon im Gründungsvertrag der Europäischen Union der Grundsatz der Nichtdiskriminierung festgeschrieben, und daher ist es nicht sinnvoll, eine derartige Bestimmung aufzunehmen.	As far as Amendment No 2 is concerned, the principle of non-discrimination is already laid down in the founding treaty of the European Union and there is therefore no sense in including this sort of clause.
In Bezug auf den Antrag 4 möchte ich festhalten, dass es gängige Praxis ist, dass das Protokoll zur Verlängerung eines Fischereiabkommens kein neues Mandat erfordert.	As far as Amendment No 4 is concerned, I should point out that our standard practice is that no new mandate is required for a protocol extending a fisheries agreement.
Und zum Änderungsantrag 6 möchte ich sagen, dass die gemischte Finanzierung der ausgehandelten Fangmöglichkeiten ein wesentlicher Bestandteil der externen Fischereipolitik ist.	As for Amendment No 6, mixed funding for negotiated fishing opportunities is part and parcel of our external fisheries policy.
Bei den Abkommen mit Drittstaaten kommt die finanzielle Gegenleistung aus dem Gemeinschaftshaushalt, aber die Reeder müssen die Lizenzen bezahlen.	In the case of agreements with third countries, the cost of compensation is footed by the Community budget, with shipowners paying for the licences.
Darf ich Sie bei dieser Gelegenheit auch darauf hinweisen, dass der im Antrag genannte Betrag nicht richtig ist und dass sich die Änderung, rein formell gesehen, auf das Protokoll beziehen muss.	May I also take this opportunity of pointing out that the sum quoted in the amendments is incorrect and that, from a purely formal point of view, the amendment should refer to the protocol.
