Herr Präsident, es brennt bei der Post!	Mr President, the post office question is urgent!
Deswegen ist der Beitrag des Parlaments bezüglich des Berichts oder der Richtlinie zum Binnenmarkt der Postdienste wichtig, um diesen Brand zu löschen.	The input of Parliament with regard to the report or guidelines on the internal market for the postal services is thus important to correct the matter.
Unser Beitrag ist wichtig, damit es bei der Liberalisierung der Märkte keine Wettbewerbsnachteile gibt, damit es aber vor allem keinen sozialen Abbau gibt, damit die soziale Sicherheit gewahrt bleibt und die gesellschaftliche Funktion der Post auch erhalten bleiben kann.	Our contribution is important in order for there to be no adverse competition during the liberalization of markets, and above all so that there is no social disadvantage, but that social security is maintained and the social functions of the postal services can be retained.
Eine europäische Regelung ist meiner Meinung nach absolut notwendig für den Zeitraum, in dem die europäischen Postunternehmen über eine Regelung der Endvergütungsfrage verhandeln.	European regulation is in my view absolutely essential for the period in which the European postal businesses are negotiating over the problem of terminal dues.
Wir wissen, daß es immense widerstreitende wirtschaftliche Interessen gibt.	We know that there are huge, competing, economic interests.
Mit Änderungsantrag 19 zu Artikel 13 Absatz 2 wird der bisher mögliche Mißbrauch unterbunden.	Misuse, which was previously possible, was barred by Amendment No 19 to Article 13, paragraph 2.
Wir benötigen in einem gemeinsamen Markt gemeinsame Regelungen.	In a common market we need common regulations.
Wir dürfen nicht nationalstaatlich argumentieren, sondern im Weltpostvertrag müssen wir als Europäische Union argumentieren.	We must not use national arguments, but in the World Postal Union we must argue as a European Union.
Als Rechtsgrundlage sollte aber für alle künftigen Rechtsvorschriften zur Liberalisierung des Postmarktes meiner Meinung nach Artikel 100 a gelten.	In my view the legal basis for all future legal statutes aimed at liberalisation of the postal market should be article 100.
Da haben wir bisher von der Kommission in der ersten Lesung wenig Unterstützung erfahren.	There was found little support from the Commission for this at first reading.
Wir sind froh, daß der Rat unsere Beschwerden aufgenommen hat, daß er unsere Meinung geteilt hat, und wir hoffen, daß es mit der zweiten Lesung besser wird.	We are pleased that the Council has taken up our protest and shares our opinion, and we hope that things will go better at second reading.
Wir müssen für die Arbeiten im Postbereich die soziale Sicherheit wahren; deswegen ist das Primat der Politik hier auch wichtig.	We must preserve social security for work in the postal industry, and for this reason the primacy of politics is also important.
Ich denke, es darf nicht so sein wie bei den privaten Anbietern.	I think conditions should not be as they are amongst private providers.
Wir haben es gerade in den USA gesehen, wie Arbeitsplätze vernichtet werden, bei UPS.	We have just seen in the USA how jobs can be cut by UPS a universal postal service.
Das darf in der Europäischen Union nicht geschehen.	That must not be allowed to happen in the European Union.
Ich habe lange selbst als Briefträger gearbeitet.	I myself worked for many years as a postman.
Ich weiß, daß die gesellschaftliche Funktion der Post wichtig ist, für alte Leute, für Regionen, die unterentwickelt sind.	I know that the social function of the post is important for old people and for underdeveloped regions.
Es darf also keine regionale Diskriminierung geben, weder beim Absender noch beim Empfänger.	There must therefore be no regional discrimination, either against the sender or the receiver.
Weil es die soziale Verpflichtung gibt, muß es die staatliche Kontrolle geben.	Because there is a social obligation, so must there be state control.
Dann kann es öffentliche oder private Anbieter geben.	Then there can be either public or private providers.
Ich hoffe, daß wir im Sinne der Verbraucher und der bei der Post Beschäftigten zu einer Lösung kommen, und daß wir dann auch die Endvergütungsfrage regeln werden.	I hope that we shall come to a solution in the interests of the consumer and of the postal workers, and that we can then regulate the problem of final payment.
