Frau Präsidentin, auch wir begrüßen die Diskussion über diesen Bericht.	Madam President, we too welcome the debate on this report.
Mit einigen Ausnahmen finden wir ihn auch sehr interessant, eine sehr intelligente Arbeit.	With a few exceptions we also find it a very interesting and highly intelligent piece of work.
Natürlich wäre es wünschenswert, wenn die in Europa und der westlichen Welt bestehenden Umwelt-, Sozial- und Strukturauflagen weltweit übernommen würden und sich Investoren überall in der Welt daran halten müßten.	Of course it would be good if the environmental, social and structural conditions prevailing in Europe and the West applied to the rest of the world, so that investors had to respect them worldwide.
Es ist aber auch leider eine Art von Überheblichkeit, wenn sich der Westen satt und bequem über die Not und die Lebensbedingungen in der Dritten Welt hinwegsetzt und sich die Investitionshürden ausdenkt oder fordert, die letzten Endes verhindern, daß sich die ökonomischen Grundlagen in anderen Teilen der Erde verbessern.	Unfortunately it is somewhat arrogant of the West smugly to ignore the needs and living conditions of the third world and dream up obstacles to investment that ultimately prevent economic conditions from improving elsewhere on our planet.
Es ist eine Realität, daß die globale Modernisierung der Infrastrukturen und Kommunikationssysteme in der ganzen Welt eine beinharte Konkurrenzsituation für Investitionsstandorte geschaffen hat.	There is no denying that modernization of infrastructure and communications systems throughout the world has created enormous competition for inward investment.
Investoren werden im Auftrag ihrer Kapitalgeber immer jene Standorte auswählen, die ihnen einen maximalen Profit versprechen.	Investors acting on behalf of their shareholders will always pick those locations which promise the most profit.
Dagegen zu protestieren oder diesen Prozeß mit Gesetzen abzublocken, wäre mit der Zerstörung der Maschinen in der Industriellen Revolution vergleichbar.	Trying to protest or legislate against this process would be the modern equivalent of smashing up machines during the industrial revolution.
Was der Bericht offenläßt, ist die Frage, in welcher Form Europa in Zukunft einen wirtschaftlichen Aufschwung in der Dritten Welt durch Investitionen mitverantwortet, ohne diesen Ländern auf schulmeisterliche Art und Weise Vorschriften zu machen, unter welchen Bedingungen dieser Aufschwung zu erreichen ist.	The question that the report does not resolve is how Europe can play its part in securing an economic upturn in the third world without laying down the law to how this upturn is to be achieved.
Problematisch sind die geforderten Einschränkungen im kulturellen Bereich.	The restrictions that would apply in the area of culture are a problem.
Ich kann hier nur auf den Bericht der holländischen Regierung verweisen, der sagt: " Nicht einen Panzer aufbauen, sondern das Rückgrad stärken" .	I can only refer to the Dutch government's report, which says 'Don't get yourself a suit of armour, stiffen your backbone instead' .
Die im Bericht geforderten Maßnahmen zur Regulierung der Investitionen ausländischer Unternehmen dürfen nicht dazu führen, daß ein offener Konkurrenzkampf auf jedem Sektor der Kultur möglich ist.	The measures for regulating foreign investment called for in the report must not, however, be allowed to generate a situation in which open competition is possible in every area of culture.
Wenn hier zuvor kritisiert wurde, daß amerikanische Unternehmen an Gelder der EU herankommen, werden die gleichen Leute sicher nichts dagegen haben, wenn sich amerikanische Unternehmen mit ihrem Kapital an europäischen Filmen beteiligen.	The same people who were critical of American companies getting their hands on EU money would certainly have nothing against American companies putting money into European films.
Besonders zu begrüßen ist, daß sich der Bericht mit der Bedrohung des Schutzes des Urheberrechtes befaßt.	I particularly welcome the part of the report on the threat to copyright.
Hier besteht ein großer Nachholbedarf, und das sollte genau diskutiert werden.	We have a lot of catching up to do in this area, and this needs detailed examination.
