Vizepräsident der Kommission. Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen, there are three issues I would like to address.
Ich möchte drei Punkte kurz ansprechen.	The first is that of large off-road vehicles.
Erstens die Frage der großen, teuren Geländewagen. Ich selber - da hier danach gefragt worden ist - besitze überhaupt kein Auto.	In response to a question put earlier, I can state that I, personally, do not own a car.
Ich gehe zu Fuß oder fahre mit der Bahn.	I get around on foot or by train.
Ich war ein bisschen erstaunt, dass der Abgeordnete Belet die Kommission dafür attackiert hat, dass für die großen und teuren Geländewagen eine Ausnahme gemacht wird.	I was a little taken aback when Mr Belet criticised the Commission for having made an exception for large and expensive off-road vehicles.
Entschuldigen Sie bitte, es war die Kommission, die vorgeschlagen hat, keine Ausnahme zu machen. Es war das Europäische Parlament, das darauf bestanden hat, dass für diese Fahrzeuge eine Ausnahme gemacht wird.	I am sorry, but it was the Commission that proposed that no exception should be made, and Parliament that insisted on an exception for vehicles of this nature.
Wir wollen doch bitte die Kirche im Dorf lassen!	Let us not get carried away here.
Bei allem Verständnis und allen Bemühungen, den Argumenten zu folgen.	Let us all show understanding and let us all try to follow the arguments.
Herrn Krahmer kann ich wirklich nicht folgen, wenn er sinngemäß sagt, dass man, wenn man genug Geld hat, ein besonderes großes und teures Auto zu kaufen, gleichzeitig das Recht erwirbt, mehr Dreck zu machen.	However, I really cannot follow what Mr Krahmer means if he is saying, basically, that if someone has enough money to buy a particularly large and expensive car they also acquire the right, at the same time, to cause more pollution.
Diese Auffassung kann ich beim besten Willen nicht teilen.	With the best will in the world, I cannot share this view.
Das Problem ist nur: Wir haben es hier- wie Herr Groote völlig richtig gesagt hat - mit einem Gesamtkompromiss zu tun.	The problem, put simply, is that, as Mr Groote is quite right to point out, what we are dealing with here is a compromise as part of a complete package.
Sie haben sicherlich bemerkt, dass die Kommission mit einem Punkt dieses Kompromisses ganz und gar unglücklich ist.	I am sure that you have noticed that the Commission is very unhappy indeed with one element of this compromise.
Das ändert jedoch nichts daran, dass wir Sie dringend bitten, dem Gesamtkompromiss zuzustimmen und keine Abänderungsanträge der beschriebenen Art zu stellen, weil sonst in der Tat das ganze Paket auseinander fliegt und überhaupt nicht erkennbar ist, wann wir zu einer Lösung kommen werden.	However, this does not in any way change the fact that we are urging you all to vote in favour of this package compromise and not to table any amendments of the type described because, otherwise, the entire package will, in fact, collapse and it will no longer be at all possible to tell when we will ever reach a solution to this issue.
Da muss man manchmal - wie wir im Deutschen sagen - eine Kröte schlucken.	Sometimes, you just have to bite the bullet, or swallow the toad, as we say in German.
Lassen Sie mich zum Schluss noch auf ein Argument eingehen, das mehrere Redner gebraucht haben: die Frage, wie alt die europäische Flotte ist und was diese Vorschriften eigentlich bewirken.	Allow me, by way of conclusion, just to say something in response to an argument that a number of speakers have used today. This relates to the age of the cars on Europe's roads and what impact these regulations will actually have.
Das ist ein sehr ernsthaftes Problem.	This is a very serious issue.
Tatsächlich sind die meisten Fahrzeuge, die auf unseren Straßen unterwegs sind, natürlich nicht so ausgerüstet, dass sie der jeweils aktuellsten Abgasnorm entsprechen.	In reality, of course, most vehicles on our roads are not equipped to meet the most up-to-date regulations on exhaust gases.
Tatsächlich ist es so, dass sich unsere europäische Flotte jedes Jahr nur um 8 % erneuert. Das heißt, es dauert über 10 Jahre, bis sich die gesamte Flotte erneuert hat.	In reality, only 8% of the cars on Europe's roads are replaced each year, so that it will take over 10 years for all of the cars on the roads to be replaced.
Bis z. B. Euro-4 in der europäischen Flotte vollständig verwirklicht ist, werden wir wahrscheinlich bereits das Jahr 2015 oder 2016 erreicht haben.	Thus, for example, it will probably be 2015 or 2016 before Euro 4 applies to all the vehicles on Europe's roads.
So sind in der Tat die Realitäten, und es wäre in der Tat besonders begrüßenswert, wenn es uns gelingen würde, die Verbraucher dazu zu bringen, die umweltfreundlicheren Autos schneller anzuschaffen.	These are the actual realities and it would indeed be a very welcome achievement if we were to be able to convince consumers to get hold of more environmentally friendly cars more quickly.
Dazu müssten sie aber erschwinglich bleiben.	If that, though, is to happen, such cars must remain affordable.
Daran führt kein Weg vorbei, und das ist der Grund, warum ich glaube, dass der Vorschlag, der hier vorliegt und dessen Annahme ich Ihnen empfehle, im Endergebnis eindeutig der beste ist.	We have no way of bringing such a situation about, and it is for this reason that I believe, in the final analysis, that the proposal before us, which I recommend you to adopt, is clearly the best achievable.
