Herr Präsident!	.
Ich möchte mich den Glückwünschen, die es am Vormittag für den Berichterstatter John Bowis gegeben hat, aus vollem Herzen und aus voller Überzeugung anschließen.	Mr President, I would like to wholeheartedly endorse the congratulations that greeted Mr Bowis’ report this morning.
Das ist für ihn selbst sicher keine Überraschung; er hat einen sehr ausgeglichenen und sehr fortschrittlichen Bericht zu einem wichtigen Thema präsentiert, und ich hoffe, dass er eine überwiegende Mehrheit in diesem Haus finden wird.	I am sure that will come as no surprise to him, for he has presented a very even-handed and forward-looking report on an important subject, and I hope that it will receive the backing of an overwhelming majority in this House.
Das Thema schwere und vernachlässigte Krankheiten in Entwicklungsländern ist ein Thema, das einen starken Kontext zu Menschenrechten aufweist.	The subject of major and neglected diseases in developing countries has a considerable human rights dimension to it.
Das Recht auf Gesundheit, das Recht auf Zugang zu Medikamenten ist in erster Linie eine soziale Frage, weil von den vernachlässigten Krankheiten vor allem die Entwicklungsländer betroffen sind, und dort natürlich wieder die Ärmsten der Armen.	The rights to health and to access to medication are primarily social issues, for it is above all the developing countries that are affected by the neglected diseases, and in them, as so often, the poorest of the poor.
Deswegen finde ich es gut, dass wir im Bericht Bowis einen klaren Kontext zu anderen politischen Themen finden, wie z. B. Entschuldung der ärmsten Länder unserer Welt.	It is for that reason that I think it is a good thing that the Bowis Report explicitly puts these in the context of other political issues, such as, for example, the cancellation of the poorest countries’ debts.
Wenn weiterhin 40 % des Bruttoinlandsproduktes dieser Länder für den Schuldendienst ausgegeben werden, dann können wir hier weiterhin Entschließungen annehmen, aber an der Situation, am Gesundheitssystem in den betroffenen Ländern wird sich nichts ändern.	If these countries carry on spending 40% of their gross domestic product on servicing debts, then there will be no changes in the situation or in the health systems of the countries themselves, no matter how many resolutions we adopt in this House.
Ich finde es auch sehr begrüßenswert, dass ein breiter Teil des Berichts Bowis der Problematik HIV/Aids gewidmet ist und dies wie gewohnt auch in einer sehr, sehr fortschrittlichen Art und Weise.	I am very glad to see that Mr Bowis devotes a large part of his report to the problem of HIV/AIDS, and, as usual, takes a very progressive line on them.
Wir können nicht müde werden zu wiederholen, dass Prävention der wichtigste Schritt bei der Bekämpfung von HIV/Aids ist, und wenn der Bericht Bowis sagt, dass es 2004 erstmals wieder extrem hohe Infektionsraten gegeben hat, dann ist das ein Zeichen für eine politische Situation, die wir hier in diesem Parlament schon lange kritisieren: Es gibt zu wenig Finanzmittel, zu wenig Unterstützung – hier richtet sich die Kritik vor allem gegen die Bush-Regierung der Vereinigten Staaten –, als dass man diese Prävention auch wirklich durchführen könnte.	We must be tireless in making the point that the most important thing that can be done to combat HIV/AIDS is to prevent it, and the statement in the Bowis Report that 2004 saw new and extremely high levels of infection is an indication of a political situation of which this House has been critical for a long time, namely that there is too little funding and too little support to enable preventive measures to be properly implemented, and this criticism is primarily directed at the Bush administration in the United States.
Ich glaube, hier rein dogmatisch und nur grundsätzlich vorzugehen, ohne die Realität in den Entwicklungsländern zu sehen, ist der falsche Weg.	I believe that it is wrong to approach this dogmatically, as if it were only a matter of principle, without looking at the reality of the developing countries.
Ich danke John Bowis, dass wir gemeinsam mit dem Europäischen Parlament und mit der Europäischen Kommission aufzeigen, dass die Europäische Union einen anderen Weg einschlägt.	I am grateful to Mr Bowis for enabling us in the European Parliament to join with the Commission in showing that the European Union is going down another road.
In allen Stellungnahmen, sei es von der Nichtregierungsorganisation „Ärzte ohne Grenzen“, sei es von der Weltgesundheitsorganisation, wird ein Punkt unterstrichen: Wir werden die Problematik nicht lösen, indem wir uns auf die Marktkräfte verlassen, sondern wir werden diese Problematik nur in den Griff bekommen, wenn es massive Investitionen der öffentlichen Hand geben wird und die öffentliche Hand eine stärkere Rolle spielt, sowohl in den europäischen Ländern als auch in den betroffenen Entwicklungsländern.	In all the statements, whether from the non-governmental organisation ‘Médecins Sans Frontières’ or from the World Health Organisation, one point is underlined, and that is that we will not resolve the problem by relying on market forces; rather, we will get a grip on it only with massive public investment and a greater role for the public sector, not only in Europe but also in the developing countries that are affected.
Dies ist ein Punkt, den man meiner Ansicht nach zu selten hört; sehr oft hören wir hingegen den Ruf nach weniger öffentlicher Hand.	I believe that this point is all too seldom made, while we very often hear demands for less public intervention.
Wenn wir dieses Problem ernsthaft lösen wollen, dann brauchen wir ein Bekenntnis, und ich habe mich sehr darüber gefreut, dass der Herr Kommissar heute von Überlegungen in Richtung von konkreten Förderungsmaßnahmen gesprochen hat, bei denen man auch in Grundsatzforschung investiert.	If we are serious about wanting to resolve this problem, we need an affirmation to that effect, and I was very glad to hear the Commissioner speak today about how consideration is being given to concrete measures of support, which would also involve investment in fundamental research.
