schriftlich. - Ich begrüße, dass es schlussendlich eine Einigung zum Budget 2011 gibt.	I welcome the fact that we have finally come to an agreement on the 2011 budget.
Damit ist finanzielle Sicherheit für den sensiblen Agrarsektor gegeben.	This will ensure financial security for the vulnerable agriculture sector.
Die EU-Agrarpolitik braucht besonders in schwierigen Zeiten stabile Budgetrahmenbedingungen.	EU agricultural policy needs a stable budget framework, in particular, during difficult times.
Eine 12tel Regelung hätte manche Staaten, die bereits ihre Agrarzahlungen an die Bauern weitergeben haben, in ernste Finanzierungsnöte gebracht.	A twelve-part budget would have caused serious financial difficulties for many Member States which have already passed on agricultural payments to farmers.
In der Landwirtschaft besteht eine große Abhängigkeit von den EU-Zahlungen.	Agriculture is heavily dependent on EU subsidies.
Die bäuerlichen Familien brauchen Planungssicherheit für die Zukunft ihrer Betriebe.	Farming families need the security to plan ahead for the future of their businesses.
Die Direktzahlungen stehen EU-weit für 40% des Bauerneinkommens und schaffen Einkommenssicherheit angesichts niedriger Erzeugerpreise, hoher Produktionskosten und Marktschwankungen.	Throughout the EU, direct payments represent 40% of farm incomes and provide financial security against a background of low producer prices, increasing production costs and fluctuating markets.
Die Maßnahmen aus dem Programm der Ländlichen Entwicklung kommen direkt dem ländlichen Raum zu Gute und beleben regionale Wirtschaftskreisläufe.	The measures which form part of the rural development programme bring direct benefits for rural areas and stimulate regional economies.
Gerade die österreichischen Betriebe profitieren von beiden Maßnahmen, der 1. und der 2. Säule.	Farms in Austria, in particular, benefit from both the 1st and 2nd pillar measures.
58 Prozent des jährlichen Agrarbudgets in Österreich kommen aus der EU.	A total of 58 percent of Austria's annual agricultural budget comes from the EU.
Die Aufgaben der Landwirte in der EU sind vielfältig und verantwortungsvoll und werden mehr: die Lebensmittelproduktion auf dem Niveau höchster Qualitäts- und Tierschutzstandards erfolgt im Einklang mit Klima- und Umweltschutz und dem Erhalt der Biodiversität.	Farmers in the European Union have a wide range of responsible jobs to do which are increasing in number. They have to produce top quality food and comply with high standards of animal welfare while helping to prevent climate change, protect the environment and maintain biodiversity.
Die unverzichtbaren Leistungen erfordern eine sichere Einkommensgestaltung für die Landwirte durch eine vernünftige, stabile EU-Finanzpolitik.	In order to be able to provide these essential services, farmers must have a reliable income based on sensible, stable EU financial policy.
In Hinblick auf die Verhandlungen zum Finanzrahmen 2014 bis 2020 müssen alle Leistungen der Landwirtschaft mit derselben Budgethöhe anerkannt werden.	As far as the negotiations on the financial framework for 2014-2020 are concerned, all aspects of agriculture must have the same level of budget funding.
