im Namen der Verts/ALE-Fraktion. - Es tut mir Leid, Hans-Gert, ich bin's nur!	I am sorry, Hans-Gert, it is only me!
(Heiterkeit)	(Laughter)
Frau Ratspräsidentin, Herr Präsident, liebe Kolleginnen und Kollegen! Das Ergebnis ist okay, es ist sogar sehr gut.	Mr President, Madam President-in-Office, ladies and gentlemen, the result is okay; it is even very good.
Ohne Umschweife müssen wir sagen: Die deutsche Präsidentschaft hat es - mit allen, die Europa voranbringen wollten - geschafft, Europa voranzubringen.	In plain language we have to say that the German Presidency - together with all those who wanted to move Europe forward - has managed to move Europe forward.
Der Text ist in Ordnung, aber die Musik war grausam.	The script is fine, but the soundtrack was awful.
Da konnte man gar nicht zuhören.	It was too painful to listen to.
Ich will eines feststellen: Die Bürgerinnen und Bürger sind einerseits beruhigt, dass Europa handeln und entscheiden kann, aber die Bürgerinnen und Bürger in Europa sind auch von dem Prozess ausgeschlossen worden, und das wird sich längerfristig nicht halten lassen.	I want to stress one point: on the one hand our citizens are reassured that Europe can act and make decisions, but the citizens of Europe have also been excluded from the process and in the longer term this will prove untenable.
Wir können Europa nicht aufbauen, ohne dass die Bürgerinnen und Bürger die Prozesse des Aufbaus mitgestalten.	We cannot build Europe unless our citizens help to shape the construction process.
Wenn wir so weitermachen, wird das Ding irgendwann genauso zerplatzen wie viele unserer Kinderträume zerplatzt sind.	If we continue as we are then at some point the edifice will crumble, like so many of our childhood dreams.
Ich bleibe dabei: Europa ist in der midlife crisis.	To keep the image, Europe is experiencing a midlife crisis.
Wir haben es irgendwie mit sehr geschickten Handlungsweisen von wenigen geschafft.	Somehow, thanks to some very skilful manoeuvring from a handful of people, success was achieved.
Übrigens: Wenn man in Frankreich ist, dann glaubt man, bei diesem Gipfel sei ja nur Sarkozy da gewesen und sonst niemand.	Incidentally, in France you get the impression that Sarkozy was the only one at the Summit, and no one else.
Es ist ganz gut zu hören, dass die Verdienste hier auf alle ausgeweitet werden.	It is very good to hear the plaudits being shared out more widely today.
Zu einem anderen Punkt: Es ist etwas passiert, das wir als Grüne nicht akzeptieren und wogegen wir bis zum Ende argumentieren werden.	On another point: something happened that we Greens cannot accept and that we will oppose to the end.
Man kann sich nicht aus einer Grundrechtecharta heraushalten.	It is not possible to opt out of a Charter of Fundamental Rights.
Entweder wir haben eine oder wir haben keine.	Either we have one or we do not.
Es ist doch absurd, wenn wir sagen, wir haben eine Grundrechtecharta mit gemeinsamen Werten, die dort gilt, wo sie gilt, und die dort nicht gilt, wo sie nicht gilt.	Surely it is absurd to say that we have a Charter of Fundamental Rights with common values that applies in some places and does not apply in others.
Dann gehen wir zu Herrn Putin und sagen: Wir sind eine Wertegemeinschaft!	We might go to Mr Putin and say: we are a Community of values.
Und Herr Putin und die Chinesen werden entgegnen: Außer da, wo ihr das nicht seid!	Mr Putin and the Chinese will counter: except for where you are not!
Das ist unmöglich!	This is impossible.
(Beifall)	(Applause)
Wir wollen in den nächsten Jahren einen Prozess, an dessen Ende es heißt, dass zur Europäischen Union auch die Grundrechtecharta gehört.	Over the next few years we want a process to make the Charter of Fundamental Rights part of the European Union.
Jeder britische Bürger und jeder polnische Bürger hat die gleichen Rechte zu haben wie alle anderen europäischen Bürger.	Every British citizen and every Polish citizen is entitled to the same rights as any other European citizen.
Wenn dem nicht so ist, bieten wir dem betreffenden Staat eine privilegierte Partnerschaft an.	If that is not the case then we are offering the State concerned a privileged partnership.
Europa ist in oder out.	With Europe you are either in or out.
Hören wir auf mit dem Unsinn!	Let us put an end to this nonsense!
Ich bin der festen Überzeugung, dass wir vor Herausforderungen stehen, die wir national nicht meistern können.	I am firmly convinced that we are facing challenges that we will not be able to overcome as individual nations.
Und diese nationalen Gesänge, die es bei den Gipfeltreffen gibt, sind Zersetzungsgift für das, was wir machen wollen.	These national ritualistic chants that we have at Summit meetings pour poison on our plans.
Die Völker müssen sich über ihre Regierungen entscheiden, ob sie dabei sein wollen.	Each nation must decide through its government whether it wants to be on board or not.
Das Gute an diesem Vertrag ist, dass es irgendwann eine Ausstiegsklausel geben wird.	The good thing about this Treaty is that at some point there will be a withdrawal clause.
Wir sind nicht gezwungen, immer zusammen zu bleiben.	We are not forced to stay together for ever.
Wer nicht will, muss nicht.	Anyone who does not wish to does not have to.
Die Tyrannei der Minderheit mit dem Vetorecht ist das Undemokratischste, das es gibt.	The tyranny of a veto-wielding minority is as undemocratic as it gets.
Deshalb, Frau Ratspräsidentin, war es schon bewundernswert, wie Sie als Frau mit diesen Machos à la Blair umgegangen sind.	That is why, Madam President-in-Office, it was certainly impressive to see how you, a woman, dealt with those machos like Blair.
Ich spreche nicht nur von den Zwillingen, weil Tony Blair es war, der die Axt an unser Handeln gelegt hat.	I am not only talking about the twins, because Tony Blair was the one who took an axe to our project.
Dabei hatte er alles schon unterschrieben und kam dann zurück und sagte: Ich kann nicht.	Despite everything already being signed and sealed he came back and said: I cannot.
Eines der wenigen Dinge, die ich in der Politik gelernt habe, ist, dass eine einmal unterschriebene Sache Gültigkeit besitzt.	One of the few things that I have learnt in politics is that once something is signed there is no turning back.
Und worüber da argumentiert wurde, ist alles schon im Konvent geregelt worden, auch die Dimension der Grundrechtecharta.	What is more, the issues that were being disputed had already been resolved in the Convention, including the scope of the Charter of Fundamental Rights.
Wer das zurücknimmt, zeigt, dass er Europa nicht ernst nimmt.	Anyone who goes back on that shows that they do not take Europe seriously.
Das ist das Dramatische, das ist das Traurige, dass es Regierungen gibt, die Europa nicht ernst nehmen.	The most tragic, saddest aspect of all of this is that there are governments that do not take Europe seriously.
Du hast Recht, Martin, sie wollen Europa melken und dabei wollen sie gleichzeitig die Kuh fressen, sie verkaufen.	You are right, Martin, they want to milk Europe and at the same time they want to eat the cow, sell it.
Das können wir nicht dulden, und deswegen werden wir als Grüne eine Kampagne machen, die heißt: We want our rights back!	We cannot tolerate this and that is why we Greens will be holding a campaign called: We want our rights back!
(lebhafter Beifall)	(Loud applause)
