Herr Präsident! Gückwunsch an den Herrn Kommissar, Glückwunsch an Peter Liese!	Mr President, I congratulate the Commissioner, and I congratulate Mr Peter Liese.
Nachdem der Ausschuss den Änderungsantrag 30 angenommen hat, war es mir ein wirkliches Bedürfnis, hier noch anzuhängen, dass die Mitgliedstaaten sich mindestens an das Verbot halten sollten, Forschung zu betreiben, bei der menschliche Embryonen zerstört werden.	After the committee adopted Amendment No 30, I felt a real need to add here that the Member States should, at the least, uphold the ban on research involving the destruction of human embryos.
Sehen Sie, ich nehme jetzt für mich eine der ganz großen Errungenschaften dieses europäischen Kontinents in Anspruch.	You see, I would now like to exercise one of the great achievements of our European continent.
Ich beanspruche die Errungenschaft der Gedankenfreiheit und der Gewissensfreiheit, und bitte machen Sie es sich nicht so einfach zu sagen, wir sind nicht da, um Moral zu predigen!	I would like to exercise the achievements of freedom of thought and freedom of conscience. Please do not try to make matters easy for yourselves by claiming that we are not here to preach morality!
Worum geht es denn sonst, wenn es darum geht, Embryonen zu zerstören?	What else is at stake, then, when embryos are destroyed?
Wir brauchen überhaupt nicht zu harmonisieren, denn wir haben eine gemeinsame Ethik, die zumindest lautet: Du sollst nicht töten!	We do not need to harmonise at all, for we all share a common set of ethics which states, at least: you shall not kill!
Ich respektiere Ihre Meinung, aber respektieren Sie doch die Meinung derer, die sagen: Ich will nicht töten!	I respect your opinion, but please respect the opinion of others who say: I will not kill!
Man hat mir nun einmal gesagt, dass im Augenblick der Verschmelzung von Ei- und Samenzelle ein ganz bestimmter Mensch entstanden ist - nicht irgend jemand - mit einer bestimmten Haarfarbe, mit bestimmten Eigenschaften. Das ist ein Mensch!	Someone once told me that at the very moment when the egg and sperm cells join, a unique person is created - not just anyone, but a person with a specific hair colour and individual qualities - in other words, a human being.
Ich weiß schon, es gibt die berühmten 14 Tage, Mr. Purvis.	I know there are the famous fourteen days, Mr Purvis.
Da sind wir uns nicht so ganz einig.	I am afraid that we do not entirely agree on this issue.
Ist da schon die Individuation entstanden oder nicht?	Has individuation occurred or not?
Töte ich da nicht schon?	Am I not already killing?
Bitte, nehmen Sie zur Kenntnis, dass Menschen Angst davor haben, töten zu müssen!	Please recognise that people are afraid of having to kill.
Aber vielleicht diskutieren wir hier etwas völlig Unnötiges.	Yet perhaps we are discussing all this quite unnecessarily.
Ich möchte Ihnen mitteilen, dass vor wenigen Tagen Universitätsprofessor Dr. Huber von der Universität Wien seine allerneuesten Errungenschaften und Forschungen vorgestellt hat.	Let me tell you that a few days ago, Professor Huber of Vienna University presented his most recent research achievements and findings.
Er hat in jahrelanger Arbeit mit Nabelschnurblut ungeheure Erfolge erzielt, die ihm wirklich berechtigte Hoffnung geben, in wenigen Jahren Organe daraus züchten zu können.	In many years of work on blood obtained from umbilical cord, he has achieved massive successes which give him the justified hope that in a few years, he will be able to generate organs from it.
