Frau Präsidentin, sehr geehrter Herr Kommissar! Vier Bemerkungen.	Madam President, Commissioner, I should like to make four comments.
Erstens zur Sitzverlegungsrichtlinie. Ich denke, die Kommission sollte ihre Argumentation aufgeben.	Firstly, with regard to the directive on the transfer of registered offices, I think that the Commission should abandon its argument, as it runs the risk of making itself a laughing stock among experts.
Sie läuft Gefahr, sich in der Fachwelt lächerlich zu machen. Die Theorie, dass man ja eine Sitzverlegung dadurch regeln könne, dass man in einem Nachbarstaat ein Unternehmen gründet und dann mit Hilfe der Fusionsrichtlinie das eigene Unternehmen mit diesem neugegründeten Unternehmen verschmilzt, ist an Bürokratie kaum noch zu überbieten.	The theory that transfers of company seats can be arranged such that a company is started up in a neighbouring country and then one's own company merged with it under the Directive on mergers could scarcely be more bureaucratic.
Wir reden hier von Bürokratieabbau und davon, dass wir für KMU Dinge erleichtern wollen.	We are talking here about reducing bureaucracy and trying to make things easier for SMEs.
Dieser Vorschlag ist nur ein Beleg dafür, wie unsinnig das Festhalten der Kommission an der Nichtvorlage zur 14. Richtlinie ist.	This proposal just goes to prove how little sense it makes for the Commission to persist in refusing to present a proposal on the 14th Directive.
Das ist ein Geschäft für Anwälte, das hilft aber sonst niemandem.	This benefits no one but lawyers.
Zweiter Punkt, die Mitbestimmung. Frau van den Burg hat Recht.	My second point concerns participation.
Wirkliche kleine und mittelständische Unternehmen sind durch den Kompromiss, den wir vorgelegt haben, überhaupt nicht betroffen.	Mrs van den Burg is right: real SMEs are not affected in the slightest by the compromise we have presented.
Es geht ausschließlich darum, Missbrauchsfälle zu vermeiden und Unternehmen, die wirklich große Unternehmen sind und die eigentlich von der Zahl ihrer Mitarbeiter her passender zur Europäischen Aktiengesellschaft statt zur Europäischen Privatgesellschaft werden würden, ebenfalls zu erfassen.	We are aiming only to avoid abuses and to record companies that are actually large companies and are more suited to the European company than to the European private company in terms of the number of employees.
Es gibt praktisch nur Missbrauchsfälle, die erfasst sind.	It is practically only abuses that are being recorded.
Dritter Punkt, die Sitztheorie. Es gibt nur noch sieben Mitgliedstaaten, die der Sitztheorie anhängen.	My third point concerns the real-seat theory, to which only seven Member States remain committed - only seven!
Es sind nur noch sieben! Deutschland als größter Mitgliedstaat hat im letzten Jahr die Sitztheorie aufgegeben.	Last year, the largest Member State, Germany, abandoned this theory.
Der Europäische Gerichtshof vertritt sie ohnehin nicht, sondern lässt sie in Ausnahmefällen, wie bei Cartesio belegt, zu.	The European Court of Justice does not advocate it, but allows it in exceptional cases, as proved by the Cartesio ruling.
Der Zug ist abgefahren. Der Streit darüber bringt nichts mehr.	That ship has sailed; there is no point in continuing to argue about it.
Vierte Bemerkung: Die Argumentation der Linken - vorhin war während der Debatte kein Vertreter mehr zugegen -, dass man den Vorschlag ablehnen müsse, berücksichtigt - und da hat der Kollege Medina vollkommen Recht - nicht den Inhalt des Berichts.	The fourth thing I want to say is that the argument on the part of left-wing Members - none of whom stayed for the debate earlier on - that the proposal should be rejected does not take account of the substance of the report - Mr Medina Ortega is absolutely right about this.
Alles, was an Kritik vorgetragen wurde, ist durch den Inhalt des Berichts eigentlich erledigt.	The substance of the report actually takes care of all the criticism that has been presented.
Darum sollte vielleicht auch die Linke noch einmal darüber nachdenken, ob sie nicht den Bericht und die Anträge noch einmal liest und dann noch einmal in der Fraktion berät.	Therefore, I would suggest that the left-wing Members, too, consider rereading the report and the amendments and then discussing them once again with their group.
