Herr Präsident! Die Geschichte der Verordnung zum biologischen Landbau beginnt 1992.	Mr President, the history of the regulation on organic farming began in 1992.
Erste Beratungen mündeten in die Verordnung für den pflanzlichen Bereich, dann folgte die Festlegung durch das Parlament und auch die Verpflichtung der Kommission, daß ein Jahr später der tierische Bereich folgen sollte.	Initial discussions led to the regulation on plants, then followed the commitment by Parliament and then by the Commission that animals would be covered a year later.
Nun sind wir im Jahre 1999, und es ist richtig, was der Herr Ratspräsident vorhin gesagt hat, daß es nämlich nun darauf ankommt, sie auch zu verabschieden.	It is now 1999, and as the President-in-Office said earlier, all we have to do now is to adopt it.
Aber bitte, Herr Funke, nicht Eile vor Qualität, wo wir jetzt schon so lange daran arbeiten!	But please, Mr Funke, do not put urgency before quality since we have been working on this for so long already!
Wie stellt sich die Situation jetzt dar?	What is the current situation?
Das Gesetzgebungsverfahren ist so weit, daß das Parlament hierzu Stellung genommen hat.	We are now at the stage of the legislative procedure where Parliament has adopted a position on this issue.
Die Kommission hat einige Änderungsvorschläge des Parlaments übernommen.	The Commission has adopted some of Parliament's amendments.
Diesen Vorschlag mit den geänderten Vorschlägen des Parlaments an den Rat kann dieser nur einstimmig zurückweisen, wenn die Kommission bei ihrem Vorschlag bleibt.	The Council requires a unanimous vote to reject this modified proposal containing Parliament's amendments, if the Commission keeps to its proposal.
Ich will auf zwei Punkte eingehen, die Anbindehaltung und die Gentechnik.	I would like to discuss two points: tethering and gene technology.
Die Anbindehaltung ist in dem Vorschlag der Kommission überhaupt nicht erwähnt.	Tethering is not mentioned at all in the Commission's proposal.
Das heißt, dieser Aspekt müßte jetzt im Nachhinein eingefügt werden, und die Kommission müßte Kompromißbereitschaft zeigen, damit diese Problematik berücksichtigt wird, weil sie jedenfalls bei Rindern und Kühen völlig fehlt.	This means that it will have to be inserted later and the Commission will have to be prepared to compromise so that this problematic issue can be covered, because it is a subject that has been neglected completely, at least for cattle.
Ich plädiere dafür, hier nicht auf übertriebenen Tierschutz zu pochen, der im wesentlichen mit einer artgerechten Haltung nichts zu tun hat.	I would ask you not to insist excessively on animal welfare, which essentially has nothing to do with appropriate ways of keeping animals.
Es ist auch eine artgerechte Anbindehaltung möglich, doch hier sollte man dann genaue Ausführungen machen, aber man sollte nicht das Kind mit dem Bade ausschütten.	Appropriate tethering is perfectly possible, but exact details must be given, and we must not throw the baby out with the bath water.
In der Frage der Verwendung von gentechnisch veränderten Organismen ist die Grundlage anders.	For the use of genetically modified organisms the principle is different.
Hier war nämlich von der Kommission der Vorschlag übernommen worden, daß wir in dieser Verordnung, also im biologischen Anbau, keine Verwendung von gentechnisch veränderten Organismen haben wollen.	The Commission adopted the proposal that we do not want the use of genetically modified organisms to be included in this regulation and therefore in organic production.
Also ein Verbot!	This is therefore a ban.
Es gibt ein Verbot der Verwendung gentechnisch veränderter Organismen, und das soll auch so bleiben!	There is a ban on using genetically modified organisms, and it should remain.
Doch jetzt kommt das Problem: Was wird denn mit möglicherweise kontaminierten Organismen?	Yet we have the problem of what to do with potentially contaminated organisms.
Hier beginnt nun die Aufweichung.	This is where we begin to weaken.
Bei der Anbindehaltung bin ich eher für eine moderate Haltung, hier aber bin ich für eine strikte Haltung, denn wenn wir die Kontaminierung zulassen und dann in der novel food -Verordnung, auf die sie sich bezieht, einen gewissen Prozentsatz zulassen, der nicht gekennzeichnet zu werden braucht, dann wird durch die Hintertür die Verwendung von gentechnisch veränderten Organismen zulässig, und wenn dann bei einer Untersuchung festgestellt wird, daß doch solche Organismen enthalten sind, dann sind wir unsere Märkte los.	With regard to tethering I am in favour of a moderate approach, but here I am in favour of a strict approach, because if we allow contamination and then in the novel foods regulation, to which it relates, allow a certain percentage that need not be labelled, we are allowing the use of genetically modified organisms through the backdoor; if tests then show that products do indeed contain such organisms, we will lose our markets.
Hier bitte ich, doch sehr sorgsam vorzugehen.	Here I would ask that we proceed with caution.
Außerdem ist ja die Frage der Kontaminierung auch davon abhängig, wie bei Freisetzungsversuchen dafür Sorge getragen wird, daß andere Flächen nicht kontaminiert werden.	Furthermore, the question of contamination is dependent on what measures are taken to ensure that other areas are not contaminated during release experiments.
Ich bitte, hier wirklich eine strenge Haltung an den Tag zu legen, Herr Kommissar!	I would ask for a very strict approach to be adopted here, Commissioner.
Sie haben es in der Hand.	It is in your hands.
Wenn Sie hier den Kompromiß mit dem Rat nicht suchen, dann kann der Rat nichts machen.	If you do not seek a compromise with the Council on this, the Council's hands are tied.
Möglicherweise verschieben wir die Angelegenheit dann noch einmal, aber dann darf nicht die Eile beschlossen werden, sondern dann muß die Qualität im Vordergrund stehen.	We may postpone the matter once again, but then we must not act in haste but give priority to quality.
