Frau Präsidentin! Vielen Dank noch einmal an den Berichterstatter für seinen guten Bericht.	Madam President, many thanks once again to the rapporteur for his excellent report.
Hochwertige Agrarprodukte sind ein großer Standortvorteil der europäischen Landwirtschaft, um sich im internationalen Wettbewerb behaupten zu können.	High quality agricultural products provide European agriculture with a major location advantage, allowing it to hold its own in the face of international competition.
Sie tragen damit wesentlich zur Entwicklung des ländlichen Raums innerhalb der Europäischen Union bei.	As a result, they play an important part in the development of rural areas within the European Union.
Landwirtschaftliche Erzeugnisse der Europäischen Union erfüllen bereits jetzt hohe Qualitätsnormen.	The European Union's agricultural products already meet high quality standards.
Europäische Standards gelten weltweit als sehr anspruchsvoll.	European standards have a global reputation for being very high.
Dies ist leider noch nicht allen Verbrauchern bewusst.	Unfortunately, not all consumers are aware of this.
Deshalb ist es wichtig, dass die Europäische Union ihre Qualitätspolitik und gleichzeitig auch ihre Informationspolitik verbessert.	It is therefore important for the European Union to improve its quality policy and, at the same time, improve its information policy.
Denn dies stellt einen Anreiz für Erzeuger dar, noch gezielter in den Bereichen Qualität und Lebensmittelsicherheit aktiv zu werden.	This will be an incentive for producers to focus more on quality and food safety.
Der Verbraucher hat ein Recht darauf, dass er landwirtschaftliche Produkte in der EU unbeschwert und ohne Reue genießen kann.	Consumers have a right to enjoy agricultural products in the EU without concern and without compunction.
Eine freiwillige Kennzeichnung "Made in der Europäischen Union" und eine verpflichtende regionale Kennzeichnung und im verpflichtenden Ursprungsnachweis schließen einander nicht aus.	Voluntary 'Made in the European Union' labelling and mandatory regional labelling, as well as mandatory proof of origin, are not mutually exclusive.
Andererseits, wenn es um die Verpackungsgrößen und um die geometrische Form von Agrarprodukten geht, gilt es Maß zu halten.	On the other hand, when it comes to packaging sizes and the geometric shape of agricultural products, we need to take a sensible approach.
Die Europäische Union ist nicht dazu da, sich mit der Krümmung von Gurken zu beschäftigen.	The purpose of the European Union is not to be concerned about the curvature of cucumbers.
Gleiches gilt für die Größe von Pizza.	The same applies to the size of pizzas.
Hier warne ich eindringlich vor einer Überregulierung.	I would seriously warn against overregulation here.
Wer regionale Wirtschaftskreisläufe will, setzt auf Qualität und nicht auf Krümmungsfaktoren.	If we want regional economic cycles, we need to focus on quality and not on degrees of curvature.
Wenn die Industrie die Einheitsgurke im Einheitsglas zum Einheitsgewicht haben will, ist das Sache der Industrie und nicht Sache der Europäischen Union bzw. des Europäischen Parlaments.	If the industry wants uniform cucumbers in uniform jars of uniform weight, that is up to the industry and not the European Union or the European Parliament.
Deshalb setzen wir auf Qualität und nicht auf Verpackungseinheiten.	Therefore, let us focus on quality and not packaging units.
Ich setze hier auf die Vernunft und die Klugheit des Europäischen Parlaments und auf unseren neuen Agrarkommissar, Herrn Cioloş.	In this regard, I trust in the common sense and wisdom of the European Parliament and of our new Commissioner for Agriculture, Mr Cioloş.
