Herr Präsident, Frau Kommissarin Gradin, meine lieben Kolleginnen und Kollegen!	Mr President, Mrs Gradin, ladies and gentlemen.
Miteinander ist besser als gegeneinander.	It is better to be with one another than against one another.
Einvernehmliche Anpassung der Wettbewerbsvorschriften Bulgariens an die Europäische Union ist besser als möglicher Einsatz von handelspolitischen Instrumenten gegen Bulgarien.	The friendly adjustment of Bulgaria's competition rules to bring them into line with the European Union is better than the possible use of trade-policy instruments against Bulgaria.
Das könnte das Leitmotiv für den ausgezeichneten Bericht von Frau Erika Mann sein, den sie uns eben vorgetragen hat und der heute zur Beschlußfassung vorliegt.	That could be the leitmotiv of Mrs Mann's excellent report, which she has just presented to us and which we now have to come to a decision on.
Auch die EVP-Fraktion unterstützt mit Nachdruck den Entwurf des Gemeinsamen Standpunktes des Rates.	The Group of the European People's Party also emphatically supports the proposal for a joint position by the Council.
Wir können zu Recht annehmen, daß der Handel zwischen der Europäischen Union und Bulgarien durch die Anwendung der vorschlagenen Bestimmungen auf eine faire Basis gestellt wird und sich rasch ausdehnen und verbessern kann.	We agree that trade between the European Union and Bulgaria can be put on a fair footing by applying the proposed provisions, so that it can rapidly expand and improve.
Auf dem nicht leichten Weg Bulgariens zur Mitgliedschaft in der Europäischen Union ist diese vorweggenommene Anpassung an den Bestand des Gemeinschaftsrechts eine wichtige Etappe.	This adjustment to existing Community law is an important step along Bulgaria's not so easy path towards membership of the European Union.
Ich unterstütze daher nachhaltig den Bericht von Frau Mann.	I therefore thoroughly support Mrs Mann's report.
Lassen Sie mich aber auch kurz auf die Finanzhilfe für Bulgarien eingehen, die wir heute morgen ohne Aussprache im Eilverfahren verabschieden mußten.	However, perhaps I could just say something about the financial aid that we had do decide on this morning, without a debate, using the urgency procedure.
Wir meinen, daß das langfristige Zahlungsbilanzdarlehen von bis zu 250 Millionen ECU mit einer Laufzeit von 10 Jahren eine ausgezeichnete Starthilfe für die neue bulgarische Regierung ist, die entschlossen die Reform der öffentlichen Haushalte angeht und die gesetzlichen Rahmenbedingungen für die soziale Marktwirtschaft schafft.	We believe that ECU 250 million over a running time of 10 years is an excellent starting aid for the new Bulgarian government, which is making a determined effort to reform the public budgets and to create the legal framework conditions for a social market economy.
Ministerpräsident Kostow und seine Außenministerin haben uns bei einem Gespräch in der EVP-Fraktion letzte Woche in Brüssel überzeugt, daß die in der Demokratischen Union zusammengeschlossenen Reformkräfte rasch die notwendige Modernisierung von Staat und Wirtschaft angehen werden.	The Prime Minister, Mr Kostov, and his Foreign Minister, in their talks with the Group of the European People's Party in Brussels last week, convinced us that the reforming powers that have come together in the new Democratic Union will quickly set about the task of modernizing the state and the economy.
Wir fordern die Kommission auf, die notwendige Hilfe rasch und unbürokratisch zu gewähren und damit Hilfestellung dafür zu leisten, daß das bulgarische Volk schnell aus einer schweren wirtschaftlichen Krise herauskommt und sich an die Europäische Union annähern kann.	We have asked the Commission to provide the necessary assistance in a rapid and nonbureaucratic manner, and thus help the Bulgarian people to emerge quickly from a serious economic crisis and come closer to joining the European Union.
Wir haben aber heute am 13. Juni kein Verständnis dafür, daß die Kommission den Außenwirtschaftsausschuß nicht unmittelbar nach Verabschiedung ihrer Vorlage am 22. Mai konsultiert hat.	However, today, on 13 June, we really cannot see why the Commission did not consult the Committee on External Economic Relations immediately after the adoption of its submission on 22 May.
Der Außenwirtschaftsausschuß hätte ohne Schwierigkeiten bei seiner letzten Sitzung im Mai einen Bericht verfassen und heute vorlegen können.	The Committee on External Economic Relations would not have had any difficulty, at its meeting in May, in drawing up a report, and submitting it today.
Solche Nachlässigkeiten wird das Parlament der Kommission in Zukunft nicht mehr durchgehen lassen.	Such negligence on the part of the Commission will not be tolerated by Parliament in future.
Darf ich Frau Gradin also sehr freundlich bitten -sie ist ja nicht dafür verantwortlich -, Herrn Van den Broek und auch Sir Leon Brittan aufzufordern, uns ins Zukunft rasch in ähnlichen Fällen zu konsultieren und dafür zu sorgen, daß sich diese Farce eines Verfahrens nicht mehr wiederholt.	May I also ask Mrs Gradin, very nicely - she is, after all, not responsible for this - to ask Mr Van den Broek and Sir Leon Brittan to consult us quickly, in future, on similar cases, and to ensure that this farce of a procedure is not repeated.
