Frau Präsidentin!	.
Zunächst zu den Anfragen der Abgeordneten Posselt, Papadimoulis und Karas zum Kosovo.	Madam President, I will start with the questions by Mr Posselt, Mr Papadimoulis and Mr Karas on Kosovo.
Gemäß der Erklärung von Thessaloniki, die die EU und die westlichen Balkanstaaten auf ihrem Gipfeltreffen im Juni 2003 abgegeben haben, liegt die Zukunft der westlichen Balkanregion, einschließlich des Kosovo, in der Europäischen Union.	According to the Thessaloniki Declaration, which the EU and the western Balkan states issued at their summit in June 2003, the future of the western Balkans, including Kosovo, is within the European Union.
Die Haltung des Rates zum Kosovo stützt sich auf eine Reihe von Grundsätzen, die der Europäische Rat im Rahmen seiner Erklärung zum Kosovo auf seiner Tagung vom 16. und 17. Juni 2005 angenommen hat.	The Council's attitude to Kosovo is based on a set of principles that the European Council adopted at its meeting on 16 and 17 June 2005 as part of its declaration on Kosovo.
Jede Lösung für den Status des Kosovo muss voll und ganz mit den europäischen Werten und Standards vereinbar sein, mit den internationalen rechtlichen Instrumenten und Verpflichtungen sowie der Satzung der Vereinten Nationen in Einklang stehen und zur Verwirklichung der europäischen Perspektive für den Kosovo und die Region beitragen.	Any solution for the status of Kosovo must be fully compatible with European values and norms, comply with international legal instruments and obligations and the United Nations Charter, and contribute to realising the European prospects of Kosovo and the region.
Der Status muss auf jeden Fall gewährleisten, dass im Kosovo nicht wieder jene Situation eintritt, die vor März 1999 herrschte.	Any agreement on status must ensure that Kosovo does not return to the pre-March 1999 situation.
Die Grundlage für die Bestimmung des Status müssen eine multiethnische Gesellschaft und die uneingeschränkte Achtung der Menschenrechte, einschließlich des Rechts aller auf Rückkehr, sein.	The determination of the future status of Kosovo must be based on multi-ethnicity, and on full respect for human rights, including the right for all to return home.
Dieser Status, und das ist auch ganz besonders wichtig, muss auch wirksame Verfassungsgarantien für den Schutz der Minderheiten vorsehen, wozu auch Mechanismen gehören, mit denen eine Beteiligung der Minderheiten an der Zentralregierung und an den Kommunalverwaltungen sichergestellt wird.	The status must also offer, and this is very important, effective constitutional guarantees to ensure that minorities are protected, including mechanisms to ensure their participation in central government and local administrative structures.
Außerdem muss er besondere Sicherungsmaßnahmen für das kulturelle Erbe und die religiösen Stätten einschließen und wirksame Mechanismen zur Bekämpfung der organisierten Kriminalität und des Terrorismus fördern.	It should also include specific safeguards to protect the cultural heritage and religious sites and to promote effective mechanisms to combat organised crime, corruption and terrorism.
Der Status muss zu mehr Sicherheit und Stabilität in der Region führen.	The status of Kosovo must also reinforce the security and stability of the region.
So wären jede einseitige oder gewaltsam erzwungene Lösung und jede Änderung des derzeitigen Gebiets des Kosovo unannehmbar, und es kann weder eine Teilung des Kosovo noch ein Zusammenschluss mit einem anderen Land oder einem Teil eines anderen Landes geben.	Thus any solution which was unilateral or resulted from the use of force, as well as any changes to the current territory of Kosovo, would be unacceptable, and there will be no partition of Kosovo, nor any union of Kosovo with another country or with part of another country.
Die territoriale Integrität der Nachbarländer muss vollständig gewahrt bleiben.	The territorial integrity of neighbouring countries must be fully respected.
Der Rat ist außerdem der Auffassung, dass der weiteren Umsetzung der Standards, sowohl jetzt als auch künftig, entscheidende Bedeutung zukommt, vor allem was den Schutz der Minderheiten betrifft.	The Council is also of the opinion that further implementation of both current and future standards is of particular importance, especially with regard to the protection of minorities.
In diesem Zusammenhang hat der Rat wiederholt betont, dass er die Arbeit des Sonderbeauftragten der Vereinten Nationen für den Kosovo, Herrn Søren Jessen-Petersen, schätzt und unterstützt.	In this connection, the Council has repeatedly emphasised that it values and supports the work of the UN's Special Representative for Kosovo, Mr Jessen-Petersen.
Der Rat ist entschlossen, umfassend an der Bestimmung des Status des Kosovo mitzuarbeiten und sich in den entsprechenden Verhandlungsprozess unter der Leitung der Vereinten Nationen einzubringen.	The Council is determined to work extensively to determine the status of Kosovo and to contribute to the related negotiation process led by the United Nations.
Zu diesem Zweck hat der Hohe Vertreter Solana im November 2005 Stefan Lehne als Beauftragten der Europäischen Union ernannt, der eng mit dem Beauftragten der Vereinten Nationen für die Statusfrage, Präsident Athisaari, zusammenarbeiten soll.	To this end, in November 2005 the High Representative, Mr Solana, appointed Stefan Lehne as the EU's representative, to work closely with the UN's Special Envoy for the future status process for Kosovo, Mr Ahtisaari.
Der Rat hat diese Ernennung gebilligt.	The Council endorsed this appointment.
Der Beauftragte der Europäischen Union übermittelt dem Beauftragten der Vereinten Nationen Beiträge für die Verhandlungen und hilft gleichzeitig der EU, sich auf ihre künftige Rolle im Kosovo im Folgezeitraum nach der Resolution 1244 vorzubereiten.	The EU's representative provides the UN Special Envoy with contributions for the negotiations and also helps the EU to prepare for its future role in Kosovo in the follow-up period to Resolution 1244.
Er arbeitet darüber hinaus eng mit den Mitgliedstaaten und der Kommission zusammen.	He also works closely with the Member States and the Commission.
