Lieber Daniel Cohn-Bendit, ich freue mich, Dich heute im Plenarsaal einmal begrüßen zu können.	Dear Daniel Cohn-Bendit, I am glad to have the pleasure of your company in the Chamber today.
Zwischenrufe	Heckling
In diesen Tagen befinden wir uns in einer besonderen Situation.	We find ourselves at present in a special situation.
Herr Ratspräsident, ich hoffe, Sie haben Verständnis dafür, daß die Situation leicht verworren anmutet.	Mr President-in-Office of the Council, I hope you will appreciate that the situation looks a little confused.
Die Opposition in Deutschland, die CDU/CSU, wird sich auch hier im Europäischen Parlament für eine Kontinuität deutscher Europapolitik einsetzen.	The opposition in Germany, the CDU/CSU, will urge Germany to show continuity in its European policy here in Parliament too.
Ich glaube, daß die Rede, die Sie heute gehalten haben, im Sinne dieser Kontinuität deutscher Europapolitik ist und die Basis für eine konstruktive Zusammenarbeit in den nächsten Monaten bei einer Reihe von Inhalten bildet.	I believe the statement you made today reflected that spirit of German continuity in its European policy and forms a basis for constructive cooperation on a number of issues in the coming months.
Wir möchten natürlich auch wissen, ob Sie der Ratspräsident fürs Äußere sind und der Bundeskanzler der wilhelminische Ratspräsident fürs Innere ist.	Of course we would also like to know whether you are the President of the Council for foreign affairs and the Chancellor is the Wilhelminian President of the Council for home affairs.
Diese Widersprüche, die manchmal auftreten, müssen natürlich beseitigt werden.	The differences that sometimes arise must, of course, be resolved.
Herr Ratspräsident, Sie werden es schwerer haben, notwendige Kompromisse auf europäischer Ebene durchzusetzen, wenn in Deutschland eine andere Stimmung gemacht wird.	Mr President-in-Office of the Council, you will find it more difficult to achieve the necessary compromises at European level if the mood within Germany is different.
Ich hoffe, daß Sie diese Dinge in Ordnung bringen können!	I hope you will manage to sort all this out!
Ganz besonders danke ich Ihnen für Ihre Darstellung zur institutionellen Reform.	Let me thank you most particularly for your words on institutional reform.
Der Kölner Gipfel muß ein Mandat sein im Sinne von mehr Mehrheitsentscheidungen und für mehr Mitentscheidung und auch für den Grundrechtekatalog.	The Cologne summit must act as a mandate for more majority decisions and more co-decisions, as also for the charter of fundamental rights.
Ich glaube, daß dies unter Einbeziehung des Europäischen Parlaments so präzisiert werden muß, daß wir in den nächsten zwei Jahren in diesem Bereich die notwendigen Schritte für die Erweiterungsfähigkeit der Europäischen Union zuwege bringen.	I believe that these matters must be carefully defined, with the participation of the European Parliament, so that in the next two years we can take the necessary steps to make the European Union capable of enlargement.
Sie müssen in Ihrer Ratspräsidentschaft eine Reihe von Dingen umsetzen, beispielsweise die Gemeinsame Außen- und Sicherheitspolitik.	During your presidency of the Council you will have to implement a range of policies, such as the Common Foreign and Security Policy.
Ich möchte Sie bitten, bei der Bestellung des hohen Beauftragten und der Zusammensetzung der Planungs-und Analyseeinheit mehr auf nationale Parlamente und das Europäische Parlament zu hören als vielleicht auf Ihre Diplomaten, damit dies für Europa ein Mehrwert wird und nicht zu einer Veranstaltung politischer Direktoren.	I would ask you, when you appoint the High Representatives and set up the planning and analysis unit, to perhaps listen more closely to national parliaments and to the European Parliament than to your diplomats, so that this becomes an added value for Europe rather than a board of political directors.
Ich möchte eine letzte Bemerkung machen: Die Beschäftigungspolitik ist eine wichtige Frage, darüber sind wir uns alle einig.	Let me make a final remark. Everyone agrees that employment policy is an important issue.
Deswegen hat die alte Bundesregierung in Amsterdam und in Luxemburg der Koordinierung europäischer Beschäftigungspolitik zugestimmt und daran mitgewirkt.	That is why the former German Government approved and participated in the coordination of European employment policy in Amsterdam and in Luxembourg.
Aber mehr als Koordinierung, mehr als Zielsetzung und bench-marking geht nicht, weil dafür die Instrumente fehlen.	But we cannot go any further than coordination, than setting out objectives and benchmarking, because we do not have the instruments to do so.
Man sollte nicht über den Beschäftigungspakt den Eindruck erwecken, als könne man eine gemeinsame Tarifpolitik von Finnland bis Portugal betreiben oder die Finanzierung von Arbeitsmarktpolitik vornehmen.	This employment pact should not be used to give the impression that we can pursue a common wage scale policy from Finland to Portugal or embark on financing a labour market policy.
Sie haben in Ihrer Rede von Arbeitsmarktpolitik gesprochen.	You spoke of labour market policy in your address.
Manchmal haben wir den Eindruck, daß einige Tage vor der Europawahl in der Beschäftigungspolitik eine große Show abgezogen werden soll, um daraus anschließend ein Alibi für nationale Wahlen vorzubereiten, weil man Europa verantwortlich macht für das eigene Scheitern in der nationalen Beschäftigungspolitik.	We sometimes get the impression that a huge employment-policy show is to be put on shortly before the European elections in preparation for then producing an alibi for national elections, because Europe is held responsible for the failure of national employment policies.
Europa ist zu schade, um in eine falsche Verantwortung genommen zu werden.	Europe is too important to be wrongly blamed.
