Herr Präsident, Herr Kommissar! Kein Ergebnis ist besser als ein schlechtes Ergebnis.	Mr President, Commissioner, no result is better than a bad result.
Das ist auch für uns die Schlußfolgerung, die aus den erfolglosen Verhandlungen in Seattle zu ziehen ist.	That is the conclusion which we too believe should be drawn from the unsuccessful negotiations in Seattle.
Darf ich Ihnen, Herr Kommissar Lamy, und der gesamten Delegation der Kommission für die gute Vorbereitung und die brillante Verhandlungsführung danken.	May I thank you, Commissioner Lamy, and the entire Commission Delegation for being so well prepared and for leading the negotiations so skilfully.
Das dynamische Handeln der Kommission in engem Zusammenwirken mit der Delegation des Europäischen Parlaments hat gezeigt, daß die Kommission mit ihrer umfassenden Verhandlungsstrategie die Weichen für einen möglichen Erfolg gestellt hatte.	By taking such a dynamic lead - in close cooperation with the European Parliament Delegation - the Commission showed, with its comprehensive negotiating strategy, that it had set the course for a possible success.
Die schlechte Vorbereitung von seiten der WTO, aber auch die Taktik der Vereinigten Staaten und anderer Staaten ließen aber einen erfolgreichen Abschluß nicht zu.	The poor level of preparation on the part of the WTO, but also the tactics of the United States and other countries, did not, however, permit a successful conclusion.
Wir nehmen auch mit Genugtuung Ihre jetzt noch einmal geäußerte Unterstützung für die von uns geforderte parlamentarische Versammlung der WTO nicht nur zur Kenntnis, sondern wir hoffen, daß Sie uns bei ihrer Umsetzung gegenüber der WTO und deren Verantwortlichen praktisch unterstützen werden.	It is with satisfaction that we also not only take note of your support - which you have just reiterated - for the WTO parliamentary assembly which we have called for, but also express the hope that you will give us practical support as far as those responsible in the WTO are concerned in our efforts to make this a reality.
Dabei sollte es die Zusammenarbeit zwischen der Europäischen Union, Nordamerika, Mercosur, ASEAN und AKP ermöglichen, daß diese parlamentarische Versammlung in wirksamer Weise organisiert wird, wobei die regionale Komponente für ein größere Wirksamkeit eine wichtige Rolle spielen kann.	In this process, cooperation between the European Union, North America, Mercosur, ASEAN and the ACP countries should allow this parliamentary assembly to be organised effectively, with the regional groupings able to play an important role in the interests of greater efficacy.
Was ist nun in den nächsten Monaten und vielleicht im nächsten Jahr zu tun?	Now, what needs to be done in the months, and perhaps in the year, ahead?
Wir meinen auch, wir müssen die globale Verhandlungsstrategie beibehalten und in den kommenden Monaten noch ausbauen.	We too believe that we need to keep the global negotiating strategy and consolidate it further in the coming months.
Wir müssen mit den jeweiligen Ländern, die unserer Position noch fernstehen, auch den Schwellenländern und den Entwicklungsländern, einen engen Dialog einleiten und fortsetzen.	We need to open and pursue an active dialogue with those countries, including the newly industrialised and developing countries, whose positions still diverge widely from ours.
Die Chancen, diese Länder zu überzeugen, sollten um so größer sein, wenn wir kohärent bleiben.	Our chances of winning over these countries should be all the greater if we remain consistent.
Folgende Kernbereiche des Handels mit Waren und Dienstleistungen sollen dabei in den Mittelpunkt gestellt werden: weitere Zollsenkungen und Abbau nichttarifärer Handelshemmnisse, Investitionen, Wettbewerb und Dienstleistungen, geistiges Eigentum, öffentliche Ausschreibungen, elektronischer Handel.	The focus here should be on the following core areas of trade in goods and services: further reductions in tariffs and the gradual elimination of non-tariff barriers to trade; investment; competition and services; intellectual property; public procurement and e-commerce.
Sie prägen die weitere Liberalisierung des Handels und bringen Vorteile für die meisten unserer Verhandlungspartner.	They are essential components of further trade liberalisation and will benefit most of our negotiating partners.
Außerdem ist die Reform der WTO vordringlich und unerläßlich.	In addition, reform of the WTO is urgent and imperative.
Zweitens, die europäische Umwelt- und Gesundheitspolitik, die Mindestnormen im Sozialbereich und die Entwicklungspolitik sollten dabei ihren Stellenwert behalten.	Secondly, in this process, European environmental and health policies, minimum social standards and development policy should retain their status.
Drittens, bei den anstehenden Agrarverhandlungen sollte die Multifunktionalität des europäischen Landwirtschaftsmodells, nämlich weitere Entwicklung des ländlichen Raums, Erzeugung von landwirtschaftlichen Qualitätsprodukten, Umwelt auch im Hinblick auf Artikel 20 der WTO-Vereinbarungen über die Landwirtschaft in den Mittelpunkt gestellt werden.	Thirdly, at the forthcoming negotiations on agriculture, emphasis should be placed on the multifunctional reasons for our European model of agriculture - the further development of rural areas, the provision of high-quality agricultural products and the environment - with reference being made also to Article 20 of the WTO Agreement on Agriculture.
In den beginnenden Verhandlungen mit China sollten wir uns auf unsere eigenen Interessen, die auch teilweise im Widerspruch zu denen der Vereinigten Staaten stehen, konzentrieren.	In the negotiations with China, which are now beginning, we should concentrate on our own interests, which are in part also contrary to those of the United States.
Die Senkung der hohen chinesischen Spitzenzölle, der Schutz des geistigen Eigentums und Investitionserleichterungen sind dabei die wichtigsten Elemente.	Reducing the high Chinese peak tariffs, protecting intellectual property and facilitating investment are the most important points here.
Die weitere Marktöffnung für die am wenigsten entwickelten Länder - und das müssen wir gemeinsam überlegen - sollte bei den Verhandlungen über die neue AKP-Konvention - ich weiß nicht, ob das einseitig geht - jedenfalls sehr bald realisiert werden.	Increased market access for the least developed countries - and this is something which we need to consider together - should in any case be achieved very soon as part of the negotiations on the new ACP convention, although I do not know whether this will work on a unilateral basis.
Acht- bis zehnjährige Ausnahmen sollten diesen Staaten eingeräumt werden, damit sie sich langsam an das Regelwerk der WTO annähern können, ohne ihre nachhaltige Entwicklung zu vernachlässigen.	These countries should be granted waivers of between eight and ten years to allow them to adopt the comprehensive WTO body of legislation slowly and gradually, without neglecting their programme of sustainable development.
