Herr Präsident, zunächst einmal möchte ich der Berichterstatterin für ihre Arbeit danken.	Mr President, first of all I should like to thank the rapporteur for her work.
Zur Erinnerung möchte ich noch einmal ganz kurz das neue Aktionsprogramm im Bereich Jugend für den Zeitraum 2000 bis 2007 umreißen.	As a reminder, I should like again quite briefly to sketch out the new action programme in the youth field for the period 2000 to 2007.
Das Aktionsprogramm soll zur Verwirklichung eines europäischen Bildungsraums beitragen, der das lebenslange Lernen fördert und eine uneingeschränkte Ausübung der Bürgerrechte ermöglicht.	The action programme sets out to contribute to the realisation of a European sphere of education which promotes lifelong learning and facilitates the unrestricted exercise of citizens' rights.
Mit diesem Aktionsprogramm sollen die bisherigen verschiedenen Programme im Jugendbereich gebündelt und konzentriert werden, wie die Berichterstatterin eben schon sagte.	By means of this action programme, the various programmes in the youth field which there have been so far ought to be brought together in concentrated form, as the rapporteur has just said.
Obwohl das neue Aktionsprogramm die bisherigen verschiedenen Programme im Jugendbereich bündelt und konzentriert, wird kein einzelnes Programm bevorzugt.	Although the new action programme is to take the various programmes there have been so far and bring them together in concentrated form, no single programme is to be preferred.
Das Parlament hat gegenüber der Kommission ja schon darauf geachtet, daß das Verhältnis der einzelnen Programme untereinander ausgewogen ist, wodurch eine bessere Verteilung der finanziellen Mittel gewährleistet ist.	Parliament has already approached the Commission to see to it that the relationship of the one programme to another is well-balanced, thereby guaranteeing a better distribution of financial resources.
Dadurch ist das neue Aktionsprogramm um einiges übersichtlicher und damit auch bürgerfreundlicher als die verschiedenen allzu weit verstreuten Jugendprogramme.	In this way, the new action programme will, in some ways, be easier to take an overview of and also, therefore, more citizen-friendly than the numerous youth programmes that are all too scattered.
Ein weiterer Vorteil für die Bürger ist die starke Dezentralisierung des Programms "Jugend ", das somit auch Jugendlichen in ihrem Heimatkreis die Teilnahme an dem Programm ermöglicht.	A further advantage for citizens is the considerable decentralisation of the youth programme which therefore also enables young people to take part in the programmes in their home areas.
Diesen Punkt finde ich sehr wichtig, denn er bietet auch den Jugendlichen eine Gelegenheit, mit Europa in Kontakt zu kommen, denen von zu Hause aus kein Interesse auf diesem Gebiet mitgegeben wurde.	I think this is very important because it also provides an opportunity for contact with Europe for young people in whom an interest in this area has not been inculcated at home.
Je früher Jugendliche mit anderen europäischen Nationalitäten zusammenkommen, desto eher nehmen sie aktiv an der Integration Europas teil.	The earlier young people get together with people of other nationalities in Europe, the sooner they will take an active part in the integration of Europe.
Das Aktionsprogramm Jugend fördert auch noch in einem weiteren Sinne die Integration Europas, indem es die Bewerberländer im Osten, Zypern, Malta und die Türkei miteinbezieht.	The youth action programme also promotes the integration of Europe in a further sense by including the applicant countries in the East, Cyprus, Malta and Turkey.
Dadurch haben die Jugendlichen die Möglichkeit, die kulturelle Vielfalt nicht nur der Staaten kennenzulernen, die bereits Mitglied in der Europäischen Gemeinschaft sind, sondern auch derer, die noch an den Grenzen dieser Gemeinschaft leben, von denen jedoch schon eine große Bevölkerungsgruppe in verschiedenen Mitgliedstaaten lebt.	In this way, young people have the opportunity to become aware of the cultural diversity, not only of those States which are already members of the European Community, but also of those which are still on the borders of this Community but large groups of whose populations already live in various Member States.
Dieser Umstand wirkt sich wiederum positiv auf den Kampf für die Achtung der Menschenrechte und gegen Rassismus, übertriebenen Nationalismus und Antisemitismus aus.	This state of affairs in turn has a positive effect upon the struggle for the respect of human rights and against racism, exaggerated nationalism and anti-Semitism.
Dadurch leisten die Jugendlichen einen aktiven Beitrag zum Aufbau und zur Integration Europas.	In this way, young people actively contribute to the construction and integration of Europe.
Durch die Mitwirkung an Programmen mit Teilnehmern aus verschiedenen Mitgliedstaaten entdecken die Jugendlichen die europäische Wirklichkeit in ihrer sozialen und kulturellen Vielfalt und öffnen sich für neue Umgebungen, was den Anreiz zum Erlernen einer Fremdsprache ungemein erhöht.	By contributing to programmes with participants from various Member States, young people discover the real Europe in its social and cultural diversity and become alert to new surroundings, something which greatly increases the incentive to learn a foreign language.
Der Ausschuß für Kultur, Jugend und Erziehung fordert für eine Programmdauer von sieben Jahren einen Gesamtfinanzrahmen von 980 Millionen Euro.	For a programme of seven years' duration, the Committee on Culture, Youth, Education, the Media and Sport requires an overall financial package of EUR 980 million.
Der Rat ist jedoch nur bereit, gerade mal die Hälfte des von uns beantragten Betrages zu genehmigen.	However, the Council is only prepared to approve exactly half of the amount we requested.
Ich glaube, an dieser Stelle nicht nochmal extra wiederholen zu müssen, daß sich diese Summe ja auf sieben Jahre verteilt, was einen jährlichen Betrag von 140 Millionen Euro bedeutet.	I believe that I do not have to repeat yet again here that this sum is in fact spread over seven years, meaning an annual amount of EUR 140 million.
Dieses Geld wird, wie Frau Gröner schon richtig sagte, nicht in irgendetwas investiert, sondern in die Zukunft Europas, und diese Zukunft liegt in der Jugend Europas!	As Mrs Gröner has already quite rightly said, this money is not being invested just anywhere but in the future of Europe, a future which lies with the youth of Europe.
Die Bildung der europäischen Jugend ist kein Bereich für Sparmaßnahmen.	The education of European youth is not an area in which money-saving measures are to be taken.
Es ist deshalb wichtig, daß das Parlament mit einer großen Mehrheit dem Programm zustimmt, damit wir mit sicherem Rückhalt in die Verhandlungen mit dem Rat gehen können.	It is therefore important that Parliament should agree to the programme with a large majority so that we can enter into negotiations with the Council with definite backing.
