Herr Präsident! Ich versuche, mich kurz zu fassen.	Mr President, I shall try to be brief.
Das Wichtigste ist eigentlich, dem Berichterstatter zu danken, denn er hat einen exzellenten Bericht vorgelegt, der einstimmig im Ausschuß angenommen wurde.	The important thing is really to thank the rapporteur, for he has submitted an excellent report which has been unanimously approved in committee.
Und da sich manche Länder in Vorwahlkampfzeiten befinden, ist es immer sehr schön, wenn man sagen kann, ein Bericht ist einstimmig durchgegangen, weil er wirklich sachgerecht war.	With quite a few countries in the middle of election campaigns, it is always very nice to be able to say that a report has been carried unanimously because of its absolute objectivity.
Vielen Dank, Herrn van Dam, für Ihren Bericht.	Thank you very much, Mr van Dam, for this report.
Diese Reform des Verhaltenskodex ist sehr sinnvoll, sie stärkt die Objektivität der Informationen.	Reform of the code of conduct is very sensible, and it will increase the objectivity of the information provided.
Das Wichtigste ist, daß jetzt die Hochgeschwindigkeitszüge mit dazugenommen wurden, damit der Bürger klarer erkennen kann, bei welcher Route es sinnvoller ist, den Zug zu nehmen als zu fliegen.	The most important thing now is to include high speed trains in this system, so that people are better able to recognize those routes where it is more practical to take the train than to fly.
Und das wollen wir ja auf kurzen Strecken: mehr auf Züge setzen als auf Flugzeuge, um den Luftraum zu entlasten und den Umweltschutz zu verbessern.	This is something we want to see for shorter trips - in other words, more journeys by train than by aeroplane - in order to decongest air space and preserve the environment.
Insofern ist es ein großer Vorteil.	In this respect the advantages are enormous.
Anders als die Kommission halte ich die Anzeige der code-sharing -Flüge für sinnvoll.	Unlike the Commission, I consider the display of code share flights to be a sensible move.
Da teile ich die Auffassung des Berichterstatters.	Here I agree with the rapporteur.
Dies hat sich als gut bewährt.	This system has proved to be very effective.
Schließlich halte ich es für richtig, daß wir die drei Rechtsakte zusammenführen, damit sie für den Verbraucher besser lesbar und nachvollziehbarer sind.	Finally, I think it is right to produce a consolidated version of the three pieces of legislation, so they can be more clearly understood by consumers.
Insofern ist die Kodifizierung ein Anliegen, das die Kommission verfolgen sollte.	In this respect, codification is something the Commission should be following up.
Ich glaube, wir können einer Meinung sein: Wir haben einen guten Vorschlag, verbessert durch die Vorschläge des Kollegen.	I believe we can reach a consensus here: we have a good proposal and this is now to be improved upon by Mr van Dam.
Ich hoffe, die Kommission übernimmt die Vorschläge des Kollegen, dann können wir alle glücklich sein.	I hope the Commission accepts the rapporteur's proposals and then everyone will be happy.
