im Namen der Verts/ALE-Fraktion. - Herr Präsident! Liebe Kollegen!	Mr President, ladies and gentlemen, we have a broad consensus on this matter.
Wir haben hier in dieser Sache einen breiten Konsens. Wir freuen uns auf die Vergrößerung des Parlaments, wir freuen uns auf die 18 neuen Abgeordneten, und wir wollen jetzt die Voraussetzungen dafür schaffen, dass sie zu uns kommen und mit uns gemeinsam arbeiten können.	We look forward to the enlargement of Parliament and we look forward to 18 new Members. We want to create the conditions for this now so that they can come and work together with us.
Es gibt nur eine kleine Differenz, die in Wahrheit aber eine sehr große ist, weil sie die Grundlagen unserer Arbeit, auch unser Verständnis vom Demokratieprinzip und das Verständnis dieses Hauses selbst betrifft.	There is only one small difference of opinion, which in truth is actually very large, because it concerns the basis of our work, including our understanding of the principle of democracy and our appreciation of this House itself.
Dabei geht es um die Frage, wer denn entscheidet, wer diese neuen Mitglieder sind.	It concerns the question of who decides who these new Members will be.
Das ist für uns keine nachrangige, sondern die zentrale Frage.	For us, that is not a secondary issue, it is a key question.
Die Mitglieder des Europäischen Parlamentes, so heißt es im Vertrag, "werden in allgemeiner unmittelbarer freier und geheimer Wahl für eine Amtszeit von 5 Jahren gewählt”.	According to the Treaty, Members of the European Parliament 'shall be elected for a term of five years by direct universal suffrage in a free and secret ballot'.
Wählen tun die Bürger.	It is the citizens who do the electing.
In 11 von 12 Ländern ist das so passiert.	In 11 out of 12 countries that is what has happened.
Ein Land sagt nun, das ginge nicht, und sie würden uns Abgeordnete schicken, die von ihren Bürgern für eine ganz andere Aufgabe gewählt wurden.	One country is now saying that that is not possible and that they will send us MEPs who were elected by their citizens for a totally different job.
Wir halten das für keinen adäquaten Umgang mit dem Parlament und auch nicht mit dem Wahlrecht der Bürger und dem Demokratieprinzip.	We do not consider that to be a satisfactory way to treat Parliament or the right of the citizens to vote and the principle of democracy.
Wir könnten auf einen Konvent verzichten, wenn dies nur eine technische Frage wäre, wenn man sich also auf dieses Prinzip, nämlich die Einhaltung der Verträge, geeinigt hätte.	We could dispense with a convention if this were merely a technical issue, in other words if we had agreed on the principle of compliance with the Treaties.
An dieser Stelle aber droht der Vertrag zu brechen.	However, at this point the Treaty is at risk of collapsing.
Bestehen wir auf der Abhaltung eines Konvents, der eine wunderbare Methode ist, um gerade in solchen Fragen einen Konsens jenseits der Ebene von Regierungen in Europa zu erzielen!	Let us insist on the convening of a convention, which is a wonderful method of achieving consensus outside of the level of governments in Europe on precisely these types of questions.
