Herr Präsident, Herr Kommissar, zuerst dem Berichterstatter herzliche Glückwünsche.	Mr President, Commissioner, I should first like to congratulate the rapporteur.
In seiner Wortmeldung hat er einen wichtigen Bereich angesprochen, das ist der institutionelle Bereich und alles, was damit zusammenhängt.	In his request to speak he referred to an important field, that is the institutional field and everything concerned with it.
Was ich tun möchte, ist, auf die Möglichkeiten hinzuweisen, die uns dieses System anbietet.	What I should like to do is to refer to the opportunities that this system offers us.
Das Papier befaßt sich nämlich mit der Bekämpfung der Totalfälschung von Reisedokumenten.	The paper deals with combating the counterfeiting of travel documents.
Es ist damit ein Meldesystem und ein Vergleichssystem, ein Instrument also, das uns hilft, auch illegale Einreise und damit auch illegale Einwanderung zu bekämpfen oder die Begehung von Straftaten unter einer falschen Identität.	It is a system for registration and comparison and thus an instrument that also helps to combat illegal entry and illegal immigration or the committing of criminal acts under a false identity.
Das heißt, wir brauchen, gerade um gegen diese Phänomene, die teilweise Phänomene des organisierten Verbrechens sind, ankämpfen zu können, neue, sehr effektive Instrumente.	That means that in order to be able to combat this phenomenon, which is partly a phenomenon of organised crime, we need new and very effective instruments.
Ein Instrument ist das hier angesprochene zur Bekämpfung der Totalfälschung von Reisedokumenten.	One instrument is the system discussed here to combat the counterfeiting of travel documents.
Es dient uns letzten Endes auch dazu, Schleuserkriminalität zu bekämpfen. Das ist ein Phänomen, das im Wachsen begriffen ist.	After all, it should also help us to combat the crime of smuggling, which is on the increase.
Wenn die Zahlen stimmen, dann wissen wir mittlerweile, daß über die Schleuserkriminalität beinahe dieselben kriminellen Erlöse erzielt werden wie über die Drogenkriminalität, und das mit wesentlich weniger Risiko, als das im Zusammenhang mit der Drogenkriminalität passiert.	If the figures are correct, then we have in the meantime learned that almost the same criminal earnings are obtained from smuggling as from drug crime and with considerably less risk than with drug-related crime.
Mir wurden Zahlen zugänglich gemacht, wonach etwa von den 400 000 bis 500 000 Illegalen, die jährlich in die Europäische Union kommen, mindestens 200 000 von Schleusern in die Europäische Union gebracht werden.	I have been given access to figures that show that of the 400,000 to 500,000 illegal immigrants who come to the European Union every year, at least 200,000 are brought into the European Union by smugglers.
Die nutzen für das System der Schleuserei sehr oft diese total gefälschten Dokumente.	These counterfeit documents are very often used in smuggling cases.
Aber auch in anderen Bereichen, wo es den Asylmißbrauch gibt, gibt es die Totalfälschung von Dokumenten, die von einem zum nächsten weitergereicht werden.	In other areas too, where there is asylum abuse, there is counterfeiting of documents that are passed on from one person to another.
Leider ist es Teil eines Systems geworden.	Unfortunately this has become part of a system.
Insofern ist dieses System, das hier von Newton Dunn angesprochen wurde, zu begrüßen und zu unterstützen.	In this regard, the system that Mr Newton Dunn described should be welcomed and supported.
Ich möchte aber auf einen Punkt hinweisen, der uns nicht optimal paßt.	I should, however, like to mention one point with which we are not happy.
Das ist der, daß wir parallel dazu das FADO-System entwickelt haben, das uns ermöglicht, Originaldokumente und gefälschte Dokumente bildhaft zu vergleichen.	That is the fact that in parallel we have developed the FADO system that allows us to compare original documents and counterfeit documents pictorially.
Wir haben also in Wahrheit zwei Systeme, die in ein System zusammenfließen sollten.	In reality, we therefore have two systems that should be amalgamated in one system.
Denn um eher auf total gefälschte Dokumente zu stoßen, ist es natürlich besser, wenn wir vorher über das FADO-System Original- und gefälschte Dokumente verglichen haben.	Because rather than coming across counterfeit documents it is of course better if we have previously compared original and counterfeit documents via the FADO system.
Das heißt, die Zielsetzung müßte nicht sein, zwei Parallelsysteme nebeneinanderzufahren, sondern letzten Endes dazu überzugehen, in Interesse der Effizienz das Ganze in einem System zu vereinigen.	That means that the aim should not be to run two parallel systems side by side, but to unite both of them in one system in the interests of efficiency.
Insgesamt ist diese Aktion zur Bekämpfung der Totalfälschung von Dokumenten über diese Schiene, daß man eben das, was nicht personenbezogen ist, vergleicht, zu begrüßen.	Overall this action to combat counterfeit documents by comparing information that is not person-related is to be welcomed.
Aber es wäre notwendig, daß man versucht, hier noch mehr Effizienz herbeizuführen, indem zwei Systeme nicht parallel betrieben, sondern miteinander verbunden werden, damit eines erreicht wird: daß wir mit dem Schengener Informationssystem, mit dem Eurodac-Informationssystem insgesamt zu einem sicheren Europa beitragen können.	But we should try to be more efficient so that two systems do not run in parallel but are associated with each other so that something is achieved: so that with the Schengen information system and the EURODAC information system together we can contribute to a safer Europe.
