. – Herr Präsident!	.
Auch ich möchte den beiden Berichterstattern sehr herzlich gratulieren, im Speziellen auch zur Art und Weise, wie sie ihren Bericht aufgebaut haben. Für uns als Rechtsausschuss ist gar nicht viel Platz geblieben, noch weitere Verbesserungen anzubringen. Was wir trotzdem noch vorgeschlagen haben, wurde aufgenommen, und dafür möchte ich mich sehr herzlich bedanken.	Mr President, I too would like to warmly congratulate both rapporteurs, particularly on the way in which they structured their report, in which there is little room for us on the Legal Affairs Committee to make further improvements, although what we have proposed has been incorporated, and for that I am very grateful.
Wir werden uns im Rechtsausschuss allerdings auch noch im Rahmen eines Initiativberichts mit jenen Fragen beschäftigen, die uns im Speziellen berühren. Dazu gehören insbesondere die Reform der Rechtsakte und des Gesetzgebungsverfahrens, das Subsidiaritätsprinzip, das Verhältnismäßigkeitsprinzip, die Neuerungen im justiziellen System.	We, in the Legal Affairs Committee, will, though, be dealing with the issues of special interest to us in an own-initiative report, particularly the reform of legal instruments and of the lawmaking process, the principles of subsidiarity and proportionality, and the innovations in the justice system.
Eine Frage, die uns – glaube ich – auch in der Zukunft beschäftigen wird, ist, wie wir die Kohärenz zwischen Teil I und Teil III der Verfassung gewährleisten können.	I believe that another issue that will demand our attention in the future is that of how we can guarantee coherence between parts I and III of the Constitution.
Im Mittelpunkt der jetzigen Stellungnahme des Rechtsausschusses steht natürlich die Neuordnung der Handlungsinstrumente der Union. Hier haben wir derzeit einen besonderen Wildwuchs: Im Konvent haben wir 35 verschiedene Arten des Handelns der Europäischen Union gezählt.	This opinion by the Legal Affairs Committee does of course concentrate on the rearrangement of the Union’s instruments of action, of which there is at present a veritable plethora: the Convention counted 35 different types of them.
Ich möchte hier im Besonderen die Rolle des Vizepräsidenten des Europäischen Konvents, Giuliano Amato, würdigen, der als Vorsitzender der Arbeitsgruppe Vereinfachung Enormes geleistet hat, und alle, die hier anwesend sind und in dieser Arbeitsgruppe mitgewirkt haben, werden das bestätigen können.	I would like to pay tribute to its Vice-President, Giuliano Amato, who achieved great things as chairman of the Working Group on Simplification, something that all those present who were involved in that Working Group will be able to confirm.
Außerdem können alle auch auf ihren eigenen Beitrag stolz sein.	They can all, in any case, take pride in their own contributions.
Es wurde schon gesagt, wie vieles an dieser europäischen Verfassung einmalig ist. Ich behaupte auch, dass das Ausmaß an Vereinfachung und Entbürokratisierung, das uns mit dieser Verfassung gelungen ist, einmalig ist und nationale Reformen hier zurückstehen.	That much about this European Constitution is unique as has already been said; I also contend that something else that is unique is the amount of simplification that this Constitution has enabled us to achieve and the amount of bureaucracy it has enabled us to do away with.
Ich denke nur an Verfassungsreformprozesse, wie sie derzeit in Österreich oder auch in Deutschland gang und gäbe sind.	I am thinking only of the constitutional reform processes that are going on in Austria and Germany at the moment.
Ich glaube, das beweist auch, dass die Union nicht diese bürokratische Union ist, als die sie immer hingestellt wird, sondern dass die Union sehr wohl eine reformfähige Institution ist und sich als reformfähiger erwiesen hat, als das so manche Nationalstaaten sind.	I also see this as proof that the EU is not the bureaucracy it is always depicted as being; on the contrary it is very much an institution capable of reforming itself and has shown itself to be more so than not a few nation states.
Wir werden in Zukunft einfache Gesetzgebungsakte haben – sie werden klar unterscheidbar sein von Verwaltungsakten – und vieles andere mehr, was uns das Leben, wenn wir diese Verfassung bekommen, sehr viel leichter machen wird.	Our legislative instruments will in future be simple and readily distinguishable from administrative instruments – and, when the Constitution is in place, much else about our lives will be so much easier.
Ich glaube auch, dass diese Änderungen nicht so spektakulär sind wie manches im institutionellen Bereich, dass sie aber sehr wichtig sind, um die Union demokratischer und bürgernäher zu machen.	I also believe that, although these changes are less spectacular than some of what is going on in the institutions, they play a very important part in making the EU more democratic and bringing it closer to the people.
