Herr Präsident! Sie haben von Ihren Sorgen um die Beschäftigungspolitik gesprochen.	Mr President, you spoke of your concerns with regard to employment policy.
Wir teilen diese Sorgen.	We share those concerns.
Die Europäische Union kämpft mit einem Problem, das dramatische Formen annimmt: der steigenden Arbeitslosigkeit, wobei Jugendarbeitslosigkeit und Langzeitarbeitslosigkeit die kritischsten Formen dieser traurigen Entwicklung sind.	The European Union is grappling with a problem of drastic proportions, namely rising unemployment, with youth and long-term unemployment the most critical aspects of this depressing trend.
Selbst der bedingungsloseste Befürworter der Europäischen Währungsunion kann den Zusammenhang zwischen dem Hinarbeiten auf die Konvergenzkriterien einerseits und der steigenden Arbeitslosigkeit andererseits nicht leugnen.	Not even the most fervent advocate of European monetary union can deny the link between the efforts to meet the convergence criteria, on the one hand, and rising unemployment on the other.
Das Jahr 1997 mit seinen budgetären Sparpaketen wird stark im Zeichen der Vorbereitung auf die Europäische Währungsunion stehen und damit das Hauptproblem, die Arbeitslosigkeit, nicht verbessern, sondern verschärfen.	1997 will be a year of austerity budgets, dominated by preparations for monetary union, and this will exacerbate rather than ease the major problem of unemployment.
Wirtschafts- und Finanzexperten verschiedendster Nationalität befürchten, daß das kompromißlose Durchziehen des Zeitplans für Europa ernstzunehmende Konsequenzen haben wird.	Economists and financial experts from very many different countries are afraid that uncompromising adherence to the timetable will have serious consequences for Europe.
Das Zerfallen in zwei Gruppen von Mitgliedstaaten - die Gruppe der Teilnehmer der ersten Phase und jene Staaten, die die Teilnahme in der ersten Phase nicht schaffen - führt zu einem Europa der zwei Geschwindigkeiten.	Dividing the Member States into two groups - those who take part in phase one and those who cannot manage to do so - will produce a two-speed Europe.
Dies ist eine Entwicklung, die nicht dem Geiste Europas entspricht und die auch wirtschaftliche Konsequenzen haben wird.	Such a development runs counter to the spirit of Europe, and it will also have an economic impact.
Die übertriebenen und sozial nicht ausgewogenen Budgetrestriktionen gewisser Staaten induzieren Arbeitslosigkeit, schwächen den Wirtschaftsstandort Europa und lösen eine Rezession aus.	The excessive and socially ill-considered budgetary cuts which some Member States are making are creating unemployment, damaging Europe as a location for business and triggering recession.
Zusätzliche Transferleistungen von den "Ins" an die "Outs" werden die Wirtschaftskraft der einen weiter schwächen, ohne jene der anderen ausreichend zu stärken.	Transferring more resources from the 'ins' to the 'outs' will further damage the economic strength of the donor countries without having a sufficiently positive impact on the recipients.
Die Kommission müßte daher auf dem Weg zur Europäischen Währungsunion auch auf die beschäftigungspolitische und sozialpolitische Komponente viel stärker Rücksicht nehmen und sich von einem sinnwidrigen Zeitdruck befreien.	That is why, as we move towards monetary union, the Commission should take much greater account of employment policy and social policy as elements of the equation, and free itself from what is an absurdly restrictive timetable.
