Herr Präsident, Frau Kommissarin, meine sehr verehrten Damen und Herren!	.
Unter dem vorigen Tagesordnungspunkt ist bereits sehr viel über die Wahlen in Palästina, über die Konsequenzen, über die weitere Vorgangsweise gesprochen worden. Ich möchte aber doch einige Punkte anführen, von denen sich der Rat in seiner Sitzung am Montag hat leiten lassen.	Mr President, Commissioner, ladies and gentlemen, although a great deal has already been said under item 4 on the order of business about the elections in Palestine, the consequences resulting from them, and the way forward in their aftermath, I would like to raise a number of points that were the theme of the Council meeting on Monday.
Zunächst ist festzustellen – und ich möchte bei dieser Gelegenheit Frau De Keyser und allen Kolleginnen und Kollegen, die die Wahlbeobachtung durchgeführt haben, danken –: Die Wahlen sind, wie allgemein festgestellt worden ist, in Ordnung verlaufen.	The first thing to be said – and I would like to take this opportunity to thank Mrs De Keyser and all the Members who have participated in observing this election – is that the elections went according to plan.
Ich glaube, sie waren ein klarer demokratischer Ausdruck des Willens der Bevölkerung.	Everyone is agreed on that, and I believe that they were an unambiguous and democratic expression of the popular will.
Daran gibt es nichts zu rütteln.	That is beyond question.
Der Vorsitz und praktisch alle Außenminister der Mitgliedstaaten der Europäischen Union haben unmittelbar reagiert. Sie haben unabhängig voneinander in einer Art und Weise reagiert, die im Wesentlichen den gleichen Grundsätzen entspricht.	The response from the Presidency and practically all the foreign Ministers of the European Union Member States was immediate, and they acted independently of each other, in a manner indicating that they were, in essence, guided by the same principles.
Ich möchte in diesem Zusammenhang auch auf die Erklärungen des Nahostquartetts vom 26. bis 30. Jänner hinweisen, die klarstellen, dass die internationale Gemeinschaft weiterhin das Prinzip der Gewaltlosigkeit, die Anerkennung des Existenzrechtes Israels und die Einhaltung aller bestehenden gegenseitigen Verpflichtungen als Voraussetzung für eine dauerhafte und friedliche Lösung des israelisch-palästinensischen Konfliktes sieht.	I would refer the House also to the statements made by the Middle Eastern Quartet between 26 and 30 January, which make it clear that the international community continues to regard a lasting and peaceful solution of the conflict between Israel and the Palestinians as conditional upon non-violence, the acknowledgement of Israel’s right to exist, and compliance with all current bilateral obligations.
Besonders wichtig war und ist, dass die Äußerungen des Rates, die Äußerungen der Mitgliedstaaten der Europäischen Union mit denen unserer Partner im Quartett praktisch identisch waren.	It was and is particularly important that the statements by the Council and the Member States of the European Union were almost indistinguishable from those made by our partners in the Quartet.
Das Quartett sowie die Europäische Union erwarten von einer zukünftigen palästinensischen Regierung ein eindeutiges Bekenntnis zu diesen Grundsätzen, die ich erwähnt habe, und betont, dass auch die internationale Unterstützung für die neue Palästinensische Autonomiebehörde eng mit der Achtung dieser Grundsätze verbunden sein wird.	What both the Quartet and the European Union expect of any future Palestinian government is an unambiguous commitment to the principles I have enumerated, and they stress that international support for the new Palestinian Autonomous Authority will very definitely be conditional upon adherence to these principles.
Israel und die Palästinensische Autonomiebehörde werden erneut an ihre jeweiligen Verpflichtungen aus der erinnert. Der Rat hat diese Linie des Quartetts im Wesentlichen bestätigt. Auch der Rat erwartet vom neu gewählten palästinensischen Legislativrat die Unterstützung einer Regierung, die sich zu diesen Prinzipien, nämlich zu einer friedlichen und auf dem Verhandlungsweg gefundenen Lösung des Konflikts mit Israel, welche auf bestehenden Vereinbarungen und der basiert, zur Rechtsstaatlichkeit, zu Reformen sowie zu einer ordentlichen Finanzgebarung bekennt.	Israel and the Palestinian Autonomous Authority have again been reminded of the obligations imposed on them by the Roadmap, and, in taking this line, the Quartet has received substantial backing from the Council, which also expects of the newly-elected Palestinian Legislative Council that it will endorse a government committed to the principles of a peaceful and negotiated solution to the conflict with Israel founded upon agreements already reached and on the Roadmap, to the rule of law, to reforms and to proper management of its finances.
Auf dieser Grundlage ist die Europäische Union bereit, die wirtschaftliche Entwicklung und demokratische Staatsbildung der Palästinenser weiter zu unterstützen.	If all these things are in place, the European Union will be prepared to continue to support the Palestinians in their economic development and in their building of a democratic state.
Wir dürfen zu diesem Zeitpunkt keine voreiligen Beschlüsse fassen, sondern müssen klar zum Ausdruck bringen, dass die Europäische Union – so wie die anderen Partner, die ebenfalls Beiträge leisten – bereit ist, diese Unterstützung weiter fortzuführen, wenn bestimmte Voraussetzungen gegeben sind.	To come to decisions at the present time would be premature, and, as we cannot do that, we must instead spell it out loud and clear that the European Union, like the other partners that are making their own contributions, is prepared to continue giving its support subject to certain conditions being met.
Ich möchte nun einige Worte zur Frage Ost-Jerusalem sagen, die eigentlich der ursprüngliche Anlass für diese Debatte war.	This debate was, of course, originally prompted by the subject of East Jerusalem, and I would now like to say a few things with specific reference to that.
In der Debatte zuvor ist sehr deutlich die Erwartung angeklungen, dass sich die Europäische Union ausgewogen verhält, dass im Nahen Osten eine kohärente Politik betrieben wird, die sich nicht nur an den Interessen Israels oder nur an den Interessen Palästinas orientieren kann, sondern dass hier Ausgewogenheit herrschen muss.	What emerged from the previous debate was the very clear expectation that the European Union should take an even-handed approach, with a coherent policy in the Middle East that is guided not merely by the interests of either Israel or the Palestinians, but for which balance is an absolute requirement.
Die Europäische Union ist weiter besorgt über israelische Aktivitäten in und um Ost-Jerusalem einschließlich der fortgesetzten Siedlungstätigkeit und des Weiterbaus der Trennbarriere sowie der Zerstörung palästinensischer Häuser.	The European Union is, moreover, concerned about Israel’s activities in and around East Jerusalem, including the continuing settlement and extension of the dividing wall, as well as the destruction of Palestinians’ homes.
Diese Aktivitäten stehen im Widerspruch zum Völkerrecht, gefährden eine endgültige Regelung der Jerusalem-Frage und drohen die auf der Koexistenz zweier lebensfähiger Staaten basierende Lösung unmöglich zu machen.	These activities are contrary to international law, make a final settlement of the Jerusalem issue less likely and threaten to make impossible a solution founded upon the coexistence of two viable states.
Vor diesem Hintergrund hat der Rat relevante Ratsinstitutionen beauftragt, eine detaillierte EU-Analyse zu Ost-Jerusalem, basierend auf EU-Missionen in Jerusalem und Ramallah, zu verfassen.	These considerations have prompted the Council to ask the relevant Council offices to produce for the EU a detailed analysis of the East Jerusalem situation, drawing on data supplied by the EU’s missions in Jerusalem and Ramallah.
