– Herr Präsident! Ich unterstütze voll und ganz die vorliegende Entschließung.	– Mr President, I wholeheartedly endorse this resolution.
Unser oberstes Ziel ist die Erhaltung der Schöpfung. Das heißt zunächst einmal Umweltschutz, also Bewahrung des ökologischen Gleichgewichts.	Our primary goal is the conservation of nature, which in the first place means protection of the environment, in other words, the maintenance of the ecological balance.
Das heißt in zweiter Linie Bewahrung der Artenvielfalt, die gefährdet und kostbar ist.	Secondarily, it means protecting the diversity of species, which is precious and at risk.
Drittens heißt das Tierschutz, sowohl was den Tierhandel betrifft, als auch was die natürlichen Lebensräume und natürlich die Haltung von Tieren in Menschenobhut betrifft.	Thirdly, it means protecting animals, both as regards the trade in them, the protection of their natural habitats, and, of course, the ways in which people keep animals.
Deshalb bin ich der Meinung, dass wir das Phänomen Tierhandel sehr differenziert angehen müssen, wie das z. B. der Kollege Davies getan hat.	For that reason, I believe that we have to take a very nuanced approach to the trade in animals, as Mr Davies, for one, has done.
Natürlich müssen wir restriktiv gegen die Ausrottung gefährdeter Tierarten vorgehen. Aber es gäbe manche Tierarten ohne Tierhandel überhaupt nicht mehr; es gäbe manche Tierarten überhaupt nicht mehr, wenn sie nicht in Zoologischen Gärten nachgezüchtet worden wären, und es gäbe manche Tierarten überhaupt nicht mehr, wenn man sie nicht außerhalb ihrer ursprünglichen Verbreitungsgebiete für künftige Generationen bewahrt hätte, weil in den Verbreitungsgebieten Krieg, Bürgerkrieg, Naturkatastrophen oder anderes gewütet haben.	There must of course be restrictions to prevent the extermination of endangered animal species, but there are species that would have disappeared without the trade in animals, without their being bred in zoos, and that would have disappeared had they not been preserved for future generations outside their original areas, which have been ravaged by such things as war, civil strife and natural disasters.
Deshalb möchte ich ganz klar sagen: Ich bin für die vorliegende Entschließung, aber ich bin der Meinung, wir dürfen hier nicht das Kind mit dem Bade ausschütten, sondern müssen Tierhandel in gewissen engen, restriktiven Grenzen selbstverständlich nach wie vor als etwas Vernünftiges ansehen.	So let me make it abundantly clear that I am in favour of this resolution, whilst believing that this is where we must not throw the baby out with the bathwater; I believe it to be obvious and reasonable that the trade in animals should continue to be engaged in within certain tight and restrictive parameters.
Gerade unsere Zoologischen Gärten leisten Gewaltiges. Unser Geozoo in München zum Beispiel hat ganz wertvolle Tierarten nachgezüchtet, die sonst längst von dieser Erdoberfläche verschwunden wären.	Our zoos are doing great things; our geozoo in Munich, for example, has bred very valuable species that would otherwise have disappeared from the face of the earth.
Deshalb kommt es hier ganz entscheidend darauf an, eine maßvolle Haltung einzunehmen.	For that reason, it is crucial that we take a measured approach to this.
Doch was z. B. die Elefanten und den Elfenbeinhandel betrifft, den Handel mit den Hörnern von Nashörnern und manches andere, da müssen wir sehr hart einschreiten. Da bin ich absolut der Meinung der Kollegen.	When it comes, though, to such things as elephants and the trade in ivory, or the trade in rhinoceros horn and much else, that is where we have to take very tough action; on that I agree absolutely with my fellow Members.
Denn es gibt natürlich das Phänomen, von dem die Kollegin Isler-Béguin gesprochen hat, dass in diesem Bereich mit relativ wenig Einsatz oft gewaltige Gewinne auf schwarzen und illegalen Märkten zu erzielen sind.	As Mrs Isler Béguin said, it is of course the case that it is in these areas that massive profits are to be made, illegally and with relatively little effort, on the black market.
Hier muss auch Europol verstärkt eingeschaltet werden.	This is where much more use must be made of Europol.
