Frau Präsidentin! Fraktionsfrei gefällt mir doch ein bisschen besser.	Madam President, yes, I rather prefer 'non-attached'.
Auch wenn es sich bei diesem Punkt nur um eine Neufassung der Leitlinien handelt, nutze ich doch die Gelegenheit, um auf ein für Österreich besonders problematisches Projekt hinzuweisen.	Even though, at this point, we are only talking about a recasting of the guidelines, I would nevertheless like to take the opportunity to mention a project that is particularly problematic for Austria.
Der Brennerbasistunnel ist ein Teil der Eisenbahnhochgeschwindigkeitsachse Berlin-Palermo und des Programms der transeuropäischen Netze und soll die Achse Innsbruck-Bozen unterqueren.	The Brenner Base Tunnel is part of the high-speed rail axis from Berlin to Palermo and the trans-European transport network programme and it is intended to cross under the Innsbruck to Bozen axis.
Die jetzige Situation sieht so aus, dass die EU Österreich, Tirol, Norditalien, aber auch Süddeutschland in der Luft hängen lässt und die Gefahr besteht, dass der Tunnel zu einem Milliardengrab wird.	The current situation is that the EU has left Austria, Tyrol, northern Italy and also southern Germany in a state of uncertainty and there is a risk of the tunnel becoming a black hole for billions of euros.
Die ursprüngliche Kostenschätzung von 4,5 Milliarden Euro aus dem Jahr 2002 ist längst gesprengt, und Experten erwarten erhöhte Baukosten von rund 16 Milliarden Euro.	The original cost estimate of EUR 4.5 billion from 2002 has long since been exceeded and experts expect higher construction costs in the region of EUR 16 billion.
Zudem ist die Finanzierung nach wie vor ungeklärt.	Moreover, the financing has still not been clarified.
Grundsätzlich soll das Projekt ja teils von den beteiligten Mitgliedstaaten, teils von der EU finanziert werden.	In principle, the project is supposed to be financed partly by the Member States concerned and partly by the EU.
Die EU weigert sich jedoch, eine rechtlich verbindliche Zusage für den Zeitraum nach 2013 abzugeben, und lässt damit die besagten Länder in der Luft hängen.	However, the EU refuses to make a legally binding promise for the period after 2013 and, as a result, is leaving the aforementioned countries in a state of uncertainty.
Das ist aber noch nicht alles.	That is not all, however.
Damit für eine Auslastung des Tunnels gesorgt ist, müssen natürlich auch entsprechende Zulaufstrecken errichtet werden.	Of course, in order to ensure that the tunnel is fully utilised, appropriate feeder lines also need to be established.
Der Einzugsbereich reicht von München im Norden bis Verona im Süden, wobei die Finanzierung auch auf der italienischen Seite noch völlig unklar ist.	The catchment area concerned stretches from Munich in the north to Verona in the south and, in this regard, the financing is totally unclear, including on the Italian side.
Mein Appell daher: Wenn die TEN-Projekte schon lanciert werden, darf es nicht sein, dass diese einerseits unzureichend geplant werden und die beteiligten Mitgliedstaaten dann auf den Kosten sitzenbleiben.	My request is therefore that, when the TEN projects are launched, they must not be subject to insufficient planning by one party, leaving the Member States concerned to foot the bill.
Die EU hat mindestens 50 % der Kosten zu übernehmen, und die Planung und die Zusagen sind entsprechend schnell voranzutreiben.	The EU must accept at least 50% of the costs, and the planning and the promises must be forthcoming with due speed.
