Es ist nun an der Zeit eine Zwischenbilanz zur Hilfe für Haiti zu ziehen.	It is now time for us to carry out an interim review of the aid effort in Haiti.
Wir müssen uns vor allem die Fragen stellen: Wie schnell und wie effektiv war bzw. ist die Hilfe?	The main questions that we need to ask ourselves are as follows: How quickly and effectively was and is the aid being provided?
Dient die Hilfe der nachhaltigen Entwicklung von Haiti?	Does the aid support sustainable development in Haiti?
Wie wurde das Ganze koordiniert?	How was the entire aid effort coordinated?
Wie wurde die EU dabei außenpolitisch vertreten?	How was the EU represented in foreign policy terms?
Besonders die letzten beiden Fragen interessieren mich, zumal die verheerenden Beben in Haiti eine erste Bewährungsprobe für die Hohe Vertreterin Ashton darstellten.	I am particularly interested in the last two questions, because the devastating earthquake was the first test faced by the High Representative Baroness Ashton.
Der Sinn und Zweck des Amtes der Hohe Vertreterin ist es, die EU als Global Player zu stärken.	The purpose of the office of High Representative is to strengthen the EU's role as a global player.
Jedoch: Ashton hat es weder der Mühe Wert gefunden sich kurz nach den Beben vor Ort einzufinden um einen symbolischen Akt der Unterstützung zu setzen, noch hat sie es geschafft die Hilfe für Haiti koordiniert abzuwickeln: Die Mitgliedstaaten haben mal eigenständig mal gemeinsam Hilfeaktionen gesetzt, Ashton wäre dafür verantwortlich gewesen, dass man sich besser abstimmt.	However, Baroness Ashton did not think it was worth travelling to Haiti shortly after the earthquake to provide symbolic support, nor was she able to ensure that the aid provided to Haiti was coordinated effectively. Some Member States launched individual aid campaigns and others acted jointly.
Zudem wurde die haitianische Regierung selbst auch zu wenig eingebunden.	Baroness Ashton should have been responsible for ensuring better coordination. In addition, the government of Haiti has not been sufficiently involved.
Die Hohe Vertreterin sollte sich nun langsam ihrer Aufgabe bewusst werden und konstruktive Vorschläge zur Strukturierung humanitärer und finanzieller in Katastrophenfällen machen.	The High Representative should now at last be realising what her job is all about. She should be making constructive proposals for structuring humanitarian and financial aid following major disasters.
Es gibt viel Aufbauarbeit zu leisten in den nächsten Monaten, auch für Frau Ashton.	There is a great deal of development work to be done over the next few months and this also applies to Baroness Ashton.
