Herr Präsident, Herr Kommissar, meine Damen und Herren!	.
Der Rat hat fünf Jahre gewartet, bis er dem Parlament seine Stellungnahme zur zweiten Lesung vorgelegt hat. Ich halte dies für sehr verantwortungsbewusst, hat er doch die Ergebnisse der umfangreichen Risikobewertung von Phthalaten, insbesondere von DNP, abgewartet.	Mr President, Commissioner, ladies and gentlemen, the Council waited five years before delivering to Parliament its position for second reading stage, and I regard it as having demonstrated a great sense of responsibility in so doing, having waited for the results of the comprehensive assessment of the risks presented by phthalates, notably by DNP.
Die EU-Risikobewertungen von DNP sehen kein Risiko bei der Verwendung von DNP in allen Bevölkerungsgruppen inklusive Säuglingen.	The EU’s assessments of the risks of DNP do not show any risk as being associated with its use by all categories of the population including infants.
Trotzdem hat der Rat ausgehend von der Studie des wissenschaftlichen Ausschusses für Toxizität, Ökotoxizität und Umwelt die Beschränkungen von Phthalaten in Kinderspielzeugen auf die Altersgruppe 0-3 Jahre ausgedehnt.	Despite that, the Council, drawing on the study carried out by the Scientific Committee on Toxicity, Ecotoxicity and the Environment, extended restrictions on phthalates in children’s toys to the age range from 0 to 3 years.
Damit wurde das Vorsorgeprinzip, ausgehend vom wissenschaftlichen Ergebnis, ausreichend umgesetzt.	The precautionary principle, on the basis of scientific results, was thereby sufficiently reflected in practice.
Ich halte deshalb den Vorschlag des Rates für die zweite Lesung für ausgewogen und der Realität entsprechend.	I therefore regard the Council’s proposal at second reading stage as even-handed and realistic.
Er berücksichtigt den ausreichenden Schutz der Gesundheit unserer Kinder und gibt den Unternehmen der Spielzeugindustrie eine klare Perspektive.	It takes account of the need for our children’s health to be adequately protected and gives businesses in the toy industry clarity about their prospects.
Es ist auch gut, dass wir jetzt zwischen dem Parlament und dem Rat Einigkeit herstellen konnten. Deshalb – und da wende ich mich an meine Kollegen im Parlament – bin ich mit dem Verlauf der Diskussion und auch mit ihrem Ergebnis nicht ganz zufrieden.	It is also a good thing that we have been able to broker agreement between Parliament and the Council, and so I am addressing my fellow-Members of this House when I say that I am not entirely satisfied either with the way this debate has gone or with the result that has emerged from it.
Ich will das begründen:	Let me explain what I mean.
Erstens sind die Ansätze, die wir jetzt verfolgen, geprägt von einer überzogenen Aufforderung zur Anwendung des Vorsorgeprinzips.	For a start, the approaches we are currently taking are characterised by an excessive emphasis on the precautionary principle.
Was sollen Warnhinweise, wo es nichts zu warnen gibt, und was sollen Verbote von Duftstoffen, wo diese zur Neutralisierung des Geruchs dienen sollen?	What is the point of warning notices if there is nothing to warn against, and what is the point of bans on fragrances that are meant to neutralise smells?
Wenn wir weiterhin so verfahren, werden wir zur Brutstätte von Verboten und Panik.	If we carry on like that, we will end up as a breeding-ground for prohibitions and panic.
Im Widerspruch dazu: Es gibt kaum Tote durch Phthalate, aber es gibt 380 Tote pro Tag durch Rauchen; dennoch hat man in unseren Sitzungen des Parlamentes ein Rauchverbot noch nicht durchgesetzt.	Contrariwise, although hardly any deaths are attributable to phthalates, 380 people a day die as a result of smoking, despite which we have not yet managed to ban smoking from the sittings of this House.
Es wird gequalmt, dass einem die Augen tränen.	People puff away to the point where it makes one’s eyes water.
Zweitens: Mit den Kompromissanträgen geben wir unsere ureigenste Aufgabe, Gesetze zu gestalten, in die Hände der Kommission.	Secondly, by submitting these compromise amendments, we are abandoning our most fundamental function – the drafting and enactment of legislation – into the hands of the Commission.
Ich habe nach den Äußerungen des Kommissars Vertrauen in die Kommission und kann nur nachdrücklich dazu auffordern: Orientieren Sie sich wie bisher an der Risikobewertung mit dem Standpunkt des Rates für die zweite Lesung. Ich glaube, dass wir dann am Ende ein gutes Ergebnis vorliegen haben.	What Commissioner Verheugen has said encourages me to have confidence in the Commission, and so I can do no other than urge continued adherence to the risk assessment with the Council’s position for second reading; then, I believe, we will end up with a positive outcome.
