Herr Präsident! Wir hatten gestern ein großes Thema im Bericht Estrela.	Mr President, the Estrela report yesterday covered a very important topic.
Ich möchte dazu sagen, es war etwas schwierig für mich, letztlich mit Ja zu stimmen.	I would like to say at this point that it was rather difficult for me to vote in favour of it.
Denn als junger Vater, der zwei Geburten miterlebt hat, muss ich sagen, ich weiß nicht, warum ich einen Urlaub gebraucht hätte, denn ich habe nicht geboren, sondern meine Frau.	As a young father, I was present at the birth of both my children and I have to say that I do not know why I would have needed a holiday then, because I did not give birth, my wife did.
Hier geht es um Mutterschutz, und wir haben Väter mit hineingenommen.	This is all about maternity leave and we have included fathers.
Ein schwieriger Punkt.	It is difficult point.
Nichtsdestotrotz ist es wichtig für die jungen Frauen, dass sie die Chance haben, Ja zum Kind zu sagen und auf der anderen Seite auch wieder in ihren Beruf einzusteigen.	Nevertheless, it is important for young women to have the opportunity to have a child and then to return to their professional life.
Ich glaube, das ist mit diesem Modell möglich.	I believe that this will be possible under the new system.
Auch wenn ich persönlich 18 Wochen befürworte, habe ich anschließend bei der Endabstimmung für die 20 Wochen mit Ja gestimmt.	Although I would personally have preferred 18 weeks, I did eventually vote in favour of 20 weeks in the final vote.
Wir müssen uns aber immer fragen: Schaffen wir es damit, mehr Gerechtigkeit zu schaffen, schaffen wir es, mehr Kinder in Europa zu bekommen?	We must now ask ourselves whether this will bring more justice and more children in Europe.
Das ist die Frage der Zukunft, Familienpolitik für Europa.	Family policy in Europe is an issue for the future.
Ich hoffe, dass dieses Signal auch nach außen geht, dass wir dafür etwas getan haben.	I hope that we are sending out a signal that we have taken action in this area.
Jetzt können wir nur hoffen, dass die Mitgliedstaaten auch entsprechend handeln.	Now we just have to hope that the Member States take corresponding measures.
Schriftliche Stimmerklärungen	Written explanations of vote
