Berichterstatter. - Herr Präsident!	Mr President, I would like to welcome Commissioner Kallas and my fellow Members.
Herzlich willkommen, Herr Kommissar Kallas, und herzlich willkommen auch die Kollegen!	Fundamentally speaking, the issue we are about to discuss is not a controversial topic at all.
Im Grunde genommen ist es ein recht unaufgeregtes Thema, worüber wir jetzt sprechen können.	The matter at hand is the adaptation of information technology in the field of customs and excise.
Es geht um die Anpassung der Informationstechnologie im Zollbereich.	For many people, this is a terribly technical topic.
Für viele ein schrecklich technisches Thema, allerdings für die Bekämpfung von Betrug und andersartigen Verbrechen ein durchaus wichtiges Element im Bereich der Zollkooperation und des Austausches von Informationen.	However, with respect to the fight against fraud and other crime, it is a very important aspect of cooperation in the field of customs and excise, and the exchange of information.
Wir haben sehr gut mit der schwedischen Ratspräsidentschaft zusammenarbeiten können, daher auch mein Dank an diese, die während des Verfahrens - das Dossier ist ja nicht ganz neu - uns immer wieder begleitet und unterstützt hat.	We have been able to work successfully together with the Swedish Council Presidency, and I would therefore like to thank those who have supported and accompanied us throughout the process, as this dossier is not exactly a new one.
Wir haben unsere Kooperation dadurch gezeigt, dass das Parlament wesentliche Änderungen, die der Rat schon in der Arbeit vorgenommen hat, übernommen und im Ausschuss abgestimmt hat.	We have demonstrated our cooperation through the fact that Parliament has taken on and voted on in committee significant amendments, which the Council had already proposed in the course of its work.
Ich gehe auch davon aus, dass wir in dieser Woche positiv darüber abstimmen werden.	I therefore also assume that the vote on the matter this week will have a positive outcome.
Das Einzige, womit das Parlament nicht einverstanden ist, sind die Erweiterungen der Kompetenzen, die Europol in diesem Bereich genießt.	The only measure on which Parliament does not agree is the extension of Europol's powers in this field.
Das spiegelt sich sicherlich nicht bei allen Fraktionen des Hauses wider, allerdings im Endergebnis der Abstimmung über den Bericht über die Informationstechnologien im Zollbereich.	This view is certainly not reflected in all political groups in this House. However, it is in the final result of the vote on the report on information technology in the field of customs and excise.
Dies schließt sich ein wenig an die Diskussion an, die hier vorhin stattgefunden hat, wobei unsere Intention eine andere war, nämlich auch ein Signal zu setzen, dass - nachdem wir vor gar nicht so langer Zeit ein Mandat für Europol dahingehend beschlossen haben, dass es eine Agentur werden soll - in vielen kleinen Einzelbereichen nun Kompetenzen erweitert oder ausgedehnt werden.	This is, to a certain extent, linked to the debate which was held here previously, when our intention was different, namely to send a signal that, having fairly recently defined a mandate for Europol, under which it was to be an agency, its powers in a number of small and specific areas are being extended or expanded.
Es ist wesentlich auch der Würde und der Aufgabe Europols angemessen, wenn man das in einem Mandat, wie wir es beschlossen haben, festhält.	To a large extent, it is also fitting, given the importance and role of Europol, that its remit be defined in a mandate such as the one we have decided.
Es dient auch der Transparenz, damit nämlich nicht nur wir, sondern vor allen Dingen auch die Bürger, für die wir Politik machen, wissen, was Europol darf und was es nicht darf.	It also promotes transparency, so that not only we, but in particular the citizens, for whom we make policies, know what Europol is allowed or not allowed to do.
Transparenz ist ein elementares Element in jeglicher Konstruktion von Straf- oder Polizeibehörden in den Mitgliedstaaten, und das muss auf europäischer Ebene genauso gelten.	Transparency is a fundamental part of any structure involving prosecuting and police forces in the Member States, and this must also apply at a European level.
Ansonsten gibt es nicht sehr viel zu sagen, und auch wenn man gerne dazu tendiert, seine Redezeit zu überziehen, kann ich sie in diesem Fall kürzer halten.	Other than that, there is not a lot to say, and even though one tends to want to exceed one's speaking time, I can cut mine short in this case.
Ich danke der Ratspräsidentschaft und den Kollegen für die gute Zusammenarbeit, und ich bin mir sicher, dass wir in dieser Woche erfolgreich über den Bericht abstimmen werden.	I would like to thank the Council Presidency and my fellow Members for their excellent cooperation, and I am sure that we will be able to successfully vote on the report this week.
