Herr Präsident, Herr Abgeordneter Posselt!	Mr President, Mr Posselt, let me answer as follows.
Lassen Sie mich folgendes sagen: Ich glaube, der Name Westbalkan entspringt der Idee, daß es eben ein Regionalkonzept geben soll.	I believe the name western Balkans derives from the idea that we need a regional concept.
Dies kann man vielleicht so interpretieren wie Sie, indem man sagt, das habe es historisch nie gegeben.	Perhaps one can follow your interpretation and say that it never existed historically.
Man kann es sicher aber auch positiv interpretieren, indem man sagt, man müsse eine Perspektive für die ganze Region schaffen, und insofern ist dies auch ein positiver Ansatz.	But one can certainly also interpret it positively by saying that we need to create prospects for the entire region, and in that respect this is a positive approach.
Jedenfalls darf ich Ihnen sagen, daß die Europäische Union fest entschlossen ist, die volle Implementierung des Dayton-Abkommens zu erreichen, und sie will auch erreichen, daß sich alle Kräfte zur Umsetzung von Dayton bekennen.	At any rate, I can tell you that the European Union is firmly resolved to achieve full implementation of the Dayton Accord, and also to get all the forces concerned to declare their support for its implementation.
Das hängt natürlich auch sehr stark mit der Frage zusammen, was in Kroatien weiter möglich ist.	Of course, that is also closely bound up with the question of what more can be done in Croatia.
Lassen Sie mich auch sagen, daß vor allem die Peace Implementation Conference Kroatien immer wieder verpflichtet hat, gewisse Bedingungen zu schaffen, die vor allem auch die sichere Flüchtlingsrückkehr begünstigen.	May I also say that the Peace Implementation Conference in particular has continually committed Croatia to creating certain conditions, with a view in particular to promoting the safe return of the refugees.
Sie wissen, daß gerade seit dem Ablaufen des Mandats der UN-Übergangsverwaltung in Ostslawonien - also Donau und Theiß - leider tätliche Übergriffe und bürokratische Schikanen gegen Serben zu einem anhaltenden Emigrationsstrom zum größten Teil nach Bosnien, in die Bundesrepublik Jugoslawien, aber auch nach Westeuropa geführt haben.	You will know that since the expiry of the UN transitional administration's mandate in eastern Slavonia - i.e. Danube and Theiss - violent attacks and bureaucratic harassment against Serbs have unfortunately led to a continuous wave of emigration, mainly to Bosnia and the Federal Republic of Yugoslavia, but also to Western Europe.
Man muß leider sagen, nur aufgrund eines nachhaltigen internationalen Drucks hat Kroatien schließlich einen annehmbaren und umfassenden Plan für die Rückkehr der Flüchtlinge angenommen.	Sadly, we have to say that it was only as a result of sustained international pressure that Croatia finally adopted an acceptable and comprehensive plan for the return of the refugees.
Nun bleibt aber trotzdem noch abzuwarten, wie der Plan umgesetzt wird.	Nevertheless, it remains to be seen how that plan is implemented.
Ich habe vorhin Außenminister Schüssel zitiert, der an der gestrigen PIC-Konferenz in Madrid teilgenommen hat, und muß leider sagen, daß gerade ein Land, das Kroatien immer sehr freundschaftlich gesonnen war, also mein Land Österreich, trotzdem Kritik üben mußte, weil es eben doch in dieser Frage nicht genügend weiterging. Das muß man herausstellen.	A while ago I quoted Foreign Minister Schüssel, who took part in yesterday's PIC conference in Madrid, and unfortunately I have to say that even a country that has always been very well-disposed towards Croatia, namely my own country Austria, has had to voice criticism, because there was simply not enough headway being made on this issue.
Auch die Rede von Präsident Tudjman auf dem HDZ-Parteikongreß vom 21. Februar ist leider bei der Staatengemeinschaft auf große Kritik gestoßen, und zwar sowohl aufgrund ihres Tons als auch aufgrund ihres Inhalts, denn sie stand eindeutig im Widerspruch zu den Verpflichtungen von Dayton.	Regrettably, the international community also greeted President Tudjman's speech at the HDZ Congress of 21 February with strong criticism, deploring both its tone and content as clearly inconsistent with the undertakings under the Dayton Accord.
Daher bin ich nicht der Ansicht, daß gewisse Kreise in der EU systematisch eine feindliche Politik gegenüber Kroatien verfolgen, sondern ich meine, Kroatien selbst hat eben noch viel zu tun, um alle objektiven Kriterien, die vorgegeben sind, zu erfüllen, wobei man auch weiß, daß gewisse Regierungsmitglieder hier offener sind als manche andere.	That is why I do not take the view that certain EU circles are systematically pursuing a policy hostile to Croatia, but believe that Croatia itself has very far to go before it fulfils all the objective criteria which have been laid down, knowing of course that some government members are more open here than a number of others.
