Mitglied der Kommission. - Frau Abgeordnete, vielen herzlichen Dank für die Frage.	Mrs Jensen, thank you very much for your question.
Hinsichtlich der Absorptionsrate und ihrer Berücksichtigung bei der Zuweisung von Mitteln in der kommenden Periode verweise ich schon jetzt auf die bestehende Regel hinsichtlich der Obergrenze der Mittelzuweisung - Stichwort capping.	When it comes to absorption capacity and its consideration in the allocation of funds in the forthcoming period, I make reference right now to the existing rule regarding the upper limit on the allocation of funds - in a word, capping.
Es gibt eine Regel, die besagt, dass im Hinblick auf eine gewisse Staffelung pro Mitgliedsland nur ein bestimmter Betrag gemessen am Gesamt-BIP eines Landes für Strukturpolitik zur Verfügung steht.	There is a rule that says that, given a certain sliding scale per Member State, only a specific sum measured by the overall GDP of a Member State is available for structural policy.
Die jährliche Dotierung darf diese Obergrenze nicht übersteigen.	The annual allocation must not exceed this upper limit.
Wir werden für die nächste Periode sicherlich überlegen, ob die Höhe der bestehenden Obergrenze gerechtfertigt ist, ob hier Adaptierungen notwendig sind, um die Aufnahmefähigkeit besser zu gestalten bzw. zu gewährleisten.	For the forthcoming period, we will certainly consider whether the level of the current upper limit is justified and whether any adjustments are necessary in order to better design or secure the absorption capacity.
Was die Zielerreichung der Programme betrifft, darf ich an den fünften Kohäsionsbericht und an den budget review erinnern, in dem deutlich gemacht wurde, dass wir die performance der Programme stärker in den Blick nehmen müssen.	When it comes to the programmes meeting their targets, I must remind you of the fifth cohesion report and the budget review, in which it was made clear that the performance of the programmes must be given more attention.
Und für die nächste Periode ist diesbezüglich ein Set an Überprüfungen und Anreizsystemen vorgesehen, das die Kommission im Legislativberichtpaket für die Kohäsionspolitik nach 2014 vorschlagen wird.	For the forthcoming period, a set of tests and incentive systems are envisaged in this regard, which the Commission has put forward in the legislative report package for cohesion policy after 2014.
Beim Thema Fehlerquote habe ich schon mehrmals auch hier im Haus auf die methodologischen Probleme bei der Überprüfung mehrjähriger Programme hingewiesen.	When it comes to the error rate, I have made reference many times, including in this House, to the methodological problems involved in auditing multiannual programmes.
Rund die Hälfte des EU-Haushalts setzt sich sicherlich aus Mitteln zusammen, die für mehrjährige Aktivitäten ausgegeben werden.	Around half of the EU budget certainly is composed of resources that are allocated for multiannual activities.
Die Überprüfung des Rechnungshofes im Hinblick auf den Haushaltsvollzug betrachtet immer nur das laufende Jahr, und daraus ergeben sich methodologische Herausforderungen, weil es im Rahmen der Regionalpolitik etwa 3 Auditlevel gibt, die jährliche Überprüfung durch den Rechnungshof aber schon nach dem ersten Auditlevel einsetzt und daher hier immer eine höhere Fehlerquote anfallen wird als am Ende eines Programmzyklus, wie wir das schon nachweisen konnten.	The auditing by the Court of Auditors in respect of budget implementation always only considers the year in progress, and for that reason, methodological challenges result as, in relation to regional policy, the third audit level applies, while the annual audit by the Court of Auditors already takes place under the first audit level and therefore, a higher error rate will always result here than at the end of a programme cycle, as we can prove already.
Jedenfalls hat meine Vorgängerin Danuta Hübner auch hier zusammen mit dem Parlament einen Aktionsplan aufgesetzt, dessen Wirksamkeit schon sichtbar ist, der seine Wirkung entfaltet hat.	In any event, my predecessor, Mrs Hübner, also put in place an action plan together with Parliament in this regard, the efficacy of which is already evident and which has shown its effect.
Aber eine dieser Maßnahmen war auch die Möglichkeit, dass eine Generaldirektion in begründeten Fällen Zahlungsunterbrechungen bis maximal sechs Monate verfügen konnte.	One of these measures, however, was also giving Directorates-General the ability to suspend payments for up to six months in justified cases.
Dieses Instrument wurde beispielsweise im Vorjahr über fünfzig Mal angewendet.	By way of example, this tool was used over fifty times last year.
Alle diese Zahlungsunterbrechungen konnten vor Zeitablauf wieder aufgehoben werden, weil die beanstandeten Punkte gelöst wurden.	All these suspensions of payment were able to be lifted again before their deadlines expired, as the issues about which an objection had been raised had been resolved.
Ich bitte Sie aber auch bei der Fehlerquote immer zu berücksichtigen, dass die Regionalpolitik hier, wenn Sie so wollen, eine Art Schneepflugfunktion hat, dass wir bei gewissen Dingen, die legistisch entwickelt werden, überprüfen, wie sie in der täglichen Praxis umgesetzt werden, wie es um ihre Wirksamkeit bestellt ist und welche Probleme sich ergeben.	When it comes to the error rate, however, I would also ask you to always take into consideration that regional policy has, if you like, a kind of snowplough function in this connection, that, in relation to certain statutorily developed elements, we check how they are implemented in day-to-day practice, how effective they are and what problems result.
Das Thema öffentliche Auftragsvergabe ist z. B. immer wieder Gegenstand von Diskussionen mit Mitgliedstaaten, Regionen und final beneficiaries.	The issue of public procurement is repeatedly the subject of discussions with the Member States, regions and final beneficiaries.
Rund 70 % der Fehlerquote entfallen auf diesen Bereich.	Around 70% of the error rate occurs in this area.
Wenn es uns gelingt - wir haben gemeinsam mit dem Kollegen Barnier eine entsprechende Initiative gesetzt -, dieses System zu vereinfachen, dann reduzieren wir auch hier die praktische Fehleranfälligkeit.	If we succeed in simplifying this system - and we have launched an initiative to this end together with Commissioner Barnier - we will also reduce the practical error rate in this area, too.
Wir versuchen, in diesem Bereich unsere Hausaufgaben zu machen und uns entsprechend weiterzuentwickeln.	We are attempting to do our homework in this area and to make progress in this regard.
