. – Herr Präsident!	.
Ich möchte mich zuerst bei der Kommission für den Vorschlag bedanken und bei der Berichterstatterin für ihren konstruktiven Bericht, der eben diesen Kommissionsvorschlag in einigen wesentlichen Punkten verbessert hat.	Mr President, I would like to begin by thanking the Commission for its proposal and the rapporteur for her constructive report, which has improved on this Commission proposal in a number of important respects.
Das grundsätzliche Ziel der europaweiten Erstellung von interoperablen Raumdaten ist zu begrüßen.	The basic objective of compiling interoperable spatial data on a European scale is to be welcomed.
Gerade die Umwelt beweist uns tagtäglich, dass es für sie keine Staatsgrenzen gibt und dass negative wie positive Auswirkungen nicht am Schlagbaum Halt machen.	The environment in particular demonstrates to us every day that it knows no national boundaries and neither positive nor negative effects stop at the border post.
Die Datensammlung und -nutzung muss aber praktikabel sein.	The collection and use of data must be practicable, however.
Die Berichterstatterin hat durch ihre Vorschläge klarere Formulierungen und Regeln geschaffen, die den Vorschlag wesentlich verbessern.	The rapporteur’s proposals have created clearer formulations and rules which greatly improve the proposal.
Des Weiteren soll jeder in der Gemeinschaft gratis Zugang zu den gegenständlichen Umweltdaten haben – ein Riesenschritt hin zu einem bürgerfreundlichen Europa.	Moreover, everyone in the Community will have access to the environmental data they want free of charge – a great step forward in bringing Europe closer to its citizens.
Durch die verlangte Kohärenz der Daten ist dies auch praktisch möglich.	By requiring the data to be coherent, it also makes this a practical possibility.
Klar muss aber auch sein, dass, wenn in die Daten nicht nur Einsicht genommen wird, sondern diese auch wirtschaftlich genutzt werden, dies kostenpflichtig sein soll; sonst würden ja gerade diejenigen, die diese Daten produzieren müssen, insbesondere die Gemeinden und Städte, nicht gerecht behandelt.	It must also be clear, however, that if the data is not merely to be consulted but is to be used commercially a fee must be payable; anything else would not be fair to the very people who will have to produce the data, in particular local and municipal authorities.
Treffen aber die Mitgliedstaaten hinsichtlich dieser Abgeltung andere Entscheidungen, so ist dies im Sinne des Subsidiaritätsprinzips ja durchaus möglich.	If the Member States decide differently about such payments, however, the subsidiarity principle makes that perfectly possible.
Wichtig erscheint mir auch die von der Berichterstatterin geforderte Verständlichkeit und Transparenz des Vorschlags.	I also believe the rapporteur’s call for the proposal to be easy to understand and transparent is important.
Das von der Kommission geforderte Komitologieverfahren soll daher nur ausnahmsweise verwendet werden.	The comitology procedure called for by the Commission should therefore only be used in exceptional cases.
Der Bürger hat nämlich Anspruch darauf, genau zu erfahren, wie und wo Entscheidungen gefallen sind, und vor allem, was die Gründe dafür waren.	The public has a right to know precisely how and where decisions have been taken and, above all, what the reasons for them were.
Abschließend kann ich sagen, dass es der Berichterstatterin gelungen ist, durch ihren Vorschlag Bürgerfreundlichkeit, Transparenz, Subsidiarität und Praktikabilität vermehrt in den Kommissionsvorschlag einzuführen.	In conclusion, I can say that the rapporteur has with her proposal succeeded in bringing the Commission proposal closer to the citizen and introducing into it greater transparency, subsidiarity and practicability.
