Frau Präsidentin, ich möchte mich in meiner Wortmeldung auf zwei Aspekte beschränken.	Madam President, I want to confine my comments to two aspects.
Zunächst uneingeschränkte Zustimmung zu dem, was in den Punkten 17 bis 20 des ausgezeichneten Berichts unseres Kollegen Azzolini erstmals in dieser Deutlichkeit ausgesprochen wurde: Tourismus ist gut!	First, let me unreservedly agree with what is stated so clearly for the first time in paragraphs 17 to 20 of Mr Azzolini's excellent report: tourism is a good thing!
Für viele Gegenden Europas ist der Tourismus lebenswichtig.	For many parts of Europe tourism is the key to survival.
Aber Subventionstourismus ist schlecht, ist inakzeptabel, weil dadurch keine nachhaltige Strukturverbesserung bewirkt wird, sondern nur europäisches Geld massenweise hinausgeworfen und vernichtet wird.	But subsidised tourism is a bad thing, it is unacceptable, because it does not produce sustained structural improvement but simply throws away and wastes huge amounts of European money.
Wenn ein hoch geförderter Betrieb ein Haus weiterzieht, hinterläßt er in der Regel weit mehr Scherben als Nutzen.	When an undertaking that receives a large amount of aid relocates to the next place, it generally leaves far more damage than useful things behind it.
Daher so rasch wie möglich Schluß mit diesem Unfug!	So let us put an end to this nonsense as quickly as possible!
Die Kommission möge ihre kollektive Weisheit bemühen, im Dienste guter Lösungen.	Let the Commission apply its collective wisdom to finding good solutions.
Gute Lösungen brauchen wir auch - und da komme ich zum zweiten Aspekt, den ich hier ansprechen möchte - für die Agenda 2000 insgesamt und die Strukturreform im besonderen.	This brings me to the second aspect I want to address. We also need good solutions to Agenda 2000 as a whole and to structural reform in particular.
Wir brauchen diese guten Lösungen rasch.	We need these good solutions quickly.
Knapp zwei Monate haben wir nach dem neuesten Fahrplan der deutschen Präsidentschaft noch, und wir alle müssen diese Zeit nutzen.	We have barely two months left under the German Presidency's new timetable and we have to put this time to good use.
Die Kommission und das Europäische Parlament haben in den vergangenen Monaten gemeinsam gute Arbeit geleistet.	The Commission and the European Parliament have done good work together in the past months.
Jetzt muß der Rat zeigen, daß er konsensfähig ist.	Now the Council has to show that it can reach consensus.
Fünfzehn Meinungen bei diesem schwierigen Thema unter einen Hut zu bringen, wird sicher nicht einfach sein.	It will certainly not be easy to accommodate fifteen different opinions on this difficult subject.
Der Rat muß aber auch zeigen, daß er zu Zusammenarbeit mit der Kommission bereit ist, aber auch und gerade mit diesem Parlament, das sich in dieser bisher sehr verantwortungsvollen Art in diesen Prozeß eingeklinkt hat, sich um gemeinsame, vernünftige und sachliche Lösungen bemüht hat, das aber nunmehr auch großen Wert darauf legen muß, in die Schlußentscheidungen eingebunden zu sein.	The Council must now show that it is prepared to cooperate with the Commission, but also and in particular with Parliament, which has been playing a very responsible part in this process so far and sought to find common, rational and objective solutions, but which must now also attach great importance to being included in the final decisions.
Wir können nicht weitere sieben Jahre warten, bis die Zustimmungsvorschriften des Vertrages von Amsterdam in Kraft treten.	We cannot wait another seven years for the assent provisions of the Amsterdam Treaty to enter into force.
Wir wollen jetzt konstruktiv mitreden.	We want to have a constructive say now.
