Herr Präsident, meine Damen und Herren! Ein großes Ziel der Union ist mehr europäische Stabilität.	Mr President, ladies and gentlemen, one of the Union's major goals is greater stability in Europe.
Europäische Stabilität soll dazu dienen, das Weltwirtschaftssystem als Ganzes sicherer zu machen.	European stability should serve to enhance the security of the world economic system as a whole.
Gerade aus diesem Grund wäre es völlig unangebracht, noch zusätzliche Krisen und mehr Desaster herbeizureden.	For precisely that reason, it would be entirely inappropriate to talk the world into even more crises and disasters.
Aber eines soll trotzdem geschehen: Eine gewisse Bestandsaufnahme soll erfolgen.	Nevertheless, one thing is necessary: we must do a certain amount of stocktaking.
Wir reden zwar heute über Rußland, aber Tatsache ist, daß ein Drittel der Weltwirtschaft in tiefer Rezession steckt, daß die Lebensstandards in diesem Drittel der Weltwirtschaft rapide sinken, daß die Arbeitslosenraten dort steigen.	Although we are talking about Russia today, the fact is that one third of the world economy is in the depths of recession, that living standards in the countries concerned are plummeting while unemployment rises.
Auf Rußland bezogen sah es so aus, daß ungefähr ein Viertel aller Arbeitnehmer sechs Monate lang praktisch keinen Lohn bekommen hat.	In relation to Russia, this has meant that about one in four employees throughout the country has virtually received no pay for six months.
Das ist die soziale Bestandsaufnahme.	That is the social situation in a nutshell.
Der zusätzliche Handelsrückgang, der sich aus dieser sensiblen Situation ergeben hat, hat bedrohliche Formen angenommen und zu weiterer Verunsicherung geführt.	The additional slump in trade resulting from this delicate situation has assumed threatening proportions and has led to a further loss of confidence.
Worum geht es?	What is the issue?
Rußland braucht eine gewisse Wiederherstellung der staatlichen Verwaltungssysteme und strukturelle Hilfe.	Russia needs some restoration work on its governmental administration systems and it needs structural aid.
Die strukturelle Hilfe muß sensibel angegangen werden.	The structural aid has to be approached in a sensitive manner.
Das TACIS-System muß ausgebaut und erweitert werden.	The TACIS system must be developed and expanded.
Das geht nicht nur mit Kapitalverkehrskontrollen.	That cannot by done by simply controlling capital movements.
Vertrauen ist angesagt.	Confidence is imperative.
Ohne Kredite geht in der Welt überhaupt nichts.	Without loans the world would grind to a complete standstill.
Es darf absolut nicht zu einem credit crash kommen, der desaströs wäre für diese Regionen und ganz besonders für Rußland.	Under no circumstances must the present crisis culminate in a credit crunch, for that would be disastrous for these parts of the world and especially for Russia.
Aber eines steht auch fest: Die Rückzahlungsfähigkeit gerade Rußlands soll und muß so rasch wie möglich wiederhergestellt werden, um das Vertrauen wiederherzustellen.	But one other thing is certain, namely that it is desirable and essential that the ability of Russia, of all countries, to repay its loans should be re-established as quickly as possible if confidence is to be restored.
Vielleicht sollten wir, wie heute von unserer Staatssekretärin bereits angeschnitten, auch international entschlossener vorgehen.	Perhaps, to take up a point that was touched upon today by our State Secretary, we should also adopt a more resolute approach on the international stage.
Wir sollten eine internationale Kommission bilden, vielleicht nach dem Vorbild der Brundtland-Kommission.	We should form an international commission, perhaps on the model of the Brundtland Commission.
Es geht darum, die Finanzstrukturen wieder in Ordnung zu bringen und das Vertrauen wiederherzustellen.	It is a matter of putting the financial structure in order again and restoring confidence.
Das ist alles.	That is all.
Das werden wir mit größter Sensibilität tun, die hier angebracht ist.	We shall do it with the greatest of sensitivity, as the present situation demands.
