– Herr Präsident, Herr Kommissionspräsident, meine Damen und Herren! Ich habe sechs Gedanken.	Mr President, Mr President of the Commission, ladies and gentlemen, I have six ideas to put to you.
Erstens: Geben Sie den Bürgern Europas das Vertrauen in das Europa des Friedens, der Freiheit und des Rechts zurück. Was meine ich damit?	Firstly, give back the people of Europe their confidence in a Europe of peace, freedom and justice.
Alle müssen die gemeinsamen Regeln respektieren. Alle müssen die Verträge einhalten.	What do I mean by that?
Alle müssen die Beschlüsse umsetzen. Die Kommission muss verstärkt von ihrem Initiativrecht Gebrauch machen, die Kommission muss verstärkt kontrollieren.	I mean that everyone should have to abide by common rules, that all must obey the Treaties, that all must implement decisions, that the Commission must avail itself more of its right of initiative and must monitor more.
Die Regeln sind ausreichend, es fehlt jedoch am politischen Willen und an der Entschlossenheit.	The rules are sufficient, but there is a lack of political will and determination.
Stichwort: Vertragsverletzungsverfahren, Stichwort: Stabilitäts- und Wachstumspakt, Lissabon und Barcelona.	Words such as ‘infringement proceedings’, ‘Stability and Growth Pact’, ‘Lisbon’ and ‘Barcelona’ spring to mind.
Herr Kommissionspräsident, ziehen Sie den Almunia-Vorschlag zum Stabilitäts- und Wachstumspakt zurück, weil er die Kommission und das Gemeinschaftsrecht schwächt.	Mr President of the Commission, I urge you to withdraw Commissioner Almunia’s proposal on the Stability and Growth Pact, which weakens the Commission and Community law.
Wir müssen die gemeinsamen Regeln stärken.	The common rules need to be reinforced.
Mein zweiter Punkt: Orientieren Sie Ihr Verhalten nicht an den Sündern, sondern setzen Sie Initiativen zur Beseitigung der Einstimmigkeit im Rat, damit nicht die Blockierer bestimmen, ob Sie Erfolg haben oder scheitern.	Secondly, do not let what you do be influenced by those who break the rules, but take initiatives to do away with unanimity in the Council, so that your success or failure is not determined by those who block progress.
Mein dritter Punkt: Machen Sie Europa im Sinne der Strategien von Lissabon und Barcelona wettbewerbsfähiger. Setzen Sie Initiativen zur Beseitigung aller Hemmnisse, Blockaden und Wettbewerbsverzerrungen im Binnenmarkt.	Thirdly, make Europe more competitive in line with Lisbon and Barcelona, and take initiatives to remove from the internal market all barriers, blockages and distortions of competition.
Wir brauchen eine stärkere Kommission, wir brauchen mehr Europa, und wir brauchen mehr Initiativen der Kommission.	We need a stronger Commission, we need more Europe, and we need more initiatives from the Commission.
Viertens: Bilden wir Forscher nicht nur aus, sondern lassen wir sie auch anwendbar forschen!	Fourthly, let us not just train researchers, but also let them carry out research into things that are usable!
Fünftens: Machen wir Europa sicherer und stärker in der Welt – Gemeinsame Außen- und Sicherheitspolitik, gemeinsame Verteidigungspolitik, gemeinsame Asyl- und Migrationspolitik, eine Stärkung der Vereinten Nationen.	Fifthly, make Europe more secure and stronger on the world stage, with the common foreign and security policy, the common defence policy, a common asylum and immigration policy, and a stronger United Nations.
Wir brauchen kein Vetorecht Deutschlands im Sicherheitsrat, sondern ein ständiges Mitglied Europäische Union im Sicherheitsrat.	What we need is not for Germany to have the right of veto in the Security Council, but for the European Union to be a permanent member of it.
Sechstens: Machen wir die Bürger Europas zu informierten Beteiligten.	The sixth thing I urge is that we should make informed participants of the people of Europe.
Das europäische Bewusstsein ist in den Mitgliedstaaten nicht ausreichend vorhanden.	There is not enough European consciousness in the Member States, which use a double strategy to weaken it.
Die Mitgliedstaaten verwenden eine Doppelstrategie und schwächen damit das europäische Bewusstsein. Machen wir die Schuldzuweisungen an die EU unmöglich, indem Sie, Herr Kommissionspräsident, nach jedem Gipfel eine europäische Informations- und Kommunikationsstrategie auf den Tisch legen, damit Ihre Ergebnisse nicht nationalisiert werden.	Let us make it impossible to shift the blame on to the EU; this will involve you, Mr President of the Commission, putting a European information and communication strategy on the table after every summit, so that what you have achieved cannot be claimed by the nation states.
