Herr Präsident! Ich teile die inhaltlichen Positionen fast aller Kollegen.	Mr President, I agree with the points that almost all the other Members made.
Ich sage, fast aller Kollegen, und konzentriere mich daher auf drei formale Aspekte.	I say 'almost' all the Members, and will concentrate, therefore, on three formal aspects.
Punkt 1: Wir tun es in diesem Parlament immer wieder und tun es auch heute wieder einmal: Wir verstecken wichtige Gesetzgebungsvorhaben in der Nachtsitzung.	Point 1: We do it over and over again in this Parliament, and today we are doing it again: we relegate important legislative proposals to the evening sitting.
Wir stellen damit sicher, dass möglichst wenige uns zuhören und dass, von ganz wenigen Ausnahmen abgesehen, niemand auf der Tribüne sitzt, und wir stellen sicher, dass die Journalisten, die über all das berichten sollten, sich wahrscheinlich heute Abend schon anderen Beschäftigungen widmen.	That way, we ensure that as few people as possible are listening and that, with only a very few exceptions, there is nobody sitting in the visitors' gallery, and we ensure that journalists, who should be reporting all this, are most likely already giving their attention to other things in the evening.
Zweitens: Wir hören immer wieder, und wir haben es auch in dieser Debatte gehört: In der ersten Lesung müssen wir uns als Europäisches Parlament hinauslehnen und ganz besonders fordernde Positionen einnehmen, weil der Rat sich ja in der Folge ohnehin als Bremser beweisen wird und wir dann unter dem Strich nicht dorthin kommen, wo wir hinkommen möchten.	Secondly, we are always hearing, and we have heard in this debate too, that we, the European Parliament, have to stick our necks out at first reading and take particularly demanding positions, as the Council will subsequently put the brakes on anyway, and in the end we shall not get where we want to go.
Ich würde vor dieser Position warnen: Sie hat lange gestimmt, sie stimmt aber zunehmend nicht mehr.	I caution against this position: it was true for a long time but is increasingly no longer the case.
Wir haben es etwa im Fall der Luftreinheitsvorschriften gesehen: Hier gibt und gab es Aktionen, wo sich Staats- und Regierungschefs, aber auch die Umweltminister schon in der ersten Lesung sehr weit mit hinausgelehnt haben.	We saw it in relation to the air-quality regulations, for example, where there have been and still are initiatives where the Heads of State or Government, and even the Ministers for the Environment, have gone a long way with us even at first reading.
Das führt dazu, dass wir mit den Ergebnissen, die wir beschlossen haben, in 10 bis 15 Jahren in Mitteleuropa zwischen Nürnberg und Bologna sämtliche Städte sperren müssen, weil wir die Werte nicht werden einhalten können.	With the results we have decided upon, that will mean that in 10 to 15 years, in Central Europe, we shall have to cordon off all cities between Nuremberg and Bologna because we cannot keep within the values that have been set.
Drittens: Wir müssen uns im Europäischen Parlament selbst zu vernünftigen gemeinsamen Lösungen zusammenraufen.	Thirdly, here in the European Parliament, we must implement a viable working relationship to achieve sensible joint solutions.
Ich sehe eigentlich in dem, was in den vergangenen Wochen und Monaten bei dieser Richtlinie passiert ist, einen gelungenen Weg und einen gelungenen Versuch, das zu tun.	In what has occurred in relation to this Directive over the past weeks and months, I see a successful path and a successful attempt to do that.
Anliegen der Umwelt, des Verkehrs, der Wirtschaft, der Industrie sind hier noch nicht in einen vernünftigen Kompromiss eingebunden, werden es aber, glaube ich, nach dem Ergebnis der morgigen Abstimmung sein.	Environmental, transport, economic and industrial matters are not yet included in a wise compromise, but they will be, I believe, after the result of tomorrow's vote.
Jetzt müssen wir nur noch den Rest der Welt dazu bringen, hier mitzumachen und etwas für die Umwelt zu tun.	Now all we have to do is persuade the rest of the world to join in and do something for the environment.
