Herr Präsident! Im Namen meiner Fraktion möchte ich bitten, die Abstimmung durchzuführen.	Mr President, on behalf of my group, I would like to request that the vote be held.
Sie ist schon einmal verschoben worden - vor den Wahlen.	It has already been deferred once, before the elections.
Jetzt sollten wir sie nicht bis nach dem EU-Ukraine-Gipfel verschieben.	We should not now defer it until after the EU-Ukraine summit.
Wir fordern in diesem Antrag den Gipfel und auch die Kommission und den Rat auf, die Verhandlungen mit der Ukraine bezüglich des Freihandelsabkommens, der Visafazilitäten, der Frage des Assoziierungsabkommens schnell voranzutreiben.	In this resolution, we call on the summit and also on the Commission and the Council to push ahead quickly with the negotiations with Ukraine in respect of the free trade agreement, visa facilitation and the matter of the association agreement.
Aber wir möchten auch, dass darüber diskutiert wird, dass bei den Regional- und Lokalwahlen die Opposition benachteiligt war, dass sie nicht überall kandidieren konnte und außerdem die Trennung von Exekutive und Judikative immer weniger gegeben ist.	However, we would also like discussion to take place regarding the fact that the opposition was disadvantaged in the regional and local elections, that it was not able to stand everywhere and, moreover, that there is increasingly little separation of the executive and the judiciary.
Es ist wichtig, dass wir den positiven Ansatz zur Ukraine deutlich machen.	It is important to make clear our positive approach to Ukraine.
Dies ist ein europäisches Land, das eine europäische Perspektive haben muss.	It is a European country that must have a European perspective.
Aber wir möchten nicht, dass es zu einem autoritären Regime absinkt und man dieses Ziel dann nicht erreichen kann.	We do not want it to descend into an authoritarian regime that makes it impossible to achieve this goal.
Das sollte man vor dem Gipfel verabschieden, weil es sonst missverstanden werden könnte, dass das Europäische Parlament diesen negativen Positionen nicht entgegentritt.	We should pass a resolution ahead of the summit, since otherwise it may be misinterpreted as meaning that the European Parliament does not oppose such negative positions.
Wir sehen, dass fast alle Wahlbeobachtungsorganisationen festgestellt haben, dass die Wahlen problematisch waren.	We have seen nearly all the electoral observer organisations conclude that the elections were problematic.
Wir sind fast die Letzten, die hier noch keine Position bezogen haben.	We are practically the last to take a position on this.
Wir sollten es uns nicht antun, unsere eigene Glaubwürdigkeit zu verlieren.	We should not bring about the loss of our own credibility.
