Frau Präsidentin, sehr geehrter Herr Präsident Caldeira, sehr geehrter Herr Kommissar!	Madam President, Mr Caldeira, Mr Šemeta, cohesion policy is the sick man of the EU budget.
Der Bereich der Kohäsionspolitik ist der Patient des EU-Haushalts.	Last year, he was in intensive care and this year he is convalescing.
Letztes Jahr lag er auf der Intensivstation, dieses Jahr ist er Rekonvaleszent, aber er ist noch lange nicht gesund, und die Gefahr eines Rückfalls ist alles andere als ausgeschlossen.	However, he is far from making a full recovery and he could have a relapse at any time.
Über 5 % aller Zahlungen in der Kohäsionspolitik waren fehlerhaft, 3 % hätten nicht ausgezahlt werden dürfen.	More than 5% of all the cohesion policy payments were in error and 3% should not have been made at all.
Das ergibt einen Betrag von rund 700 Millionen Euro.	This amounts to around EUR 700 million.
Einen großen Teil dieser fehlerhaften Zahlungen hätten die Mitgliedstaaten unterbinden können.	A large proportion of these erroneous payments could have been prevented by the Member States.
Hier passieren die Fehler: beim öffentlichen Beschaffungswesen und bei den Auszahlungen der Kohäsionsmittel. Dies geschieht trotz der mittlerweile bestehenden Kontrollsysteme, die jeweils von der Kommission validiert wurden.	The errors are occurring in public procurement and in the payment of cohesion funding, despite the existing control systems, which have been approved by the Commission.
Wir sollten uns diese Kontrollsysteme noch einmal genau anschauen.	We need to take another careful look at these control systems.
In meinem Mitgliedstaat Deutschland haben die Stichproben ergeben, dass dort alle geprüften Kontrollsysteme nur bedingt wirksam waren.	In my home country of Germany, the samples showed that all the control systems there which had been tested were only partially effective.
Die Verantwortung für die Haushaltsführung liegt bei der Kommission.	The responsibility for managing the budget lies with the Commission.
Wir können diesen Widerspruch - Fehler bei den Mitgliedstaaten, Verantwortung bei der Kommission - in unseren Heimatländern diskutieren, wir können es den Medien sagen, wir können es den Bürgern sagen.	We can discuss this contradiction - errors in the Member States which are the responsibility of the Commission - in our home countries, we can explain it to the media and we can tell our citizens about it.
Aber politisch ist es die Aufgabe der Kommission, dies bei den Mitgliedstaaten durchzusetzen.	However, in political terms, it is the job of the Commission to resolve this problem in the Member States.
Herr Kommissar Šemeta, ziehen Sie die Zügel an! Sie haben uns dabei an Ihrer Seite!	Mr Šemeta, you need to take control in this area and you will have our support for doing so.
