Frau Präsidentin, die finnische Präsidentschaft hat eine sehr große Verantwortung.	Madam President, the Finnish Presidency of the Council has a very great responsibility.
Viele Menschen schauen mit großen Hoffnungen nach Tampere und erwarten sich wirkliche Fortschritte für ein Europa der Bürger.	Many are looking towards Tampere with great hopes and are expecting considerable steps towards a Europe for the citizens.
Hier glaube ich, daß die Charta der Bürgerrechte eine einmalige Chance ist, den Menschen von Skandinavien bis zum Mittelmeer zu sagen, dieses Europa ist nicht nur ein Markt.	Here, I believe that the Charter of Citizens' Rights is a unique opportunity to say to people from Scandinavia to the Mediterranean that this Europe is not only a single market.
Es ist nicht nur eine Währung, sondern dieses Europa ist eine Wertegemeinschaft zur Verteidigung und zur Förderung der zivilisatorischen Errungenschaften, die wir in Europa in den letzten Jahrhunderten erkämpft haben.	It is not only a single currency. Rather, this Europe is a community of values designed to defend and promote the achievements in terms of civilisation which we in Europe have fought for over recent centuries.
Die Charta der Bürgerrechte kann nur interessant sein, wenn die Methode der Ausarbeitung offen und transparent ist.	The Charter of Citizens' Rights can only be of interest if the method behind its preparation is open and transparent.
Deshalb darf das keine traditionelle Regierungskonferenz hinter verschlossenen Türen werden.	This should not therefore entail a traditional Intergovernmental Conference behind closed doors.
Diese Charta muß offen im Dialog mit den Bürgerinnen und Bürgern ausgearbeitet werden.	This Charter must be drawn up openly in dialogue with the citizens.
Ich glaube, Bürgerrechte sind ein originäres Thema für die Parlamente, für das Europaparlament wie auch für die nationalen Parlamente.	I believe that citizens' rights is an original theme for the European Parliament and national parliaments alike.
Hier meine ich, der Gipfel in Tampere sollte sich wirklich nach vorne bewegen und dem Europaparlament eine größere Mitwirkung einräumen, als das in Köln beschlossen wurde.	In this regard, I am of the opinion that the Tampere Summit should make considerable strides forward and allow the European Parliament a greater involvement than was agreed in Cologne.
Es geht ja um europäische Bürgerrechte.	It is certainly a question of European citizens' rights.
Insofern müßte man wirklich erreichen, daß es eine Parität gibt zwischen Vertretern dieses Europaparlaments und Vertretern auf der nationalen Ebene.	In this respect, we should really ensure parity between representatives of this European Parliament and representatives at a national level.
Ich glaube, die Bürger werden sich für diese Charta nur interessieren, wenn sie mehr ist als eine feierliche Proklamation.	I believe that citizens will only take an interest in this Charter if it amounts to more than a solemn proclamation.
Rechte der Bürger müssen doch auch rechtlich verbindlich sein!	Citizens' rights must also be binding in law.
Ich hoffe, daß diese Debatte richtungsweisend ist, wie diese Rechte in den nächsten Verträgen verankert werden können!	I hope that this debate points the way ahead as to how these rights can be incorporated in the next treaties.
Offene Debatte und rechtliche Verankerung, dann haben wir die Chance, wieder den Kontakt zu den Bürgern in Europa zu bekommen.	Open debate and legal incorporation; then we will have the opportunity to get to know Europe' s citizens once again.
