Herr Präsident, ich möchte nur versuchen, die Fragen zu beantworten.	Mr President, let me attempt to answer these questions.
Die Frage von Herrn Stenmarck hat ja schon gezeigt, worunter diese Debatte leiden muß.	What Mr Stenmarck asked illustrates the confusion besetting this debate.
Wir haben noch keine Position in der Kommission.	The Commission has not yet decided what measures it will take.
Herr Ferber, das ist nicht etwa deswegen, weil ich Angst hätte vor der Linken oder vor irgendjemandem.	Not, Mr Ferber, because I am frightened of the Left - or indeed of anyone else.
Ich habe nicht einmal, wie einige CSU-Mitglieder, die aufgestellt wurden, Angst vor Herrn Stoiber.	I am not even in fear of Mr Stoiber, unlike some CSU members seeking re-election to this House.
Denn ich muß ja nicht auf der CSU-Liste aufgestellt werden. Deswegen brauche ich auch keine Brandreden zu halten, um aufgestellt zu werden.	I do not aspire to have my name on the CSU list, and this spares me the need to draw attention to myself with fiery rhetoric.
Ich habe vor niemandem Angst, nicht einmal vor Ihnen, Herr Ferber.	Nobody frightens me - not even you, Mr Ferber.
Herr Simpson hat eine nach meinem Dafürhalten sehr einfache Vorstellung von dem Verhältnis Parlament-Kommission-Rat.	Mr Simpson seems to hold a very simplistic view of the relations linking Parliament, the Commission and the Council.
Wenn Herr Simpson meint, die Kommission muß immer das vorschlagen, was das Parlament sich selbst vorstellt, dann ist das erstens zeitlich eine Verkehrung des Ablaufs.	He has got things the wrong way round if he thinks that the Commission should always make proposals which match Parliament's vision.
Erst schlägt die Kommission vor, dann geben Parlament und Rat ihre Standpunkte ab und die Kommission akzeptiert selbstverständlich diese demokratische Abstimmung.	The procedure is that the Commission proposes, then Parliament and the Council deliver their positions. The Commission of course takes on board the results of this democratic process.
Aber unser eigenes Vorschlagsrecht, Herr Simpson, würde völlig denaturiert, wenn ich oder irgendein Kollege in der Kommission immer das vorschlagen würde, was das Parlament sich vorstellt, zumal Sie ja hier gehört haben, daß die Vorstellungen des Parlaments jedenfalls derzeit noch nicht fixiert wurden.	Our own right to propose would be totally undermined, however, if I or any of my Commission colleagues were systematically to advocate what Parliament wanted - particularly since you will have noticed that the parliamentary position is not clear at this stage.
Wie könnten Sie denn auch?	And how could it be?
Es gibt ja keinen Vorschlag der Kommission.	The Commission has yet to make a proposal.
Dann wollen wir mal abwarten, was das Parlament zu unserem Vorschlag sagt.	Once it has done so, we can see what Parliament has to say.
Damit aber eines noch einmal klar ist: Meine persönliche Absicht - mehr kann ich jetzt hier nicht sagen - ist, den Universaldienst so zu sichern, daß Sie darüber keine Sorgen haben müssen, wenn meine Kollegen in der Kommission mir folgen.	Let me repeat, however, for the sake of clarity: my personal intention - and I can speak only on my behalf at this juncture - is to defend the universal service. So you need have no worries, provided my colleagues in the Commission follow my lead.
Ich kann aber nicht einen Vorschlag machen, der diesen Prozeß der Liberalisierung für die Post entweder ganz ausschließt oder so verzögert, daß am Ende die Post von den anderen Entwicklungen überrollt wird.	What I cannot do is come forward with a proposal which would rule out extending the liberalisation process to the postal sector; nor can I advocate delay, since our postal services would simply end up being overtaken by developments elsewhere.
Das habe ich in früheren Debatten schon oft gesagt. Deswegen ist das, was ich vorschlage, nicht etwa gegen die Beschäftigten bei der Post gerichtet.	This is a point I have endeavoured to drive home in previous debates; once you have grasped it, you will understand that I am not 'out to get' those employed in the postal sector.
Innerhalb der verschiedenen Postgesellschaften wird sich nämlich - und das sieht man schon heute - ein Wettbewerb entwickeln zwischen denen, die in einem liberalisierten nationalen Umfeld leben, wie etwa der deutschen Post-AG, und den anderen, die das nicht tun.	We can already see competition developing between those postal service providers who operate in a liberalised environment - Deutsche Post AG, for example - and the others who do not.
Die sich im liberalisierten Umfeld bewegen, haben einmal die natürlichen Vorteile ihrer Wettbewerbsfähigkeit im Markt.	The former enjoy a natural advantage born of their market fitness.
Sie werden auch rechtlich besser dastehen. Sie können andere Unternehmen erwerben, sich zusammenschließen mit anderen Unternehmen, während die Monopole das nicht können.	They will be better placed legally as well, free as they are to buy up or merge with other companies; that door is closed to the monopolies.
Wer das nicht versteht, der erweist den Beschäftigten der Post und den Verbrauchern, auf die Herr Wijsenbeek ja auch hingewiesen hat, wirklich keinen Dienst.	Anyone who fails to comprehend that will truly be letting down postal employees - and Mr Wijsenbeek's consumers - alike.
Deswegen geht es hier nicht um Ideologie.	This is not about ideology.
Gut, ich bin ein Liberaler. Ich bin das mein ganzes Leben lang gewesen.	Very well, I am a Liberal and have been all my life.
Manchmal zweifelt man daran, ob die liberalen Kollegen so vernünftig sind wie man selbst. Jedenfalls habe ich meine liberale Überzeugung nie aufgegeben.	Occasionally one wonders if one's colleagues on the Liberal benches have the same degree of common sense; be that as it may, I have certainly never abandoned my Liberal convictions.
Nicht weil ich das aus Ideologie mache, denn meiner Meinung nach sind ideologische Standpunkte gar nicht liberal, sondern weil ich versuche, meine Aufgabe zu erfüllen.	It is not ideology which spurs me on - I see nothing Liberal in ideological positions; my aim is to do the job entrusted to me.
Wenn Sie, Herr Simpson, damit nicht zufrieden sind, haben Sie jede Möglichkeit, mich und meine Kollegen rauszuwerfen.	If you are not happy with the way I perform, Mr Simpson, you have all the opportunity in the world to kick me out, along with my colleagues.
Wir akzeptieren das ja, das ist ein normales demokratisches Rollenspiel.	It is fine by us; that is life on the democratic stage.
Sie können das morgen tun. Sie haben die Entscheidungsmöglichkeit dazu.	You can do it tomorrow if you like; the opportunity is there if you so decide.
Wenn Sie es tun, bin ich nicht beleidigt. Das Parlament hat diese Aufgabe, das ist völlig normal.	I shall not be offended; Parliament will simply be doing its job.
Und wenn Sie es nicht tun, weil Sie glauben, daß die Kommission trotz allem doch eine ganz gute Arbeit geleistet hat, dann möchte ich mich schon im voraus bedanken.	And if you refrain because you believe that the Commission has not done so badly, after all - then many thanks in advance.
