Herr Präsident! Ich kann an das, was Herr Ferber gesagt hat, nahtlos anschließen.	Mr President, I fully endorse what Mr Ferber has said.
Ich werde nichts zu der Vielzahl der Vorschläge sagen, die in meinem Arbeitsbereich, also im Bereich Umweltpolitik und Verbraucherschutz, vorgelegt wurden.	I do not intend to say anything about the plethora of proposals presented in my area, i.e. on environmental policy and consumer protection.
Ich werde deshalb nichts dazu sagen, weil ich davon ausgehe, dass die Hälfte nicht verwirklicht werden wird, dass die Hälfte ins nächste Jahr übertragen werden wird.	I do not intend to say anything about them because I assume that half of them will not be implemented and the other half will be carried over to next year.
In einem deutschen Arbeitszeugnis würde stehen: Sie haben sich bemüht.	A German reference would read: tries hard.
Sie würden aber nicht wünschen, damit einen neuen Arbeitsplatz zu suchen, den würden sie damit nämlich nicht bekommen.	But you would not want to use it to apply for another job, because you would not get it.
Wenn Sie über gutes Regieren sprechen, Herr Prodi, gehört auch zum guten Regieren dazu, dass Sie sich selbst einschätzen, Ihre Kommission einschätzen und entscheiden, was zeitlich und personell leistbar ist.	When you talk of good governance, Mr Prodi, good governance also means self-assessment, evaluating your Commission and deciding what you have the time and staff to achieve.
Um beim guten Regieren zu bleiben: Was heißt gutes Regieren?	And while we are on the subject of good governance: what does good governance mean?
Was ist das eigentlich?	What exactly is good governance?
Heißt das Transparenz?	Is it transparency?
Gerne, Herr Prodi.	Fine, Mr Prodi.
Transparenz wollen wir alle sehr gerne, aber ist mehr Beteiligung von Interessenverbänden, die Sie auswählen und mit denen Sie alleine verhandeln, mehr Transparenz?	We are all very keen on transparency, but is more involvement by interest groups selected by you and with which you alone negotiate more transparency?
Ich sage Ihnen nein, das ist nicht mehr Transparenz.	Not in my book.
Und zur Verkürzung von Verfahren, Herr Prodi.	And what about cutting red tape, Mr Prodi.
Ja, ich bin für die Verkürzung der Verfahren, auch für die Verkürzung der Interservice-Verfahren in der Kommission.	Yes, I am all for cutting red tape, including red tape between Commission services.
Ich bin auch für die Verkürzung der Verfahren im Parlament, sage ich selbstkritisch, aber sind deshalb Selbstverpflichtungen mit der Industrie die Lösung?	I am also all for cutting red tape in Parliament - she says self-critically - but are voluntary undertakings towards industry the solution?
Gehen die schneller?	Are they any faster?
Und wer kontrolliert sie?	And who controls them?
Wer sanktioniert sie, wenn sie nicht funktionieren?	Who imposes sanctions when they do not function?
Ist das mehr Demokratie, frage ich Sie?	Is that more democracy, I ask you?
Sie, Herr Prodi, sind von den Regierungschefs ausgewählt und von uns bestätigt worden.	You, Mr Prodi, were selected by the Heads of Government and your appointment was confirmed by us.
Wir aber hier im Europäischen Parlament sind von den Bürgerinnen und Bürgern der Europäischen Union gewählt worden, und zwar direkt gewählt.	But we here in the European Parliament were elected - directly elected - by the citizens of the European Union.
Dieses Europäische Parlament hat durch die Definition seiner Existenz eine zentrale Rolle in der Zivilgesellschaft, wie Sie es so schön sagen, und ich hoffe, dass Sie das von Ihrem Demokratieverständnis her ebenso sehen.	This European Parliament has, by definition, a central role in civil society, as you so nicely put it, and I trust that you too can see that from your understanding of democracy.
Ich warne alle in der Kommission, an dieser zentralen Rolle dieses Europäischen Parlaments etwas zu ändern, Herr Prodi.	I warn all of you in the Commission not to tinker with the crucial role of the European Parliament, Mr Prodi.
Good governance scheint im Moment für die Kommission in erster Linie zu heißen, governance on its own oder governance alone, und ich warne Sie dringend davor, das fortzuführen! Ich bitte Sie deshalb klarzumachen, dass das Europäische Parlament der Entscheidungsträger ist und auch das Gremium, das Sie kontrolliert!	At the moment, good governance appears in the Commission's book to mean, first and foremost, governance on its own or governance alone and I urgently advise you not to pursue that course and call on you to confirm that it is the European Parliament which takes the decisions and also controls you.
