Herr Präsident! Die meisten Kontinente benötigen für ihre Entwicklung einige Milliarden Jahre.	Mr President, most continents take billions of years to develop.
Der „Kontinent“ Erste Bank begann 1997 mit 60 000 Kunden und ist heute auf 12,5 Millionen Menschen in Österreich, Tschechien, der Slowakei, Ungarn, Kroatien und Slowenien angewachsen. Das habe ich gerade in einer Anzeige gelesen.	The Erste Bank, which one can certainly regard as a continent, started out in 1997 with 60 000 customers and has grown to the point where it has, today – according to what I have just read in an advertisement – 12.5 million account holders in Austria, the Czech Republic, Slovakia, Hungary, Croatia and Slovenia.
Herr Präsident! Ich möchte Österreich dazu beglückwünschen, dass es die einzigartigen Möglichkeiten im Zuge der Wiedervereinigung genutzt hat.	Mr President, Austria has made use of the unique opportunities provided by reunification, and is to be congratulated for it.
Zugleich zählt Österreich zu den Mitgliedstaaten, die ganz genau wissen, was noch getan werden muss, bevor wir die Erweiterung einen Schritt weiterführen, um sicherzustellen, dass die Erweiterungsrunde von 2004 Wirkung entfaltet, allmählich Chancengleichheit Einzug hält und Ungleichheiten abgebaut werden.	At the same time, Austria is one of those Member States who know very well what still needs to be done before we take the enlargement one step further, to ensure that the 2004 enlargement is effective, opportunities are gradually equalised and dissimilarities are reduced.
Wirtschaftswachstum und mehr Beschäftigung das ist das Thema der im März stattfindenden Ratstagung.	Economic growth, more jobs – this is the topic of the Presidency Conference to be held in March.
Um das zu erreichen, erwarten wir vom österreichischen Ratsvorsitz, dass er sicherstellt, dass Europa nicht durch ungerechtfertigte und künstlich erzeugte Ängste gespalten wird.	In order to achieve this, we expect the Austrian Presidency to ensure that Europe is not divided by unjustified or artificially induced fears.
Der freie Personen- und Dienstleistungsverkehr muss auf die Tagesordnung gesetzt werden.	The free movement of people or services must be on the agenda.
Wir brauchen einen Gemeinsamen Markt ohne Hindernisse.	What we need is an obstacle-free common market.
In den Ländern, die 2004 beigetreten sind, fehlt völlig eine starke Schicht kleiner und mittlerer Unternehmen.	The countries that joined in 2004 suffer from the complete absence of a strong stratum of small and medium-sized enterprises.
Wir erwarten vom österreichischen Ratsvorsitz, dass er zusammen mit den nationalen Regierungen Initiativen anregt, damit die KMU, die die Mehrzahl der Arbeitsplätze schaffen, Mut schöpfen, um auch in diesen Ländern Wurzeln zu schlagen und sich zu entwickeln.	We expect the Austrian Presidency to propose initiatives in conjunction with national governments to ensure that SMEs, which create the majority of jobs, are encouraged to take root and develop in these countries, as well.
Vorschriften oder ein Rahmenprogramm für Wettbewerbsfähigkeit gehören auf die Tagesordnung.	Regulation or a framework programme for competitiveness must be on the agenda.
Von dem österreichischen Ratsvorsitz erwarten wir, dass er gemeinsam mit dem Parlament für eine Aufstockung des Siebenjahresbudgets sorgt.	We expect the Austrian Presidency to ensure that, together with Parliament, we achieve a numerical improvement in the seven-year budget.
Und wenn das geschehen ist, müssen wir unverzüglich die Verwendung der vorhandenen Mittel erleichtern.	And when this is done, we must immediately facilitate the utilisation of available funds!
Lassen Sie uns endlich die Hindernisse aus dem Weg räumen, die die ohnehin komplizierte Mittelverwendung - sei es wegen zeitlicher Verzögerungen oder übertriebener Beschränkungen - aufhalten.	Let us eliminate, at last, the obstacles that hinder the already difficult utilisation of funds, whether by delays in time or the excessive restrictions imposed.
Das Ziel besteht nicht in der Rückzahlung am Jahresende, sondern in der Verwendung.	The objective is not repayment at the end of the year, but utilisation.
Wir brauchen einen flexibleren Haushalt.	We need a more flexible budget.
Herr Bundeskanzler, wir begrüßen die österreichische Ratspräsidentschaft und zählen auf Sie.	Mr Chancellor, we welcome the Austrian Presidency and count on you.
