Herr Präsident! BSE ist immer noch gefährlich.	Mr President, BSE is still a danger.
Die Gefahr ist nicht gebannt.	The danger has not been averted.
Wenn aber die Wahrscheinlichkeit, sich mit BSE anzustecken, heute geringer ist, als es noch vor einiger Zeit der Fall war, dann hat das mit unserer Arbeit im Parlament zu tun. Herr Byrne, ich will Ihnen zugestehen, es hat auch mit Ihrer Arbeit zu tun.	And if there is less of a chance of catching BSE now than there was a short time ago, then it is thanks to our work here in Parliament and, I freely admit Mr Byrne, it is also thanks to the work which you have done.
Die neue Kommission und Sie persönlich arbeiten konsequent. Lassen Sie mich dennoch einige Kritik an den Beschlüssen üben.	The new Commission and you personally are consistent in your approach, but I must nonetheless criticise certain aspects of the proposals.
Die offene Flanke war der Milchaustauscher, war das Fett, verunreinigt mit Resten von Eiweiß. Dieses war die offene Flanke der Kommission, der europäischen Ebene.	One chink in the Commission' s armour at European level was that of milk replacer and the fat contaminated with protein residue.
Leider ist sie zu spät geschlossen worden.	Unfortunately it was closed too late.
Was jetzt unternommen wurde, geht in die richtige Richtung.	What is being done now is a step in the right direction.
Aber immer noch soll Fett eingemischt werden, auch wenn es hitzebehandelt ist.	But fat is still being added, albeit heat-treated fat.
Herr Byrne, man muss ja fragen, wo bleibt denn das Seperatorenfleisch, wenn es nicht mehr in die Nahrungskette geht?	And, Mr Byrne, the question is, where does the mechanically recovered meat go, if not into the food chain?
Geht es dann in Richtung Knochenmehl, in Richtung Fett, und werden dann Reste vom Hirn, wenn die Schädel ausgesaugt werden, darin landen?	Is it used for bonemeal, is it used for fat and will brain residue left behind when the skull is sucked out end up in it?
Haben wir dann mit 133 Grad eine genügende Sterilisation?	Is it sterilised enough at 133 degrees?
Wir wissen, dass diese Prionen sich offensichtlich auch gegenüber dieser Hitzebehandlung als resistent erweisen.	As we know, these prions are clearly proving to be resistant to heat treatment.
Hier wäre es besser gewesen, zu sagen, kein Fett in den Milchaustauscher aus anderen Quellen als aus der Milch selbst.	It would be better here if we said that the only fat in milk replacer must come from the milk itself.
Wenn man unbedingt Fett haben will, soll man die Butter wieder reintun, die man vorher rausgezogen hat, oder möglicherweise gleich die Milch an die Tiere füttern.	If you really must have fat, then put the butter which has been removed back in or feed the milk straight to the animals.
Das zweite Problem ist das Hirn.	The second problem is the brain.
Wir haben immer noch die Situation, dass von Tieren unter 12 Monaten das Hirn verwendet werden darf.	We still have a situation in which the brain from animals under 12 months old can be used.
Wir können auch Schweinehirn verwenden.	We can also use pigs' brains.
Ein Nachweis ist in der Wurst nicht zu führen.	The proof of the sausage cannot be in the eating.
Also wäre es geboten, die gesamte Wurst, die gesamte Nahrungskette vom Hirn sowohl von Schweinen als auch von Rindern freizumachen.	So what we need to do is to remove both cows' and pigs' brains from the whole sausage, from the whole food chain.
Der dritte Aspekt ist der Test.	The third aspect is testing.
Herr Böge hat vorhin gesagt, wir wollen ab 18 Monate testen.	Mr Böge said earlier that we want to test after 18 months.
Ich korrigiere: Der Beschluss des Parlamentes heißt, alle Tiere, die in die Nahrungsmittelkette gehen, werden getestet, beginnend ab 18 Monate.	I must correct him here: Parliament's resolution states that all animals which enter the food chain must be tested, starting at 18 months.
Auch das muss sichergestellt sein, und wir dürfen nicht nachlassen, dieses Ziel zu verfolgen.	This too must be guaranteed and we must not let up in our pursuit of this objective.
Herr Byrne, wir dürfen auch nicht zulassen, dass Tiere geschlachtet werden, die jetzt nicht getestet werden, weil wir aus diagnostischen Gründen - Herr Böge hat schon darauf hingewiesen - dringend dieses Ergebnis für eine Gesamtbeurteilung des BSE-Drucks in Europa brauchen.	Mr Byrne, we must not allow animals which are not being tested now to be slaughtered, because we urgently need these results for diagnostic reasons - as Mr Böge has already said - in order to evaluate the overall threat of BSE in Europe.
