Herr Präsident, meine sehr geehrten Damen und Herren!	Mr President, ladies and gentlemen.
Ich bin sehr froh darüber, daß wir heute im Europäischen Parlament dieses Thema diskutieren, denn das Bewußtsein für Tierschutz und das Wohl der Tiere hat unter der europäischen Bevölkerung Priorität.	I am very pleased that we are discussing this subject today in the European Parliament, because awareness of animal protection and animal welfare has a high priority in the minds of Europeans.
Zu diesem Zweck sind Kontrollen der Transportbedingungen und des Zustandes der Tiere sowohl bei der Einfuhr als auch bei der Ausfuhr nötig.	To this end, inspection of transport conditions and the condition of the animals is necessary during import as well as export.
Natürlich braucht es auch Sanktionen, wenn bei Kontrollen Verstöße gegen EU-Normen festgestellt werden.	Naturally, sanctions are also needed for cases where controls disclose contravention of EU standards.
Die Sanktion kann beispielsweise im Entzug der Exportlizenz bestehen oder auch bei der Erteilung von Importkontingenten aus Drittländern.	Sanctions might consist, for example, of withdrawal of export licences, or import quotas granted to third countries.
Die Exporterstattung für Lebendvieh sollte vom Gutachten eines Amtstierarztes abhängig gemacht werden, der den ordnungsgemäßen Transport bestätigt.	Authorization for the export of live animals should be made dependent upon a certificate from an official veterinary surgeon, who should confirm that transportation is in order.
Die strengen Normen, die in Österreich gelten, d.h. eine maximale Transportzeit von sechs Stunden, sollten auch einmal europaweit Geltung bekommen.	The strict standards applied in Austria, that is, a maximum transport duration of six hours, should become valid for the whole of Europe.
Ich sehe es aber als einen ersten Schritt, diese internationale Transportzeit auf acht Stunden im grenzüberschreitenden Verkehr zu limitieren.	I would regard it as a first step, however, if the international transport duration for cross-border traffic were reduced initially to eight hours.
Es ist weiter zu sagen, daß der Export von Lebendrindern am Gesamtexport in den letzten Jahren zurückgegangen ist, von 16 % auf ungefähr 10 %.	Furthermore, the proportion of live cattle to total exports has shrunk in recent years from 16 % to about 10 %.
Man muß noch berücksichtigen, daß in diesen Zahlen der Export von Nutz- und Zuchtrindern enthalten ist, der von 16 % auf 28 % gestiegen ist, d.h. in diesem Sinne kann man es als positive Entwicklung betrachten.	It should also be taken into account that these figures include exports of domestic and breeding cattle, which have risen from 16 % to 28 %. So, from this point of view it is a positive development.
Es ist auch zu sagen, daß die Höhe der Erstattungen für Lebendrinder viel geringer ist als für Schlachtrinder.	It should also be noted that the compensation for live cattle is much less than for carcasses.
Aus der Sicht der Bauern möchte ich allerdings darauf hinweisen, daß eine völlig Abkehr von Lebendtransporten nicht möglich ist, aber daß der Transportweg so kurz wie möglich gehalten werden soll.	On behalf of farmers, however, I have to say that a complete switch from live transport is impossible, but that transport time should be kept as short as possible.
Die Bauern Europas haben das größte Interesse daran, daß ihre Zucht- und Schlachttiere beim Transport keine Qualen erleiden, denn Qualen und Streß wirken sich negativ auf die Fleischqualität aus.	European farmers have the closest possible interest in seeing that their animals are not subjected to distress during transportation, because pain and stress have a detrimental effect on the quality of the meat.
Ich unterstütze generell den Export von Fleisch, im gleichen Zug bedarf es aber der Förderung des Baus von Schlacht- und Kühlhäusern in jenen Drittstaaten, die Hauptabnehmer der EU sind und über keinerlei derartige Frischhaltemöglichkeiten verfügen.	In general I support the export of meat, but at the same time there is a need for encouragement of the construction of abattoirs and cold storage installations in those third countries which are the main customers of the EU, and who do not possess any such means of keeping food fresh.
Daher müssen wir in der Europäischen Gemeinschaft entsprechende Schlachteinrichtungen bauen, um es den Abnehmern von Drittstaaten zu ermöglichen, Fleisch anstatt Lebendvieh zu kaufen.	For this reason we in the European Union must build these installations, in order to make it possible for customers in third countries to buy meat instead of live animals.
Die breite Öffentlichkeit ist sehr sensibel auf diesem Gebiet, und ich bin sehr froh darüber.	The general public is very sensitive to this aspect, and I welcome that.
