Herr Präsident! Insgesamt ist die Entwicklung in Kroatien doch auf dem richtigen Weg.	Mr President, overall, developments in Croatia are going in the right direction.
Die Theorie ist vollständig, in der Praxis muss sich das erst bewähren.	The theory is complete, but it still needs to be proven in practice.
Es gibt aber drei offene Bereiche, wo es noch wirklich Arbeit gibt.	However, there are three areas where significant work still remains to be done.
Erstens, Kroatien muss noch stärker mit dem Internationalen Gerichtshof in Den Haag zusammenarbeiten, um das Thema Menschenrechte und die Verfolgung ehemaliger Kriegsverbrecher voranzubringen.	Firstly, Croatia must work closer with the International Court of Justice in The Hague to speed up progress with regard to human rights and the prosecution of former war criminals.
Wie Amnesty International in Behind a Wall of Silence ausführt, gibt es immer noch eklatante Einzelfälle von Menschenrechtsverletzungen, die aufzuarbeiten sind.	As stated by Amnesty International in 'Behind a Wall of Silence', there are blatant individual cases of human rights violations that are still be dealt with.
Der Schutz der Menschenrechte ist Kernthema der EU.	The protection of human rights is a key issue for the EU.
Hier dürfen wir nicht kompromissbereit sein und hier sind wir nicht kompromissbereit!	We must not be prepared to compromise where this is concerned, and indeed we are not prepared to compromise where this is concerned.
Zweitens, die Korruption.	Secondly, there is the corruption.
Sie zieht sich nach wie vor durch Gesellschaft, Wirtschaft und Politik.	It still permeates society, industry and politics.
Ich begrüße die Anstrengungen der kroatischen Regierung in ihrem Vorgehen gegen Korruption im eigenen Land, doch gleichzeitig müssen wir darauf drängen, dass auch diese Problematik mit Nachdruck weiter verfolgt wird.	I welcome the efforts of the Croatian Government to tackle corruption in its own country, but at the same time we must insist that this problem is also rigorously pursued.
Drittens, Kroatien muss im eigenen Interesse sicherstellen, dass die eingeleiteten Reformen der Justiz nun zügig vorangetrieben werden.	Thirdly, Croatia must ensure, in its own interests, that swift progress is now made with regard to the reforms initiated in the judicial system.
