. Meine lieben Kolleginnen und Kollegen, wir haben uns vorhin schon über das Problem unterhalten.	Ladies and gentlemen, we have just discussed this problem a short while ago.
Ich bin von der deutschen Version ausgegangen, über die auch im Ausschuß abgestimmt wurde.	I started out from the German version, which was the one also voted on in committee.
Da es weder eine europäische Justiz-, Strafverfolgungs-, oder Ermittlungsbehörde noch eine Staatsanwaltschaft gibt, ist es sehr, sehr schwierig, hier einen einheitlichen Begriff zu finden, der allen unterschiedlichen nationalen Systemen Rechnung trägt.	The fact that there is no European judicial, prosecuting or investigating authority, nor is there a public prosecutor, makes it very difficult indeed to find a common term which does justice to all the different national systems.
In einer Studie wurde dieser Begriff "Staatsanwaltschaft" geprägt, aber er ist kein festgefügter Begriff als solcher.	The term 'public prosecutor' was proposed in a study, but it is not an established term as such.
Da mir sehr viel Widerstand bei dem deutschen Begriff "Staatsanwaltschaft" entgegenkam, habe ich versucht, einen neutralen Ausdruck für meinen Bericht zu finden, und über diesen dann auch abstimmen lassen.	As I encountered a great deal of resistance to the German term for public prosecutor, which is 'Staatsanwaltschaft' , I have tried to find a more neutral expression for my report and then to have this put to the vote.
Es waren ja nicht die unterschiedlichen sprachlichen Versionen, über die abgestimmt wurde.	It was of course not the different translated versions which were voted on.
Da dann hinterher an mich herangetragen wurde, daß die Übersetzung ungenau oder auch mißverständlich sei, habe ich gebeten, daß der Begriff an die deutsche Übersetzung, von der ich ausgehe, angeglichen wird.	Since approaches were later made to me that the translation was inexact, and even misleading, I requested that the term be changed to comply with German translation, which is what I started off with.
Ich will aber noch einmal deutlich machen: Das ist etwas, was es noch nicht gibt, was wir definieren müssen.	However, I should like to point out again that what we have to define here is something which does not yet exist.
Ich habe ja vorhin auch die Kommission um eine Definition gebeten.	Some time ago I even asked the Commission for a definition.
Der Begriff muß so mit Inhalten gefüllt werden, daß er die Kompetenzen der Mitgliedsländer unbedingt berücksichtigt und intakt läßt.	The term must be so filled with meaning that the jurisdiction of the Member States is fully taken into account and left intact.
Deshalb war diese Frage für mich zunächst ein Problem der sprachlichen Fassung.	For me, the problem therefore centred around the translated version.
Ich war ein bißchen erstaunt, daß das dann gestern abend spät an mich herangetragen wurde.	I was slightly amazed that approaches were made to me on this subject late last night.
Ich würde doch sehr darum bitten, daß man hier den Inhalt prüft und sich nicht an einem Wort festmacht, für das erst noch eine Definition gefunden werden muß, worum ich ja gebeten habe.	Yet I would earnestly request that you examine the general content rather than focusing on a word for which we have still to find a definition, which is what I have requested.
