Herr Präsident, liebe Kolleginnen und Kollegen! Ich komme aus Leipzig, also aus Ostdeutschland.	Mr President, ladies and gentlemen, I come from Leipzig, from East Germany that is.
Oft genug musste ich erleben, wie Rechtsextreme Ausländer oder auch nur Andersdenkende drangsaliert haben oder es versucht haben.	I have seen often enough how right-wing extremists have harassed - or attempted to harass - foreigners, or even those who hold different beliefs.
Aber ich erlebe auch die andere Seite, wie sich couragierte Frauen und Männer wehren.	But I have also seen the other side, and how courageous men and women have defended themselves.
Es ist ein falsches Bild, wenn man sich Ostdeutschland erst einmal als rechtsradikal vorstellt.	It is wrong to picture East Germany as being predominantly right-wing extremist in its leanings.
Eine übergroße Mehrheit der Bevölkerung ist offen und tolerant, und mehr und mehr Menschen treten dafür auch offen ein.	The vast majority of people are open-minded and tolerant, and an ever-increasing number of them are prepared to nail their colours to the mast.
Ich denke, es ist auch ein Fehler, zu sagen, dass Jugendliche rechtsradikal sind.	I believe it is also wrong to maintain that the young people are right-wing extremists.
Dieses Thema ist zu kurz gegriffen, denn genau diese Jugendlichen fallen vielleicht eher auf, Frau Schroedter, aber sie wohnen bei Eltern, sie haben ein soziales Umfeld.	The issue is more complex than that, for although, Mrs Schroedter, it may be precisely these young people that grab the headlines, they do live with their parents and exist within a social sphere.
Das heißt, wenn wir diese Problematik lösen wollen, müssen wir mehr für politische Bildung, mehr für Wertevermittlung und noch mehr für Zivilcourage tun.	In other words, if we want to solve this problem then we must do more to educate them politically and to communicate values to them, and more still to encourage them to stand up for their beliefs.
Die Bundesregierung hat in den letzten Wochen für gerade solche Projekte 70 Millionen DM zusätzlich zur Verfügung gestellt.	Over the past few weeks, the German Government has made an additional DM 70 million available for just such projects.
Ich denke, das ist ein ganz wichtiges Zeichen.	I feel that is a very important sign.
Ebenso ist die Prüfung eines NPD-Verbotes auch für mich persönlich ein ganz wichtiges gesellschaftliches Signal.	Likewise, for me personally, the fact that consideration is being given to banning the NPD (National Democratic Party of Germany) sends out a very important social signal.
Wir lassen uns auch in Deutschland nicht von einer Minderheit terrorisieren.	We Germans will not submit to being terrorised by a minority.
Hier steht unsere Demokratie auf dem Prüfstand.	It is our democracy that is being put to the test here.
Als Europäerin möchte ich Sie bitten, stigmatisieren Sie nicht Ostdeutschland als Region!	Speaking as a European, I beseech you not to write East Germany off as a region.
Ich selbst und viele andere in ganz Deutschland verurteilen Rechtsradikalismus und Ausländerfeindlichkeit, kämpfen dagegen und brauchen Ihre europäische Unterstützung!	I myself, together with many other people throughout Germany, condemn right-wing extremism and xenophobia, and we need the support of the rest of Europe in our fight against it.
