Frau Präsidentin!	Madam President.
Kenia war nicht immer der Ort der Unruhe und der Brutalität.	Kenya was not always the scene of disorder and brutality.
Ich selbst habe es 1990 bei der Weltfrauenkonferenz in Nairobi erlebt, als diese Stadt friedlich 13.000 Frauen empfangen hat.	I was myself in Nairobi for the World Conference of Women in 1990, when the city peacefully welcomed 13, 000 women.
Unvorstellbar heute!	That is unthinkable today.
Alles ist anders.	Everything has changed.
Heute herrscht Angst, Terror und Gewalt durch Polizei und Banden.	Today there is the rule of fear, terror and violence by the Police and by gangs.
Kenias Tourismus ist als wichtige Devisenquelle bedroht, die Nachbarländer befürchten, daß die Krise über die Grenzen greift.	Kenya's tourism is under threat as an important source of foreign exchange, neighbouring countries fear that the crisis will cross their borders.
Wir fordern die Parteien auf, keine Gewaltaktionen zu unterstützen und sich sowohl als Regierungs- als auch Oppositionsparteien gegen jeden Terror zu wenden, die Verfassungsreform mit ihren Möglichkeiten für Meinungsfreiheit umzusetzen, um freie Wahlen vorzubereiten.	We appeal to the parties, whether they be in Government or Opposition, not to support any kind of violence, but to turn against any form of terrorism, to enable constitutional reform with the possibility for freedom of expression, and to prepare for free elections.
Es geht schließlich um ihr eigenes Volk.	This concerns their own race, after all.
Es geht um ihre eigenen Menschen, ihre eigenen Familien.	It concerns their own people and their own families.
Die Korruption muß bekämpft werden, und auch ich möchte mich der Frage anschließen: Kommission und Rat sollten weit mehr von ihren Möglichkeiten Gebrauch machen, den Artikel 5 des Lomé-Vertrags anzuwenden, um den Verletzungen der Menschenrechte zugunsten der Bevölkerung ein Ende zu setzen.	Corruption must be combatted and I, too, should like to end with the proposal: the Commission and the Council should make much more use of their opportunity to use article 5 of the Lomé Convention in the ending of human rights abuses on behalf of the population.
Auch Kenia wird ein Beispiel dafür sein, wie ernst wir unsere eigenen Menschenrechtsklauseln, die wir in den Verträgen durchsetzen, eigentlich nehmen und wie wirksam wir sie durchsetzen können.	Kenya will be another example of how seriously we take our own human rights clauses, which we insist on having in agreements, and how effectively we are able to enforce them.
Kenia ist ein großes afrikanisches Land; es hat in der Vergangenheit eine bedeutende Rolle, auch eine friedliche Rolle gespielt und könnte sie auch wieder spielen, falls es gelingt, Ordnung, Demokratie und Recht wiederherzustellen.	Kenya is a great African country. It has played an important role in the past, a peaceful role as well, and it could play this role again, if it should be successful in restoring public order, democracy and the rule of law.
Ich meine, wir können nicht genug versuchen, auf diese Länder einzuwirken, denn wir haben das Beispiel gehabt, daß wir in der Lage sind, dies zu können.	I think we cannot do enough to try and influence these countries, because we have seen that we are in a position to do so.
Wir müssen also diejenigen unterstützen, die bereit sind, Frieden und Ordnung wiederherzustellen.	We must support, therefore, all those who are prepared to restore peace and public order.
