Herr Präsident! Vier Jahre Regierung Karamanlis hat ...	Mr President, after four years of the Karamanlis government ...
(Unruhe).	(Uproar).
Nein, nein, die Strukturprobleme von Griechenland sind älter.	No, the structural problems in Greece go back further than that.
Hier in diesem Parlament ist im Jahre 2000 diskutiert worden, ob wir Griechenland nachträglich in die Eurozone aufnehmen.	In 2000, this Parliament debated whether Greece should join the euro area.
Es waren Sozialdemokraten, die deutsche Bundesregierung, die das verlangt hat.	The social-democrats, the German Government, had been calling for this.
Hier gab es mit Eurer Hilfe eine Zweidrittelmehrheit für die nachträgliche Aufnahme von Griechenland.	With your help there was a two-thirds majority in Parliament in favour of Greece joining the euro area.
Das ist die Wahrheit. Das hat doch mit nationalistisch nichts zu tun!	That is a fact and it has nothing to do with nationalism.
Ich darf dem Kollegen Schulz noch gerade eine Antwort auf seine Zwischenfrage geben, zur Verschuldung von Deutschland und der Spaniens.	I would like to answer the question from Mr Schulz about debts in Germany and in Spain.
Natürlich ist die öffentliche Verschuldung Spaniens niedriger als die von Deutschland.	Of course, Spain's national debt level is lower than that of Germany.
Spanien hat keine Wiedervereinigung bewältigen müssen.	Spain did not have to finance a reunification process.
Aber die spanische Regierung Zapatero hat andere Probleme, sie hat 6 Millionen Menschen ins Land gelassen, davon 2 Millionen die spanische Staatsbürgerschaft gegeben, und jetzt haben sie über 20 % Arbeitslosigkeit.	However, the Zapatero government in Spain has other problems. It has allowed 6 million people into the country and given 2 million of them Spanish citizenship and now unemployment is running at over 20%.
Das ist das Strukturproblem, und das hat einen Namen: Zapatero.	This is a structural problem and it is caused by one person: Mr Zapatero.
