Herr Präsident! Herr Ministerpräsident!	Mr President, Mr Orbán, I agree with you on three points.
Ich stimme in drei Punkten mit Ihnen überein.	The first is the Croatia question.
Erstens in der Kroatien-Frage, da sind wir auf demselben Weg, und da hoffen wir, gemeinsam mit Ihrem Außenminister zu einer Lösung zu kommen.	We are taking the same approach and we hope to find a solution together with your foreign minister.
Zweitens in der Frage der Wichtigkeit der Integration der Roma und drittens in der europäischen Bedeutung der ungarischen Revolution.	The second concerns the importance of integrating the Roma and the third is the European significance of the Hungarian revolution.
Ich komme aus Österreich, bin nahe der ungarischen Grenze geboren, ich habe Sie - allerdings von der besseren Seite - miterlebt.	I come from Austria and I was born close to the Hungarian border. I was aware of what was going on, admittedly from the better side of that border.
Ich habe zwei Mitschüler bekommen, die ich dann in Deutsch unterrichtet habe.	I was assigned to teach two of my classmates German.
Ich weiß um die Bedeutung.	I know all about the significance of the revolution.
Aber das war doch eine Revolution gegen den Machtanspruch, gegen den Monopolanspruch der Macht.	However, it was a revolution against the claim to power, against the monopoly of power.
Das war eine Revolution für die Freiheit, auch für die Medienfreiheit!	Its aim was to bring about freedom, including freedom of the press.
Herr Ministerpräsident, überlegen Sie noch einmal, ob dieses Gesetz wirklich in Übereinstimmung mit dem Sinn, dem Geist und den Zielen der ungarischen Revolution ist.	Mr Orbán, please think again about whether this law is really in accordance with the meaning, the spirit and the aims of the Hungarian revolution.
Wenn Sie das mit diesen Zielen konfrontieren, werden Sie zu einem besseren Gesetz kommen.	When you compare it with these aims, you will be able to draw up a better law.
Und daher bitte ich Sie noch einmal, von sich aus zu überlegen, wie Sie ein besseres Mediengesetz, das der ungarischen Revolution und dem Geist dieser Revolution entspricht, verfassen können.	Therefore, I am calling on you once again to consider for yourself how you can draft a better media law, which is in line with the Hungarian revolution and the spirit of that revolution.
(Beifall)	(Applause)
