Herr Präsident, liebe Frau Vizepräsidentin, liebe Kolleginnen und Kollegen!	Mr President, Madam Vice-President, ladies and gentlemen, we need to get one thing straight here.
Eines muss hier geradegerückt werden: Diese These, dass die Gemeinschaft Vertragsrecht bricht, ist einfach unsinnig!	This hypothesis, that the Community is breaking Treaty law is simply nonsense.
Das Vertragsrecht sieht Anpassungen vor, und es wird hier vorgeschlagen, in einem einzigen Punkt das Recht anzupassen.	Treaty law makes provision for adjustment and this proposal adjusts just one point of the law.
Hier geht es also gar nicht um Vertragsbruch.	So it is not a question of breaking Treaty law.
Wenn die freiheitliche Abgeordnete hier das Klagelied anstimmt, wir würden die Umwelt nicht richtig behandeln, und sie fordert Umweltschutz ein, dann stelle ich die Frage an diese österreichische Kollegin: Wann stellt Ihr das Geld bereit, den Brenner-Basistunnel zu bauen?	The non-attached member is moaning that we are not treating the environment properly and is calling for environmental protection. Well my question to my fellow Austrian member is this: when will you stump up the money for the Brenner base tunnel?
Dann tut Ihr etwas für den Umweltschutz!	Then you would be doing something for environmental protection.
Wir sind nämlich längst zu spät in der Umsetzung des Brenner-Basistunnels.	We are, in fact, taking far too long about implementing the Brenner base tunnel.
Das ist die einzige wirkliche Lösung für den Alpentransit.	That is the only real solution to the problem of transit traffic in the Alps.
Sie sollten hier keine großen Sprüche klopfen, Frau Kollegin, sondern die Planung des Brenner-Basistunnels voranbringen und das Geld bereitstellen!	Instead of bandying fine words, Madam, you would do well to push ahead with plans for the base tunnel and stump up the money.
Das wäre Ihre Aufgabe in einer Regierung, in der Sie vertreten sind!	That would be your job in a government in which you are represented.
Wir brauchen keine Legendenbildung!	We do not need vox pops!
Der Kollege Stockmann hat so viel Richtiges gesagt, nämlich dass das Hauptziel, die Reduzierung der NOx-Emissionen, tatsächlich fast erreicht ist und dass die 108 %-Klausel unverhältnismäßig und ungenau ist.	Mr Stockmann made a great number of valid points, namely that the main objective, to reduce NOx emissions, has in fact almost been achieved and that the 108% clause is disproportionate and inaccurate.
Herr Stockmann, stimmen Sie morgen mit uns für den Kommissionsvorschlag, dann erreichen Sie genau das, was Sie erreichen wollen!	Mr Stockmann, vote with us tomorrow in favour of the Commission proposal and you will achieve exactly what you want to achieve.
Ich kann ja verstehen, dass Sie Ihrem österreichischen Berichterstatter nicht in den Rücken fallen wollen, aber überlegen Sie sich, wie Sie morgen abstimmen werden.	I can understand that you do not want to stab your Austrian rapporteur in the back, but consider carefully how you intend to vote tomorrow.
Stimmen Sie für den Vorschlag der Kommission!	Vote in favour of the Commission proposal.
Noch zwei kurze Bemerkungen.	Just two more brief comments.
Wenn man die Klausel weiter aufrechterhalten würde, würde das nur dazu führen, dass nicht das real zu transportierende Transportvolumen sich verändert, sondern dass Transitfahrten, die nicht mehr möglich sind, ersetzt werden durch eine Fahrt mit einem Unternehmer rein nach Österreich, umladen, und mit einem anderen Unternehmer raus aus Österreich.	If we maintain this clause, there will be no change in real freight volumes; instead the transit journeys which are no longer possible will be replaced by a journey using one haulier into Austria, transhipment and a journey using another haulier out of Austria.
Das heißt, man würde den Transit splitten, man würde mehr Abgase haben, man würde mehr Kosten für den Verbraucher haben - das ist nicht die Lösung!	In other words, transit would be split, we would have more exhaust emissions and more costs to consumers. That is not the solution.
Die Lösung ist der Bau des Brenner-Basistunnels, um langfristig den Transport der Güter von der Straße auf die Schiene zu bringen.	The solution is to build the Brenner base tunnel so that we can shift freight from the roads to the railways in the long term.
Dafür müssen wir kämpfen!	That is what we should be fighting for.
