Herr Präsident, verehrte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, unfortunately I have to put another question.
Ich muß leider nochmal nachfragen: Sowohl Herrn Bowe als auch mir war wichtig, Frau Kommissarin, wie Sie zur Haftung stehen.	It is important both to Mr Bowe and to myself to know your position, Commissioner, on liability.
Nun haben Sie aber zu den Änderungsanträgen Nr. 28 und 30 wenig gesagt.	You said very little on Amendments Nos 28 and 30.
Sie haben gesagt, Sie stimmen sowohl mir als auch Herrn Bowe zu, aber auch Frau Heinisch.	You said you agree with both me and Mr Bowe, but also with Mrs Heinisch.
Das ist ein großer Widerspruch.	That is a major contradiction.
Wir hatten Sie explizit gefragt: Wie stehen Sie dazu, daß für mehr Eigenverantwortung in der Wissenschaft gesorgt wird?	We had asked you specifically whether you believe there should be more selfresponsibility in relation to this science?
Es müßte bedeuten, daß die Haftung übernommen wird.	That would mean assuming liability.
Alles andere, Frau Kommissarin, wäre eine indirekte Subventionierung.	Anything else, Commissioner, would mean indirect subsidies.
Dazu möchte ich auch Ihre Aussage haben.	I would like your position on that too.
Letzter Punkt: Ich kann es nicht verstehen, wenn Sie sagen, der Zugang zu Transparenz und Information würde ein interinstitutionelles agreement verletzen.	Last point: I cannot understand how you can say that transparency and access to information would infringe an interinstitutional agreement.
Es gibt die Umweltinformationsrichtlinie, und Sie sind verpflichtet, dieser Umweltinformationsrichtlinie Rechnung zu tragen.	We have the environmental information directive and you are bound to take account of it.
Ich würde Sie also wirklich dringend bitten, auf diese beiden Fragen einzugehen.	So I really would urgently ask you to answer these two questions.
Sie sind wirklich elementar, und da steht auch die Glaubwürdigkeit der Gentechnik auf dem Spiel.	They are quite elementary and the credibility of biotechnology is at stake here.
