Vielen Dank, Herr Präsident!	Thank you, Mr President.
Die technische Qualität der europäischen Hymne heute morgen war erschreckend schlecht.	The technical quality of the European anthem this morning was appalling.
Wir müssen dafür sorgen, daß es dem Projekt Europa nicht so geht wie der Hymne.	We must ensure that the European project does not suffer the same fate as our anthem.
Wir brauchen neuen Schwung.	We need to enliven our act.
Wir haben heute zwar guten Grund, vierzig Jahre Römische Verträge zu feiern. Sie haben einem großen Teil Europas und den Bürgern dort Frieden und zumindest relativen Wohlstand gebracht.	Although we have good reason today to celebrate forty years of the Treaty of Rome, which have brought peace and at least relative prosperity to a large part of Europe and to the people there, we also have reason to worry about the future of Europe.
Wir haben aber auch Grund zur Sorge um die Zukunft Europas. Die wichtigsten Themen, bei denen wir den derzeitigen Verhandlungsstand der Regierungskonferenz als völlig unzureichend empfinden, sind heute schon mehrfach angesprochen worden.	The main subjects on which we consider the state of negotiations at the Intergovernmental Conference to be absolutely unsatisfactory have been referred to on several occasions today.
Ohne echte institutionelle Reform stellen wir das Projekt Europa in Frage.	Without genuine institutional reform we shall be placing the European project in jeopardy.
Die Mehrheitsentscheidung muß zur Regel werden, und europäische Gesetze ohne volle Mitentscheidung durch das Europäische Parlament darf es in Zukunft nicht mehr geben.	Majority voting must become the norm, and in future there must be no more European legislation without the exercise of full codecision rights by the European Parliament.
Wenn es in diesen beiden Fragen in den verbleibenden drei Monaten keinen Durchbruch gibt, dann gibt es keine erfolgreiche Regierungskonferenz.	If no breakthrough is achieved on either of these two questions during the remaining three months, the Intergovernmental Conference will not have been a success.
Damit ist auch der Start der Beitrittsverhandlungen mit den Ländern Mittel- und Osteuropas in Frage gestellt.	This in turn will put the start of accession talks with the countries of Central and Eastern Europe at risk.
Ich bin als Österreicher uneingeschränkt dafür, daß es ein gemeinsames Europa auch für unsere Nachbarn im Osten gibt.	As an Austrian, I firmly believe that there is a place in this united Europe for our Eastern neighbours too.
Aber wir müssen dafür eine Union errichten, die dazu geeignet und dazu bereit ist, diese neuen Mitgliedsländer auch tatsächlich aufzunehmen.	But to that end we must create a Union that is able and willing to accommodate these new member countries.
Wir dürfen nicht das, was in vierzig Jahren erreicht wurde, in Frage stellen.	We must not jeopardize the work of the past forty years.
Wir müssen in den verbleibenden Monaten wirklich alles tun, um vor allem in den wichtigen institutionellen Fragen, vor denen der Rat bisher massiv zurückgescheut ist, zu vernünftigen und tragfähigen Lösungen zu kommen.	In the remaining months we really must do all that is humanly possible to work out sound and sustainable solutions, especially to the major institutional problems, which the Council has so far been desperately anxious to avoid.
