Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen.
Die heutige Debatte dreht sich um die ASEANOrganisation ganz allgemein, um das relativ neue Mitglied Vietnam und das jüngst in die Runde aufgenommene Laos sowie um Kambodscha, dessen ASEAN-Mitgliedschaft wegen des gewaltsamen Machtwechsels im vergangenen Juli vorerst ausgesetzt wurde.	Today's debate is concerned with ASEAN in general, with its relatively new member Vietnam, and with Laos which has recently been included in the membership process, as well as with Cambodia, whose ASEAN membership had to be deferred for the time being because of the violent change of government last July.
Ein weiteres Neumitglied der ASEAN, nämlich Birma, ist heute nicht Gegenstand der Beratung, kann in der Betrachtung aber nicht außen vor bleiben.	Another new ASEAN member, Burma, is not the subject of discussion today, but cannot be totally ignored.
ASEAN ist ein interasiatischer Zusammenschluß, der - wie Herr Hindley es in seinem Bericht zutreffend beschreibt - als Bollwerk gegen den Kommunismus gedacht war.	ASEAN is an inter-Asian association which, as Mr Hindley accurately writes in his report, was designed as a bulwark against communism.
Mit Laos und Vietnam gehören heute jedoch zwei allen wirtschaftlichen Liberalisierungen zum Trotz politisch immer noch kommunistisch regierte Länder zur Tigerrunde.	However, with Laos and Vietnam, the 'tiger club' now includes two countries which despite all their economic liberalization, politically speaking still have communist governments.
Die politische Interessenlage hat sich nämlich seit Auflösung der Blöcke verändert.	The political situation has changed since the dissolution of the old blocs.
Das Bündnis ist heute von geostrategischer Bedeutung gegenüber dem chinesischen Riesen im Norden.	This alliance now has a geographically strategic significance in the face of the Chinese giant to the north.
Bis vor kurzem hätten die meisten der ASEAN-Mitglieder - namentlich Malaysia, Singapur, Thailand und bedingt auch Indonesien - als ungebrochene Erfolgsstory gelten können.	Until recently, most of ASEAN's members - especially Malaysia, Singapore, Thailand and to some extent Indonesia - were regarded as a never ending success story.
Zweistellige Wachstumsraten ließen Hochhäuser wie Pilze aus dem Boden schießen, Produktion und Exportwirtschaft boomten beispiellos, auch Europa bekam die aggressive Handelskonkurrenz zu spüren, hatte und hat mit Arbeitsplatzverlagerungen zu kämpfen.	With two-figure growth rates, high-rise buildings were shooting up like mushrooms, output and exports were booming like never before, and Europe was starting to feel the aggressive competition in trade and had to - and is still having to - contend with job relocation.
Gleichzeitig wurden die ASEAN-Länder als wichtiger Markt erkannt, der strategisch besetzt werden muß, so daß die Europäische Union der zweitgrößte Investor in dieser Region wurde.	At the same time, the ASEAN countries were recognised as an important market that had to be strategically addressed, so that the European Union became the second largest investor in this region.
Das Kooperationsabkommen mit ASEAN beruht auf dem Stand der Beziehungen von 1980.	The cooperation agreement with ASEAN is based on relations as they were in 1980.
Eine Modernisierung scheint daher zu Recht längst überfällig.	So it can rightly be said that modernization is long overdue.
Das scheint mir aber einfacher gesagt als getan.	But that is easier said than done.
So bleibt es doch wohl erst einmal bei der Übung, das vorhandene Abkommen auf Neumitglieder auszudehnen.	Extending the existing agreement to the new members is really just a matter of getting in training for that.
Bei Brunei, dem wohlhabenden Ölsultanat, war das kein Problem.	There was no problem with Brunei, a wealthy oil sultanate.
Auch bei Vietnam handelt es sich mehr oder weniger um eine Formsache, wenn auch mit einem Haken.	With Vietnam as well it is almost a formality, even if it is a bit tricky.
Die Menschenrechtsfrage ist ja angesprochen.	We have already mentioned the human rights issue.
Wer je in einem ASEAN-Land die Augen aufgehalten hat, muß feststellen, Kinderarbeit, sexuelle Ausbeutung von Kindern und Frauen, Rechtlosigkeit von Arbeitskräften, Unterdrückung von ethnischen und religiösen Minderheiten sind vielerorts an der Tagesordnung.	Anyone who has ever set eyes on an ASEAN country knows that child labour, the sexual exploitation of women and children, the absence of workers' rights, and the oppression of ethnic and religious minorities are the order of the day in many places.
Arbeitsbedingungen in Malaysia und Indonesien und anderswo geben steten Anlaß, die Einhaltung der Normen der internationalen Arbeitsorganisationen und die Verständigung auf eine Sozialklausel im Rahmen der WTO einzufordern, was die ASEAN-Staaten aber wenig anficht.	Working conditions in Malaysia and Indonesia and elsewhere constantly give rise to calls for the observance of the standards set by international labour organisations and for agreement on a social clause in the context of the WTO, but this scarcely bothers the ASEAN countries.
Sie berufen sich auf die asiatischen Werte, die es zu respektieren gälte.	They refer to Asian values, which they say should be respected.
Malaysia reklamiert sogar eine Änderung der Menschenrechtsdefinition in der UN-Konvention von 1950.	Malaysia has even called for an amendment of the definition of human rights in the 1950 UN convention.
Allerdings haben die Tiger in der letzten Zeit herbe Rückschläge erlitten.	However, more recently the tigers have suffered some severe setbacks.
Währungsturbulenzen, Wirtschaftseinbrüche, Umweltkatastrophen gerade auch der letzten Wochen und Tage machen deutlich, Raubbau an Menschen und Umwelt und eine Wirtschaftsentwicklung auf Pump ohne solides Fundament rächen sich dramatisch.	Turbulence on the currency markets, economic collapse, and environmental disasters, especially in recent weeks, have made it clear that there is a penalty to pay for over-exploitation of people and of the environment, and economic development 'on tick' without a solid foundation.
Damit bekommt die Forderung nach einer neuen Dynamik in den Beziehungen zu ASEAN eine neue Dimension.	This gives the call for a new dynamic in relations with ASEAN a new dimension.
Für die Europäische Union bedeutet das einen Drahtseilakt zwischen den politischen und ökonomischen Systemen, zwischen Kooperation, Duldung und Ablehnung, wenn Toleranzgrenzen überschritten sind.	For the European Union, this means a balancing act between political and economic systems, and between cooperation, toleration and rejection, if tolerance levels are exceeded.
So darf es derzeit kein Übereinkommen mit dem neuen Machthaber Hun Sen von Kambodscha geben, der buchstäblich über Leichen ging, um die Macht an sich zu reißen, und es darf auch keine Unterstützung des menschenverachtenden Militärregimes von Birma geben, das sich aus Drogenhandel und Schmuggel finanziert und somit einen unheilvollen Einfluß auf die Nachbarländer hat, die Armut zum Opiumanbau treibt.	So at present there can be no question of an agreement with the new ruler of Cambodia, Hun Sen, who literally walked over dead bodies to achieve power, nor can there be any question of supporting the military regime in Burma, which shows contempt for humanity, finances itself from the drug trade and from smuggling, and which accordingly has an unhealthy influence on its neighbouring countries, which out of poverty are driven to grow opium.
Ich denke, daß es aber wichtig ist, gerade am Beispiel Vietnam und Laos den entwicklungspolitischen Aspekt zu betonen und herauszustellen, daß es um eine nachhaltige Entwicklung geht.	However, I believe that it is important, particularly in the case of Vietnam and Laos, to stress the development policy side, and to emphasise the need for sustainable development.
Dafür zu sorgen, ist die Aufgabe der Europäischen Union.	It is the job of the European Union to take care of this.
