Herr Präsident, geschätzte Kolleginnen und Kollegen! Ich danke der Frau Berichterstatterin.	Mr President, ladies and gentlemen, I would like to thank the rapporteur.
Effiziente Lebensmittelkennzeichnung ist in der Tat sehr wichtig.	Effective food labelling is indeed very important.
Der Verbraucher muss wissen, was er isst, und er muss das auch in der kurzen Zeit erfahren, die ihm im Supermarkt für einen Einkauf zur Verfügung steht.	Consumers need to know what they are eating, and they need to find that out in the brief time that they are in the supermarket doing their shopping.
Die Information muss aber so sein, dass sie nicht nur ein ausgebildeter Lebensmittelingenieur versteht.	However, the information must be provided in such a way that you do not need a degree in food science to understand it.
Unsere Zielgruppe für die Information ist ja eine ganz andere, nicht jene, die sich ohnehin schon mit der Gesundheit von Lebensmitteln hervorragend auskennt.	Our target group for this information is quite different, after all - it is not those who already have an excellent knowledge of how healthy different foods are.
Einen Bereich erachte ich als ganz besonders wichtig, und zwar den Bereich der handwerklich hergestellten Produkte und besonders der direkt vom Bauern verarbeiteten und vermarkteten Produkte.	I consider one area to be particularly important, and that is the area of traditionally produced products, particularly products processed and marketed directly by the farmer.
Diese Produkte sind oft im Inhalt nicht standardisiert - denken wir zum Beispiel an Marmeladen oder Säfte -, und Angaben wie ein genauer Zuckergehalt oder zum Beispiel eine genaue Angabe von Brennwerten sind schlichtweg nicht möglich.	The contents of these products are often not standardised - I am thinking, for example, of jams and juices - and it is simply not possible to state information such as the precise sugar content or precise calorific values.
Wir haben in den letzten Jahren viel gearbeitet, um kurze Wege vom Bauern zum Konsumenten zu schaffen, und Dinge wie Hofleben, Bauernmärkte und anderes sind heute für das Image der Bauern und der Landwirtschaft insgesamt sehr wichtig.	In recent years, we have done a lot of work to reduce the distance travelled between farmer and consumer, and today, factors such as life on the farm, farmers' markets, and so on are very important overall for the image of farmers and agriculture.
Im Rahmen der ländlichen Entwicklung haben wir außerdem europäisches Geld ausgegeben, um solche Dinge auch zu fördern.	We have also spent European money on promoting such things as part of our rural development programme.
Bei diesem Verkauf gibt es außerdem einen direkten Bezug zwischen Bauern und dem Käufer, und das ist oft wichtiger als Angaben auf den Etiketten.	Moreover, in such sales, there is often a direct relationship between the farmer and the purchaser, and that is often more important than information on labels.
Deswegen bitte ich Sie, geschätzte Kollegen, jene Änderungsanträge zu unterstützen, die darauf abzielen, für diese Gruppe von Verkäufen eine sinnvolle Lösung zu finden.	Consequently, I urge you, ladies and gentlemen, to support those amendments that are aimed at finding a sensible solution for this category of sales.
