Frau Präsidentin! Entschuldigen Sie, dass ich vorhin zu spät gekommen bin.	Madam President, I do apologise for my late arrival.
Das Haus hat manchmal lange Wege und sehr langsame Fahrstühle.	There are some very long distances to walk in this building and the lifts can be very slow sometimes.
Die Frage, über die wir heute diskutieren und morgen abstimmen, ist nicht unbedingt eine Frage von links oder rechts - diese Debatten haben wir in diesem Haus natürlich auch -, sondern wir haben hier eine Streitfrage um die Instrumente zur Erreichung eines Ziels.	The matter we are discussing today and will vote on tomorrow is not necessarily a question of left or right - although it is true that we also have that type of debate in this Chamber - but rather a disputed question about what instruments will achieve our goal.
Beim Ziel sind wir uns einig - das hat die Kollegin Niebler gerade unterstrichen: Wir wollen mehr Wettbewerb auf dem europäischen Markt, wir wollen transparentere Preise, wir wollen überschaubare Preise.	We are agreed on the goal, and Mrs Niebler has just underlined it: we want more competition on the European market; we want prices to be more transparent; we want pricing that is easy to understand.
Die Instrumente dazu sind jedoch sehr unterschiedlich.	The instruments to achieve this vary greatly, however.
Ich gehöre zu denen, die davon ausgehen, dass die Option eines dritten Weges auch ein Instrument sein kann.	I am among those who proceed on the basis that the option of finding a third way can also be an instrument.
Wir haben diese Vorschläge hier eingebracht und ausdrücklich immer wieder betont, dass wir nicht nur den dritten Weg, den ursprünglichen Vorschlag des Rates, hier auf den Weg gebracht haben, sondern wir haben zusätzliche Regulierungskomponenten eingebracht, weil uns das, was als dritter Weg vom Rat kam, auch ein bisschen zu wenig war.	We have included these suggestions here and emphasised repeatedly that this has not only initiated the third way, the Council's original suggestion, but that we have also introduced additional regulatory components because the third way that came to us from the Council was not enough for us.
Unter diesem Gesichtspunkt sollten wir noch einmal darüber reden und in uns gehen und diesen zweiten und dritten Weg als zusätzliche Option gestatten.	From this angle, we should talk about it again, take stock of ourselves and allow this second and third way as an additional option.
Wichtig ist vielmehr, dass wir in Europa eine einheitliche Regulierung bekommen, dass die Regulierer in den Mitgliedstaaten einheitliche Kompetenzen und Unabhängigkeit bekommen, um das durchzusetzen, was wir hier beschließen, denn sie sind es schlussendlich, die vor Ort reagieren müssen.	What is even more important is that we in Europe achieve uniform regulations, and that the regulatory authorities in the Member States are given consistent competences and independence to implement what we decide here, because in the end, they are the ones who have to respond on the ground.
Dass die Kartellaufsicht und die Wettbewerbsaufsicht durch die Kommission funktioniert, haben wir ja an zwei prägnanten Beispielen der letzten Wochen gesehen, obwohl das Timing einen manchmal ein bisschen grübeln lässt.	Recent weeks have given us two succinct examples of the Commission's function of overseeing cartels and competition, although the timing does allow pause for thought.
Aber ein Unternehmen, das sich kartellrechtlich missbräuchlich verhält, hat eine Strafe verdient - Punkt, aus.	However, a company that violates antitrust law deserves to be punished; that is all there is to it.
Da mache ich keine Abstriche.	I do not make any concessions here.
Aber wir sollten uns darüber unterhalten, ob das Instrument, das wir uns und den Regulierern dazu an die Hand geben, wirklich das ownership unbundling sein muss oder ob wir etwas mehr Flexibilität anbieten sollten.	Nevertheless, we should discuss whether ownership unbundling is really the instrument we should be equipping ourselves and the regulators with, or whether we should offer more flexibility.
Ich hoffe, dass die Abstimmung morgen so ausgeht, dass wir doch noch einen Kompromiss finden.	I hope that tomorrow's vote will be such that we still achieve a compromise.
Ansonsten werden wir sicherlich mit dem Rat einen Kompromiss suchen müssen und ihn auch finden.	Otherwise, we will definitely have to work with the Council to seek and find a compromise.
Vielen Dank und nochmals Entschuldigung für meine Verspätung.	Thank you very much and apologies again for being late.
