Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, we had two reasons for asking these questions.
Wir haben diese Anfragen gestellt, einmal um eine Klärung zu erhalten, und zum zweiten aber auch, um Bewegung in die ganze Angelegenheit zu bekommen.	First, to obtain some clarification, and second to get things moving in this whole field.
Klärung, weil es natürlich für uns Abgeordnete - und das ist ja jetzt auch deutlich geworden - auch durch die Beiträge des Kommissars Solbes und des Ratsvertreters nicht klar wurde, warum die Rechtsgrundlage in Artikel 63 (4) geändert wurde.	Clarification, because we Members of Parliament soon realised that the contributions made by Commissioner Solbes and the representative of the Council did not make it clear why the legal basis has been changed in Article 63(4).
Es ist nur festgestellt worden, aber es wurde keine Begründung gegeben.	It was simply stated, without any justification being given.
Wir haben den Rat seit Tampere ernst genommen, als Sie damals verkündet haben, dass Drittstaatler, d. h. die Bürger, die in der EU arbeiten und leben, die sich bei uns rechtmäßig aufhalten und die nicht aus den 15 Mitgliedstaaten stammen, die gleichen Rahmenbedingungen bekommen sollten wie die EU-Bürger.	Since Tampere, we have taken very seriously the Council's announcement that the legal status of third-country nationals, that is to say citizens who live and work in the EU, who are legally resident here and do not come from one of the 15 Member States, should be approximated to that of Member States' nationals.
Die Institutionen Europas wollten mehr Klarheit und Transparenz, und zwar nicht erst nach dem Konvent.	Europe's institutions want more clarity and transparency without waiting for the Convention.
Diese neuen Vorschläge bewirken allerdings mehr Verwirrung als vorher, denn wenn wir mit zwei unterschiedlichen Rechtsgrundlagen arbeiten müssen, ist das sehr verwirrend.	However, these new proposals are creating more confusion than before, because, if we have to deal with two different legal bases, that is certainly very confusing.
Es ist auch ärgerlich, weil sie die Mitentscheidung des Parlaments ausschalten.	It is also unsatisfactory because it rules out codecision by Parliament.
Welch eine kurzsichtige Strategie der Kommission!	What a short-sighted strategy on the part of the Commission!
Sie wissen, dass wir bisher immer auf Ihrer Seite gestanden haben, bei Modernisierung, bei Veränderung, bei Verbesserung für die Beschäftigten und die Arbeitnehmer in Europa.	You know that up to now we have always been on your side when it comes to modernisation, to changing and improving things for Europe's employees, Europe's workers.
Wenn Sie jetzt das Parlament ausschalten, ist das meiner Ansicht nach nicht nur kurzsichtig, sondern auch eine gefährliche Strategie.	I think it would be not only very short-sighted but also a dangerous strategy to exclude Parliament at this stage.
Es könnte nämlich möglich sein, dass Großbritannien, Irland und Dänemark ein opting out bei der Verordnung 1408 beantragen, und das wäre in der Tat fatal, weil niemand in diesem Hause ein neues opting out in der Sozialpolitik begrüßen könnte.	It is of course possible for the United Kingdom, Ireland and Denmark to apply to opt out under Regulation 1408, and that would really be disastrous, because no one in this House could welcome a further social policy opt-out.
Es würde ein Flickenteppich in der Sozialpolitik bedeuten und sicher nicht das Vertrauen von Arbeitnehmerinnen und Arbeitnehmern bestätigen und wecken, das sie eigentlich in die europäischen Institutionen bekommen sollten.	The result would be a patchwork quilt of a social policy which would certain not confirm and win the trust that employees ought to have in Europe's institutions.
Wir sind doch alle froh darüber, dass Großbritannien das opting out in der Sozialpolitik eingestellt hat.	So we are all delighted that the United Kingdom has stopped opting out of social policy.
Wollen wir es etwa auf diesem Wege wieder einführen?	Is this an attempt to reintroduce that?
Der zweite Grund für unsere Anfrage war natürlich auch, Bewegung in die Reformpläne zu bringen.	The second reason for our question was of course to get the plans for reform moving.
Ich erinnere mich, dass eine Modernisierung dieser Richtlinie schon 1992 in Edinburgh versprochen wurde.	I remember that an undertaking to update this directive was given in Edinburgh back in 1992.
Wohlgemerkt, eine Modernisierung.	Please note - an update.
Ich möchte vielleicht für die Zuhörer noch einmal daran erinnern, dass die Verordnung 1408 keine Harmonisierung der Sozialsysteme bedeutet, sondern eine Koordinierung, sozusagen die Rahmenbedingungen, um die Bürgerinnen und Bürger zu ermutigen, zu unterstützen, ihre Mobilitätsmöglichkeiten in Europa zu nutzen.	I would like to remind you once again that Regulation 1408 does not involve harmonising social systems, but is about coordinating the framework conditions, as it were, in order to encourage and support our citizens in making use of their scope for mobility in Europe.
Alle paar Wochen gibt es neue Appelle von Rat und von Kommission an die Jugend, an die Arbeitnehmer, an die Bürger, diese Mobilität zu nutzen.	Every couple of weeks there are fresh appeals from the Council and the Commission to young people, to workers, to the public in general, to take advantage of this freedom of movement.
Aber die Rahmenbedingungen, ich will es hier zitieren, die bestehen aus einer sehr komplizierten und sperrigen Rechtsvorschrift.	However, I would like to say here that the framework conditions consist of some very complicated and unwieldy legislation.
In Deutschland würden wir sagen, dass es selbst für Eingeweihte ein Buch mit sieben Siegeln ist.	In Germany we would say that is a book with seven seals, a closed book if you like, even for the initiated.
Die zwölf Parameter, die uns jetzt vorliegen, sind nicht die qualitative Verbesserung, die wir uns eigentlich versprochen haben.	The 12 parameters that we now have before us do not add up to the qualitative improvement that we actually promised ourselves.
Ich teile natürlich die Kritik meiner Kolleginnen Lambert und Oomen-Ruijten, aber auch die Kritik, die Sie, Herr Solbes, im Namen der Kommission vorgetragen haben.	I naturally agree with the critical comments made by Mrs Lambert and Mrs Oomen-Ruijten, and also with the criticism that you expressed on behalf of the Commission, Mr Solbes.
Was ich noch vermisst habe, ist der Zeitrahmen.	The other point I should have mentioned was the time frame.
Wir hatten erwartet, dass die spanische Ratspräsidentschaft bis Juni einen ordentlichen, vernünftigen und effektiven Vorschlag vorlegt.	We had expected that the Spanish Presidency would have presented a methodical, reasonable and effective proposal by June.
