Herr Präsident!	(NI).
Der Berichterstatter sieht zu Recht, daß die Kommunikationspolitik der EU effizienter zu gestalten ist.	Mr President, the rapporteur correctly points out that the EU's information and communication policy should be made more efficient.
Aber was meint er damit?	But what does he mean by this?
Er zieht den Schluß, daß mit einer Effizienzsteigerung das negative Meinungsklima über die EU zu beheben wäre und damit der europäische Integrationsprozeß zu forcieren sei.	He comes to the conclusion that by increasing efficiency in this area we would be able to dispel the negative climate of opinion surrounding the EU, and consequently force the pace of European integration.
Ich teile diese Analyse nicht.	I do not share this view.
Nicht die verfehlte Informationspolitik ist es, die die Kluft zwischen den Bürgern Europas und den Institutionen stets vergrößert, sondern die unzureichenden Antworten auf die brennendsten Fragen Europas, beispielsweise die der 18 Millionen Arbeitslosen.	The widening gulf between the citizens of Europe and its institutions is not being caused by the inadequate information policy but by the unsatisfactory answers which have been given to Europe's most burning questions, such as that of the 18 million unemployed.
Während der Berichterstatter die Vielsprachigkeit der EU-Bürger hervorhebt, wird im Institutionellen Ausschuß bereits darüber diskutiert, ob Esperanto die zukünftige Einheitssprache Europas sein kann.	While the rapporteur stresses the multilingual talents of the people of Europe, the Committee on Institutional Affairs is already discussing the future adoption of Esperanto as a common European language.
Während der Berichterstatter die Wichtigkeit des bewegten Bildes hervorhebt, beantragen Abgeordnete die Entfernung der Kameras aus dem Plenarsaal.	While the rapporteur stresses the importance of the moving picture, Members of this House are proposing that the cameras be removed from the Chamber.
Während der Berichterstatter die Bedeutung verständlicher Rechtstexte unterstreicht, erklären Abgeordnete, daß es ihnen nicht möglich ist, die vorgelegten Verordnungstexte zur Agrarreform sprachlich zu verstehen.	While the rapporteur underlines the importance of intelligibility in the drawing up of legal documents, Members are declaring that they are unable to understand the language of the regulations which have been submitted on agricultural reform.
Der erhobene Anspruch wird der Wirklichkeit eben nicht gerecht, wie die Beispiele zeigen.	As these examples show, the claims which have been made simply do not live up to reality.
Nicht die Verpackung muß glänzen, sondern der Inhalt muß stimmen.	Pretty wrapping paper is not enough - the contents of the package must also be right.
Wenn sich die Kommunikationspolitik der Institutionen so versteht....	If the communication policy of the institutions is to be regarded...
(Der Präsident entzieht der Rednerin das Wort. )	(The President cut off the speaker)
