, Berichterstatter.	, rapporteur.
Herr Präsident! Der Rat verabschiedete im September 1994 die Richtlinie zur Bildung eines europäischen Betriebsrats.	Mr President, in September 1994 the Council adopted the Directive on the establishment of a European works council.
Die Umsetzung dieser Richtlinie ist Gegenstand eines Berichts der Kommission.	The transposition of this Directive is the subject of a Commission report.
Zu diesem Bericht der Kommission nimmt der vorliegende Bericht des Ausschusses für Beschäftigung Stellung.	The report submitted by the Committee on Employment and Social Affairs adopts a position on this Commission report.
Schon rein zahlenmäßig kann man von einer Erfolgsstory der europäischen Betriebsräte sprechen.	In terms of sheer numbers, we can already talk about the European works council as a success story.
Als die Richtlinie 1994 vom Parlament und vom Rat verabschiedet wurde, gab es ca. 30 freiwillige Vereinbarungen, die Information und Konsultation der Arbeitnehmer in europaweit operierenden Gesamtunternehmen und Konzernen regelten.	When the Directive was adopted by Parliament and the Council in 1994, there were approximately 30 voluntary agreements governing information and consultation in respect of the work forces of companies and groups of companies throughout Europe.
Inzwischen ist die Zahl auf über 650 gestiegen.	In the meantime, this number has risen to above 650.
Der Kommissionsbericht weist nach, dass die Richtlinie über den europäischen Betriebsrat die zentrale Triebkraft dieser Entwicklung war.	The Commission report demonstrates that the Directive on the European works council was the main driving force behind this development.
Bei der Einrichtung von europäischen Betriebsräten wird den Lösungen Vorrang eingeräumt, die auf Unternehmensebene quasi maßgeschneidert zwischen der Leitung und dem besonderen Verhandlungsorgan der Arbeitnehmer getroffen werden.	In establishing European works councils, the solutions, more or less made to measure and reached at company level between the management and the special employee negotiating body, are granted priority.
Auch hier gilt wie bei der Europa-AG die Formel Flexibilität, Verhandlungen, bei Scheitern der gesetzlichen Verhandlungen Mindeststandards, die bei der EBR-Richtlinie subsidiäre Vorschriften heißen.	As with the European limited liability company, here too the formula of flexibility, negotiations and minimum standards - applicable if negotiations have not reached a successful conclusion - applies.
Der Schock von Vilvoorde bei Renault in Brüssel zeigte erstmals, dass das Ziel der europäischen Betriebsräte nicht in allen Fällen erreicht wurde, nämlich Betriebsverlagerungen nicht in Form von Überfallkommandos durchzuführen, sondern erst nach rechtzeitiger Information und Konsultation der beteiligten Arbeitnehmer.	These are referred to as subsidiary requirements in the EWC Directive. The shocking events at Renault Vilvoorde in Brussels demonstrated for the first time that the aim of the European works councils had not always been achieved, whereby the relocation of production should not be effected in the form of a commando raid but only after the employees concerned have been informed and consulted in good time.
Aber so ist es halt, wo Licht ist, gibt es auch Schatten.	However, every light has its shadow.
Die Richtlinie enthält Schwachpunkte, der Ausschuss für soziale Angelegenheiten drängt auf eine Revision.	The directive has its weak points, and the Committee for Social Affairs is pressing for a revision.
Wir sagten nicht, sie solle bereits 1999 oder 2000 erfolgen, die Kommission nannte bei der Diskussion der Sozialagenda das Jahr 2002.	We did not say that this should have been undertaken as early as 1999 or 2000. In the discussion of the social agenda, the Commission specified the year 2002.
Unser Entschließungsantrag soll eine Diskussionsgrundlage mit Blick auf die Novellierung der europäischen Betriebsratsrichtlinie sein.	Our motion for a resolution is intended to form the basis for discussion with a view to the amendment of the EWC Directive.
Bei einer Reihe von Gesprächen, Anhörungen, Symposien hörte ich die Klage, dass in einigen schwerwiegenden Fällen - vor allem mit Blick auf die Notfallkonsultation -Unterrichtung und Anhörung nicht rechtzeitig erfolgt sind.	In a range of discussions, hearings and symposia, I have heard the complaint that, in some serious cases - especially in the case of emergency consultation - information and consultation have not been taking place in good time.
So bleiben die Verbesserungsvorschläge, die rechtzeitige Information und Konsultation besser ermöglichen sollen, das Hauptanliegen des Berichts, so dass die Ratschläge des europäischen Betriebsrats vor den Entscheidungen der Leitung noch gehört und auch berücksichtigt werden können.	Therefore, the proposed improvements, which aim to ensure that information and consultation take place in good time, remain the main focus of the report, the object being that advice from the European works council is listened to, and can also be taken into account, prior to decisions by the management.
Der Bericht spricht sich für ein verstärktes Konsultationsverfahren mit dem Ziel der Einigung aus.	The report is in favour of an enhanced consultation procedure with a view to reaching agreement.
Ich würde heute ergänzen: Ziel der Einigung über das weitere Verfahren.	Today I would like to add the words: with a view to reaching agreement 'on the further procedure' .
Ich sage nicht Pflicht zur Einigung, ich lehne allerdings wie schon in den Ausschusssitzungen ein Vetorecht des europäischen Betriebsrats nach dem Änderungsantrag 5, der heute eingereicht wurde, ab.	I am not saying that it shall be compulsory to reach agreement, though, as previously in the Committee meetings, I reject the right of veto of the European works council in accordance with Amendment No 5, which was submitted today.
Mein Bericht enthält die elegantere Lösung, die Frau Ghilardotti vorgeschlagen hat, gegebenenfalls eine zweite Runde der Sitzungen durchzuführen, wie sie auch die Richtlinie über die europäische Aktiengesellschaft vorsieht.	My report contains the more elegant solution, proposed by Mrs Ghilardotti, to hold, if necessary, a second round of meetings, as is also provided for by the Directive on the European limited liability company.
Ein breiteres Informations- und Anhörungsrecht des europäischen Betriebsrats ändert nicht eine wichtige Festlegung der Richtlinie, die in der Erwägung K des jetzigen Berichts auf Antrag von Herrn Bushill-Matthews formuliert wurde.	A broader right to information and consultation on the part of the European works council shall not affect an important stipulation of the directive, formulated in recital K of the present report at the request of Mr Bushill-Matthews.
Das Recht der Unternehmensleitung, direkt in Austausch mit der Belegschaft zu treten, bleibt ebenso unberührt wie ihr Recht, das Unternehmen zu leiten.	The management' s right to communicate directly with the workforce remains as unaffected as its right to manage the company.
Partnerschaft und Subsidiarität müssen auch nach der Novellierung den Inhalt der EBR-Richtlinie bestimmen.	Partnership and subsidiarity must also, according to the amendment, determine the contents of the EWC Directive.
Es sind Grundsätze der christlichen Soziallehre, die ja Anhänger in verschiedenen Parteien hat.	There are principles of Christian social doctrine which, of course, has supporters in different parties.
Auf Initiative des Europäischen Parlaments schreibt der Gesetzestext von 1994 einen im Geiste der Zusammenarbeit wirkenden EBR vor.	Based on the initiative of the European Parliament, the legislative text of 1994 established an EWC Directive calling for the spirit of cooperation.
Partnerschaft ist kein Einschläferungsmittel, Partnerschaft will eine klare Interessenvertretung, andererseits auch den Interessenausgleich in gemeinsamem Gespräch durch Information und Konsultation, das ist auch wirtschaftlich vorteilhaft.	Partnership is not a soporific measure. Partnership is intended to provide a clear representation of interests, and also a balancing of the interests of employee and employer by means of information and consultation, which is also advantageous from an economic point of view.
Fehlende Unterrichtung hat Unsicherheit, Misstrauen und am Ende nur Angst zur Folge, die zur Blockade führt.	The failure to provide information results in uncertainty, distrust and finally anxiety, which leads to blockades.
Rechtzeitige Information bedeutet Transparenz, die Vertrauen schafft...	Providing information in good time is a sign of transparency, which breeds trust...
(Der Präsident entzieht dem Redner das Wort.)	(The President cut the speaker off)
