Herr Bangemann! Ich kann Sie im Grunde genommen nicht so ganz verstehen.	Mr Bangemann, basically, I cannot fully understand what you are saying.
Manches verstehe ich ja, aber im April 1997 haben Sie in der FAZ geschrieben: Etikettierung bringt gar nichts, und da wird man natürlich wach.	There are things I do understand, but in April 1997 you wrote in the Frankfurter Allgemeine Zeitung that 'labelling contributes absolutely nothing' , and that of course rouses our curiosity.
Wir glauben, Etikettierung bringt sehr wohl was.	We believe that labelling definitely does contribute something.
Sie bringt dem Verbraucher etwas, und sie bringt der Industrie etwas, und das ist ja die Chance, die wir aufgreifen wollen.	It contributes something to the consumer and it contributes something to the industry, and that is the opportunity we want to take.
Nach den leidvollen Erfahrungen mit BSE sollten wir die Chance, die die Novelfood-Verordnung bringt, auch tatsächlich nutzen und ergreifen.	After the grim experiences of BSE, we should take the opportunity offered by the Novel Food Regulation and put it to good use.
Ich denke, daß heute abend deutlich geworden ist, daß wir nicht über den Inhalt der Richtlinie reden, sondern darüber, was wir mit diesem Inhalt gemacht haben.	I think it has become clear here tonight that we are talking not about the content of the directive but about what we have made of that content.
Wenn Sie sagen, sie ist erst im Mai in Kraft getreten, dann sage ich, de jure stimmt das.	You say that it only came into force in May, and in legal terms that is correct.
Ich bin bekanntlich kein Jurist, aber Sie wußten natürlich im Januar schon, daß das Ding auf Sie zukommt und wie es aussieht.	I am no lawyer, as you know, but you knew as long ago as January that this business was coming and what form it took.
Wir hätten ganz gerne gesehen, daß Sie Anstrengungen unternehmen, den 15 Mitgliedsländern dieser Union klarzumachen, in welche Richtung es geht.	We would have liked to see you making some effort to make it clear to the 15 Member States of this Union in which direction they were supposed to be heading.
Daß da noch keine endgültigen Papiere auf dem Tisch liegen können, das begreifen selbst wir, aber ich glaube, wir sollten uns allemal zu schade sein, hier so eine vordergründige Beschuldigungskampagne anzuleiern, wie dies von den Grünen, die ja manchmal auch einfallslos sind, in diesem Fall geschehen ist.	All right, there can be no definitive documents for us to examine at that stage, even we understand that, but I think we really should consider it beneath us to grind out the kind of superficial campaign of accusation we have heard on this occasion from the Greens, who can be unimaginative themselves sometimes.
Ich glaube allen Ernstes, Herr Bangemann, daß die Novelfood-Verordnung ein guter Anfang in diese neue Richtung ist.	I believe in all seriousness, Mr Bangemann, that the Novel Food Regulation is a good first move in this new direction.
Packen Sie sie mit Mut an, dann können wir den Mitgliedsländern auch sagen, in welche Richtung es geht!	So buckle down to it, and then we can tell the Member States where things are heading!
