Frau Präsidentin!	.
Ich freue mich, wieder unter Ihrer Präsidentschaft die Fragestunde absolvieren zu können, und beginne mit der ersten Frage von Bernd Posselt zum Fortschritt in den Beitrittsverhandlungen mit Kroatien.	Madam President, I am delighted to have another opportunity to take questions under your presidency, and we will start with the first question from Mr Posselt on the progress made in the accession negotiations with Croatia.
Lassen Sie mich eingangs erklären, dass für die Beitrittsverhandlungen mit Kroatien so wie für alle anderen Beitrittsverhandlungen der Grundsatz gilt, dass jedes Land nach seinen eigenen Leistungen beurteilt wird.	Let me make it clear from the start that, in the accession negotiations with Croatia just as in all other accession negotiations, the principle is that each country is assessed on its own achievements.
Im Interesse der Öffentlichkeit muss dieses Prinzip immer wieder unterstrichen werden, und das Tempo der Verhandlungen hängt einzig und allein davon ab, wie der Beitrittskandidat – in diesem Falle Kroatien – die Voraussetzungen für eine Mitgliedschaft erfüllt.	In the interests of transparency, this principle must continually be emphasised, and the speed of the negotiations depends solely on the extent to which the candidate country – in this case Croatia – meets the conditions for accession.
Selbstverständlich ist dabei, so wie dies in den einschlägigen Beschlüssen festgehalten ist, auch die Aufnahmefähigkeit der Europäischen Union zu berücksichtigen.	It goes without saying in this regard that, as is stated in the relevant decisions, the EU's assimilation capacity must be taken into account.
Der Rat kann und soll kein Datum für den Abschluss der Verhandlungen nennen, die am 3. Oktober begonnen haben.	The Council cannot and should not specify a date for the conclusion of the negotiations, which started on 3 October.
Was nun die nächsten Schritte angeht, so hat der Rat am 20. Februar dieses Jahres die Beitrittspartnerschaft für Kroatien angenommen, und in dieser Beitrittspartnerschaft werden die Prioritäten festgelegt, die auf dem Weg zum Beitritt zu erfüllen sind.	With regard to the next step, the Council launched the accession partnership with Croatia on 20 February; this partnership will set out the priorities that need to be met en route to accession.
Die Screening-Berichte der Kommission zu den Verhandlungskapiteln Wissenschaft und Forschung, Bildung und Kultur, öffentliches Beschaffungswesen sowie Wettbewerb liegen vor.	The Commission's screening reports on the negotiation chapters 'science and research', 'education and culture', 'public procurement' and 'competition' are now available.
Der Rat hat die Screening-Berichte über die ersten beiden Kapitel, Wissenschaft, Forschung, Bildung und Kultur geprüft und Kroatien eingeladen, die Verhandlungspositionen darzulegen.	The Council has examined the screening reports on the first two chapters, 'science and research' and 'education and culture', and invited Croatia to set out its negotiation positions.
Diese liegen mir nun auch vor, und der Rat wird nunmehr einen Gemeinsamen Standpunkt zu definieren haben.	I am now in possession of these positions, and the Council now needs to draw up a Common Position.
Es ist geplant, dass am 13. Juni im Rahmen einer Beitrittskonferenz auf Außenministerebene mit den Sachverhandlungen über diese Kapitel begonnen wird.	The plan is that the specific negotiations on this chapter will commence on 13 June as part of an accession conference at foreign minister level.
Ich sage noch einmal, es wird letztlich von den Fortschritten der Beitrittskandidaten selbst abhängen, wie weit und wie rasch diese Verhandlungen weitergeführt werden können.	I would reiterate that how fast and how far these negotiations can be taken ultimately depends on the progress made by the candidate countries themselves.
