(Beifall)	(Applause)
Wir alle stehen in der Kontinuität derjenigen, die uns vorangegangen sind und nachfolgen werden. So möchte ich meinem Vorgänger Josep Borrell Fontelles für sein großes Engagement und seinen unermüdlichen Einsatz als unser Präsident in den vergangenen zweieinhalb Jahren für das gesamte Europäische Parlament, insbesondere aber auch persönlich, sehr herzlich und aufrichtig danken!	We all live within a continuum including those who went before us and those who will come after, and so I would like to thank my predecessor, Mr Josep Borrell Fontelles, most warmly and sincerely on behalf of the whole European Parliament and, in particular, also on a personal level, for his great commitment and indefatigable work as our President over the past two and a half years!
(Beifall)	(Applause)
Dieser aufrichtige und herzliche Dank gilt in gleicher Weise den früheren Präsidentinnen und Präsidenten, die heute bei uns sind:	I also extend warm and sincere thanks to the former Presidents who are with us today:
Emilio Colombo, Präsident im noch nicht direkt gewählten Parlament und dann ab 1979 Simone Veil, Lord Plumb, auch bekannt als Henry Plumb, unser Kollege Enrique Barón Crespo, Egon Klepsch, unser Kollege Klaus Hänsch, José-María Gil-Robles, Nicole Fontaine und Pat Cox.	Mr Emilio Colombo, President of Parliament in the days before it was directly elected, and then his post-1979 successors Mrs Simone Veil, Lord Plumb, also known as Henry Plumb, Mr Enrique Barón Crespo, who is still with us here, Mr Egon Klepsch, Mr Klaus Hänsch, who is still an MEP, Mr José-María Gil-Robles, Mrs Nicole Fontaine and Mr Pat Cox.
(lebhafter Beifall).	(Vigorous applause)
Ich heiße Sie alle sehr herzlich willkommen.	I extend a very warm welcome to all of you.
Es bereitet uns eine große Freude, dass Sie alle diese Einladung angenommen haben.	It is a cause of great joy to us that you have all accepted the invitation to be here.
Pierre Pflimlin und Piet Dankert sind nicht mehr unter uns.	Mr Pierre Pflimlin and Mr Piet Dankert are no longer with us.
Wir gedenken ihrer in Dankbarkeit.	We remember them with gratitude.
Zusammen mit den Kollegen Klaus Hänsch, Ingo Friedrich, Karl von Wogau, Francis Wurtz und Jens-Peter Bonde habe ich das Privileg, dem Europäischen Parlament seit seiner ersten Wahl im Jahre 1979 anzugehören.	I share with Mr Klaus Hänsch, Mr Ingo Friedrich, Mr Karl von Wogau, Mr Francis Wurtz and Mr Jens-Peter Bonde the privilege of having been a Member of the European Parliament since its first elections in 1979.
In dieser Zeit haben wir Höhen und Tiefen der europäischen Politik erlebt.	Since then we have lived through highs and lows in European politics.
Der größte Erfolg ist die Überwindung der Teilung Europas.	The greatest success has been overcoming the division of Europe.
Unsere gemeinsamen Werte haben sich durchgesetzt.	Our shared values have prevailed.
Die Mitgliedschaft in der Europäischen Union von Estland, Lettland, Litauen, Polen, der Tschechischen Republik, der Slowakei, Ungarn, Slowenien - und von Malta und Zypern - seit dem 1. Mai 2004 sowie seit dem 1. Januar dieses Jahres von Bulgarien und Rumänien und des geeinten Deutschland bereits seit 3. Oktober 1990 bleiben für mich das Wunder unserer Generation.	The accession to the European Union of the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Slovakia and Slovenia - and of Cyprus and Malta - on 1 May 2004, and of Bulgaria and Romania on 1 January this year, together with the reunification of Germany on 3 October 1990, remain for me the miracle of this generation.
Wir haben allen Anlass, uns darüber auch heute von Herzen zu freuen.	We all have reason to be extremely happy about this, now as always.
(Beifall)	(Applause)
Aber, liebe Kolleginnen und Kollegen, es bleibt für uns alle eine Aufgabe, voneinander zu lernen, den Respekt und das Verständnis füreinander zu stärken.	We all, however, still have to learn from each other and to strengthen our respect and understanding for each other.
Wir sollten aufhören, von den "alten" und "neuen" Mitgliedsländern zu sprechen.	We should stop talking about the 'old' and the 'new' Member States.
Wir alle gemeinsam sind das Europäische Parlament und unsere Völker, die wir vertreten, sind die Gemeinschaft der Europäischen Union.	All of us, together, constitute the European Parliament, and the nations that we represent are the community of the European Union.
(Beifall)	(Applause)
In den 80er Jahren war von "Eurosklerose" die Rede.	In the 1980s, there was talk of 'Eurosclerosis'.
Dann jedoch kamen der Binnenmarkt und die gemeinsame Europäische Währung.	Then, however, along came the single market and the single European currency.
Wir haben uns als Europäisches Parlament unsere Rechte erkämpft und werden dies weiter tun.	We in this House fought to secure our rights, and will continue to do so.
Unser Parlament ist heute einflussreich und selbstbewusst.	Today this Parliament is influential and self-confident.
